Date,Adj Close_APTECHT.NS,Close_APTECHT.NS,High_APTECHT.NS,Low_APTECHT.NS,Open_APTECHT.NS,Volume_APTECHT.NS,Date
2020-07-13,71.89828491210938,78.25,82.78571319580078,76.32142639160156,76.32142639160156,2348805,2020-07-13
2020-07-20,74.72039794921875,81.32142639160156,85.25,76.42857360839844,78.96428680419922,3759036,2020-07-20
2020-07-27,71.93109893798828,78.28571319580078,84.10713958740234,74.28571319580078,81.28571319580078,4040292,2020-07-27
2020-08-03,72.25926208496094,78.64286041259766,81.07142639160156,77.14286041259766,77.64286041259766,1669301,2020-08-03
2020-08-10,73.27652740478516,79.75,86.32142639160156,78.42857360839844,78.85713958740234,4922429,2020-08-10
2020-08-17,85.68070220947266,93.25,95.57142639160156,79.14286041259766,80.57142639160156,7289630,2020-08-17
2020-08-24,87.64962005615234,95.39286041259766,101.07142639160156,89.75,93.21428680419922,6175559,2020-08-24
2020-08-31,80.39744567871094,87.5,96.5,84.96428680419922,96.35713958740234,1717489,2020-08-31
2020-09-07,82.53043365478516,89.82142639160156,91.78571319580078,84.67857360839844,88.57142639160156,2161905,2020-09-07
2020-09-14,82.0710220336914,89.32142639160156,96.03571319580078,87.82142639160156,90.71428680419922,2806204,2020-09-14
2020-09-21,74.2938003540039,80.85713958740234,90.17857360839844,77.82142639160156,89.75,1747858,2020-09-21
2020-09-28,78.16600036621094,85.07142639160156,86.42857360839844,81.25,81.42857360839844,1241195,2020-09-28
2020-10-05,81.5131607055664,88.71428680419922,96.21428680419922,85.89286041259766,89.21428680419922,3682866,2020-10-05
2020-10-12,76.82057189941406,83.60713958740234,89.85713958740234,82.28571319580078,89.57142639160156,1076395,2020-10-12
2020-10-19,76.36116027832031,83.10713958740234,85.57142639160156,81.21428680419922,85.57142639160156,759966,2020-10-19
2020-10-26,75.50797271728516,82.17857360839844,85.39286041259766,80.0,84.21428680419922,918551,2020-10-26
2020-11-02,74.42506408691406,81.0,82.85713958740234,78.92857360839844,82.85713958740234,799123,2020-11-02
2020-11-09,79.51143646240234,86.53571319580078,88.85713958740234,80.78571319580078,81.85713958740234,2457925,2020-11-09
2020-11-16,80.85685729980469,88.0,90.35713958740234,84.5,85.14286041259766,2446498,2020-11-16
2020-11-23,79.70832061767578,86.75,92.42857360839844,85.60713958740234,88.03571319580078,2310125,2020-11-23
2020-11-30,80.26617431640625,87.35713958740234,89.53571319580078,85.14286041259766,86.75,1526555,2020-11-30
2020-12-07,86.59953308105469,94.25,100.5,87.14286041259766,87.92857360839844,8833138,2020-12-07
2020-12-14,97.0676040649414,105.64286041259766,110.0,92.5,95.28571319580078,9772918,2020-12-14
2020-12-21,100.84136199951172,109.75,114.03571319580078,97.14286041259766,104.89286041259766,7699236,2020-12-21
2020-12-28,102.84309387207031,111.92857360839844,116.42857360839844,107.92857360839844,110.53571319580078,5261211,2020-12-28
2021-01-04,98.7411880493164,107.46428680419922,113.35713958740234,106.42857360839844,113.35713958740234,2618702,2021-01-04
2021-01-11,109.73430633544922,119.42857360839844,120.5,103.78571319580078,107.46428680419922,6620382,2021-01-11
2021-01-18,110.71876525878906,120.5,137.0,118.0,120.5,9493702,2021-01-18
2021-01-25,117.57716369628906,127.96428680419922,148.4642791748047,123.85713958740234,127.60713958740234,14019861,2021-01-25
2021-02-01,141.76202392578125,154.2857208251953,165.2857208251953,124.35713958740234,127.46428680419922,12190409,2021-02-01
2021-02-08,154.822509765625,168.5,172.82142639160156,148.39285278320312,154.2857208251953,5991052,2021-02-08
2021-02-15,155.15065002441406,168.85714721679688,177.10714721679688,162.82142639160156,169.7857208251953,4954267,2021-02-15
