Date,Adj Close_GRAPHITE.NS,Close_GRAPHITE.NS,High_GRAPHITE.NS,Low_GRAPHITE.NS,Open_GRAPHITE.NS,Volume_GRAPHITE.NS,Date
2020-07-13,160.33470153808594,172.3000030517578,174.5,161.8000030517578,172.0,1145839,2020-07-13
2020-07-20,161.1721954345703,173.1999969482422,189.89999389648438,172.0500030517578,180.89999389648438,2860091,2020-07-20
2020-07-27,153.4951171875,164.9499969482422,174.9499969482422,164.25,174.9499969482422,1396646,2020-07-27
2020-08-03,173.222900390625,186.14999389648438,192.8000030517578,163.8000030517578,164.64999389648438,4904716,2020-08-03
2020-08-10,166.1041259765625,178.5,195.5,178.0,189.89999389648438,3891799,2020-08-10
2020-08-17,180.9930419921875,194.5,202.0,177.5,179.5500030517578,6048981,2020-08-17
2020-08-24,188.67010498046875,202.75,217.85000610351562,190.0,196.89999389648438,10189003,2020-08-24
2020-08-31,173.82777404785156,186.8000030517578,210.0,184.10000610351562,209.6999969482422,4153661,2020-08-31
2020-09-07,170.01246643066406,182.6999969482422,188.75,172.75,186.5,1942602,2020-09-07
2020-09-14,169.50067138671875,182.14999389648438,192.8000030517578,178.85000610351562,188.0,2118571,2020-09-14
2020-09-21,170.61734008789062,183.35000610351562,186.0,163.14999389648438,182.14999389648438,3338838,2020-09-21
2020-09-28,180.0159454345703,193.4499969482422,198.85000610351562,184.0500030517578,185.5,3754628,2020-09-28
2020-10-05,181.87705993652344,195.4499969482422,204.6999969482422,189.6999969482422,194.0,2412561,2020-10-05
2020-10-12,176.43331909179688,189.60000610351562,203.4499969482422,188.10000610351562,195.75,2608012,2020-10-12
2020-10-19,168.38400268554688,180.9499969482422,194.89999389648438,177.5500030517578,190.3000030517578,2585912,2020-10-19
2020-10-26,163.96385192871094,176.1999969482422,183.75,173.0500030517578,182.39999389648438,1719961,2020-10-26
2020-11-02,169.36109924316406,182.0,184.4499969482422,172.5500030517578,176.0,1873701,2020-11-02
2020-11-09,168.80276489257812,181.39999389648438,187.5,178.35000610351562,184.89999389648438,2182497,2020-11-09
2020-11-16,220.63470458984375,237.10000610351562,244.39999389648438,178.39999389648438,180.5,21190654,2020-11-16
2020-11-23,227.47427368164062,244.4499969482422,272.5,234.1999969482422,242.39999389648438,18326225,2020-11-23
2020-11-30,243.57289123535156,261.75,270.95001220703125,238.0,244.4499969482422,9059719,2020-11-30
2020-12-07,259.0201110839844,278.3500061035156,287.8999938964844,258.3500061035156,260.0,8042636,2020-12-07
2020-12-14,283.3076171875,304.45001220703125,307.5,278.5,278.5,12067451,2020-12-14
2020-12-21,276.7471923828125,297.3999938964844,312.0,264.04998779296875,304.70001220703125,7447707,2020-12-21
2020-12-28,285.4944152832031,306.79998779296875,319.45001220703125,297.20001220703125,300.6499938964844,7900131,2020-12-28
2021-01-04,302.0117492675781,324.54998779296875,332.0,303.0,308.8500061035156,10151153,2021-01-04
2021-01-11,302.66314697265625,325.25,342.8500061035156,314.5,326.5,9688392,2021-01-11
2021-01-18,289.12359619140625,310.70001220703125,332.70001220703125,305.29998779296875,325.1000061035156,5176556,2021-01-18
2021-01-25,292.79925537109375,314.6499938964844,322.75,298.79998779296875,313.6000061035156,3985186,2021-01-25
2021-02-01,328.8582763671875,353.3999938964844,360.0,308.1000061035156,314.6499938964844,10207813,2021-02-01
2021-02-08,388.0416259765625,417.0,448.79998779296875,358.95001220703125,362.0,25194418,2021-02-08
2021-02-15,451.226318359375,484.8999938964844,509.0,416.5,417.0,15901338,2021-02-15
2021-02-22,447.7832946777344,481.20001220703125,496.3500061035156,450.1000061035156,487.8999938964844,5519710,2021-02-22
2021-03-01,442.99090576171875,476.04998779296875,507.75,462.04998779296875,486.20001220703125,9647518,2021-03-01
2021-03-08,483.5631408691406,519.6500244140625,537.0,462.0,479.8999938964844,12293494,2021-03-08
2021-03-15,471.8846740722656,507.1000061035156,524.0,490.6000061035156,520.0999755859375,7732390,2021-03-15
2021-03-22,443.8284606933594,476.95001220703125,518.2000122070312,447.0,508.5,6225841,2021-03-22
2021-03-29,518.691650390625,557.4000244140625,580.9500122070312,476.95001220703125,476.95001220703125,8187387,2021-03-29
2021-04-05,625.7520751953125,672.4500122070312,740.0,535.0,554.0,47894234,2021-04-05
2021-04-12,596.4395141601562,640.9500122070312,666.9000244140625,570.0,646.0,16513981,2021-04-12
2021-04-19,606.489501953125,651.75,664.0,590.1500244140625,610.2999877929688,9393018,2021-04-19
2021-04-26,681.538818359375,732.4000244140625,749.6500244140625,658.0,660.0,19226481,2021-04-26
2021-05-03,709.7811889648438,762.75,773.3499755859375,721.0499877929688,727.0,10904576,2021-05-03
2021-05-10,663.2999267578125,712.7999877929688,795.9000244140625,698.0999755859375,771.2999877929688,7878090,2021-05-10
2021-05-17,690.6582641601562,742.2000122070312,763.9000244140625,707.5999755859375,720.0,6146609,2021-05-17
2021-05-24,693.2638549804688,745.0,815.9000244140625,738.25,746.9000244140625,14052419,2021-05-24
2021-05-31,705.0819091796875,757.7000122070312,780.9000244140625,737.0,752.4000244140625,6153193,2021-05-31
2021-06-07,687.9595947265625,739.2999877929688,787.0,732.75,764.2999877929688,5170498,2021-06-07
2021-06-14,561.45068359375,603.3499755859375,748.2999877929688,563.9000244140625,735.0,6771887,2021-06-14
2021-06-21,582.7603759765625,626.25,676.1500244140625,576.2000122070312,590.0,8501122,2021-06-21
2021-06-28,619.377685546875,665.5999755859375,677.2999877929688,611.0,631.0,6037856,2021-06-28
2021-07-05,592.6708374023438,636.9000244140625,672.0,626.0,669.5999755859375,4124531,2021-07-05
2021-07-12,620.7269897460938,667.0499877929688,678.9000244140625,630.0,642.6500244140625,4592330,2021-07-12
2021-07-19,615.004150390625,660.9000244140625,680.8499755859375,627.0,655.0,3088207,2021-07-19
2021-07-26,658.5540771484375,707.7000122070312,716.25,652.2000122070312,664.0499877929688,6724768,2021-07-26
2021-08-02,678.42138671875,729.0499877929688,754.0,704.5999755859375,718.4000244140625,6366320,2021-08-02
2021-08-09,631.3353881835938,678.4500122070312,732.5,632.1500244140625,729.9500122070312,3157672,2021-08-09
2021-08-16,581.912353515625,621.0499877929688,681.0,614.0,681.0,1219164,2021-08-16
