Date,Adj Close_NAVKARCORP.NS,Close_NAVKARCORP.NS,High_NAVKARCORP.NS,Low_NAVKARCORP.NS,Open_NAVKARCORP.NS,Volume_NAVKARCORP.NS,Date
2020-07-13,28.399999618530273,28.399999618530273,30.100000381469727,26.799999237060547,28.700000762939453,1340841,2020-07-13
2020-07-20,27.600000381469727,27.600000381469727,29.549999237060547,26.850000381469727,28.700000762939453,1845766,2020-07-20
2020-07-27,24.75,24.75,27.799999237060547,24.549999237060547,27.600000381469727,2528393,2020-07-27
2020-08-03,24.850000381469727,24.850000381469727,25.649999618530273,24.0,24.950000762939453,887449,2020-08-03
2020-08-10,25.049999237060547,25.049999237060547,26.75,24.799999237060547,25.200000762939453,1958741,2020-08-10
2020-08-17,31.0,31.0,32.54999923706055,24.950000762939453,25.25,6298414,2020-08-17
2020-08-24,28.700000762939453,28.700000762939453,31.0,28.549999237060547,31.0,2124080,2020-08-24
2020-08-31,26.799999237060547,26.799999237060547,29.5,26.0,28.799999237060547,1252015,2020-08-31
2020-09-07,26.899999618530273,26.899999618530273,28.200000762939453,25.600000381469727,27.0,1147870,2020-09-07
2020-09-14,27.450000762939453,27.450000762939453,28.399999618530273,26.5,27.350000381469727,800753,2020-09-14
2020-09-21,25.0,25.0,27.799999237060547,24.350000381469727,27.600000381469727,743190,2020-09-21
2020-09-28,25.5,25.5,25.799999237060547,24.899999618530273,25.299999237060547,439687,2020-09-28
2020-10-05,25.399999618530273,25.399999618530273,29.25,24.600000381469727,25.649999618530273,2531791,2020-10-05
2020-10-12,24.600000381469727,24.600000381469727,25.5,24.0,25.5,762092,2020-10-12
2020-10-19,25.200000762939453,25.200000762939453,26.149999618530273,24.350000381469727,24.649999618530273,785376,2020-10-19
2020-10-26,25.299999237060547,25.299999237060547,27.899999618530273,24.5,25.5,2363349,2020-10-26
2020-11-02,25.299999237060547,25.299999237060547,25.600000381469727,24.600000381469727,25.5,347887,2020-11-02
2020-11-09,27.049999237060547,27.049999237060547,27.399999618530273,24.600000381469727,25.350000381469727,1513270,2020-11-09
2020-11-16,27.350000381469727,27.350000381469727,29.350000381469727,26.25,26.25,2716835,2020-11-16
2020-11-23,31.600000381469727,31.600000381469727,32.349998474121094,26.549999237060547,27.5,6956014,2020-11-23
2020-11-30,34.150001525878906,34.150001525878906,35.79999923706055,30.600000381469727,31.600000381469727,8227774,2020-11-30
2020-12-07,40.79999923706055,40.79999923706055,42.95000076293945,32.400001525878906,35.099998474121094,13033138,2020-12-07
