Date,Adj Close_METROPOLIS.NS,Close_METROPOLIS.NS,High_METROPOLIS.NS,Low_METROPOLIS.NS,Open_METROPOLIS.NS,Volume_METROPOLIS.NS,Date
2020-07-13,1484.467529296875,1509.300048828125,1611.199951171875,1500.0999755859375,1562.0,202846,2020-07-13
2020-07-20,1528.7762451171875,1554.3499755859375,1580.050048828125,1421.25,1530.0,445661,2020-07-20
2020-07-27,1548.25048828125,1574.1500244140625,1646.0,1515.050048828125,1566.3499755859375,370795,2020-07-27
2020-08-03,1628.85205078125,1656.0999755859375,1681.699951171875,1530.0,1548.949951171875,673880,2020-08-03
2020-08-10,1646.752685546875,1674.300048828125,1780.0,1515.199951171875,1679.0,839759,2020-08-10
2020-08-17,1721.993896484375,1750.800048828125,1810.0,1645.0,1693.699951171875,483218,2020-08-17
2020-08-24,1805.939697265625,1836.1500244140625,1918.0,1763.800048828125,1769.6500244140625,624689,2020-08-24
2020-08-31,1756.46728515625,1785.8499755859375,1912.0,1742.449951171875,1855.0,657833,2020-08-31
2020-09-07,1726.8133544921875,1755.699951171875,1819.0999755859375,1701.3499755859375,1800.0,430623,2020-09-07
2020-09-14,1837.2657470703125,1868.0,2040.0,1761.300048828125,1795.0,1012124,2020-09-14
2020-09-21,1723.764404296875,1752.5999755859375,1910.300048828125,1675.0,1880.199951171875,858302,2020-09-21
2020-09-28,1756.8607177734375,1786.25,1900.0,1757.9000244140625,1779.800048828125,257216,2020-09-28
2020-10-05,1934.5875244140625,1966.949951171875,2144.89990234375,1820.050048828125,1834.800048828125,1294281,2020-10-05
2020-10-12,1853.395751953125,1884.4000244140625,2031.949951171875,1862.0999755859375,1989.0,489099,2020-10-12
2020-10-19,1906.1632080078125,1938.050048828125,1960.0,1852.5999755859375,1903.25,333288,2020-10-19
2020-10-26,1935.1285400390625,1967.5,2021.4000244140625,1862.0,1938.0,389866,2020-10-26
2020-11-02,1948.111328125,1980.699951171875,2019.0,1903.6500244140625,1965.0,400159,2020-11-02
2020-11-09,1904.4912109375,1936.3499755859375,2009.050048828125,1821.5,1995.0,570831,2020-11-09
2020-11-16,2101.495361328125,2136.64990234375,2144.0,1912.1500244140625,1912.1500244140625,454083,2020-11-16
2020-11-23,2197.636962890625,2234.39990234375,2323.0,2151.0,2151.0,807638,2020-11-23
2020-11-30,1962.225341796875,1995.050048828125,2264.949951171875,1988.0,2234.39990234375,553773,2020-11-30
2020-12-07,1957.65185546875,1990.4000244140625,2021.699951171875,1944.050048828125,2010.0,488849,2020-12-07
2020-12-14,1843.953857421875,1874.800048828125,1999.0,1870.0,1996.8499755859375,845041,2020-12-14
2020-12-21,1917.0313720703125,1949.0999755859375,1975.0,1822.0,1882.5,523571,2020-12-21
2020-12-28,1981.8470458984375,2015.0,2049.0,1935.6500244140625,1955.0,340204,2020-12-28
2021-01-04,2079.80859375,2114.60009765625,2149.0,2015.0,2034.949951171875,521944,2021-01-04
2021-01-11,2127.70703125,2163.300048828125,2224.0,2100.050048828125,2120.0,447193,2021-01-11
2021-01-18,2148.558349609375,2184.5,2320.0,2115.550048828125,2214.949951171875,517102,2021-01-18
2021-01-25,2029.4017333984375,2063.35009765625,2206.0,2003.050048828125,2206.0,501152,2021-01-25
2021-02-01,2130.461181640625,2166.10009765625,2295.0,2021.449951171875,2090.0,531430,2021-02-01
2021-02-08,2005.7474365234375,2039.300048828125,2298.0,2030.0999755859375,2169.300048828125,293622,2021-02-08
2021-02-15,1938.2266845703125,1970.6500244140625,2074.699951171875,1915.0,2045.0,787470,2021-02-15
2021-02-22,1935.0595703125,1959.300048828125,2030.0,1935.0,1989.800048828125,317295,2021-02-22
2021-03-01,1904.7392578125,1928.5999755859375,1999.800048828125,1891.0999755859375,1999.800048828125,521325,2021-03-01
2021-03-08,1882.962158203125,1906.550048828125,1956.0,1888.0,1949.0,436210,2021-03-08
2021-03-15,1895.5050048828125,1919.25,1943.449951171875,1848.0,1935.0,693928,2021-03-15
2021-03-22,2053.525390625,2079.25,2097.699951171875,1907.0,1935.8499755859375,670516,2021-03-22
2021-03-29,2132.9306640625,2159.64990234375,2348.0,2079.25,2079.25,604668,2021-03-29
2021-04-05,2452.6259765625,2483.35009765625,2533.949951171875,2150.0,2150.0,1843061,2021-04-05
2021-04-12,2452.6259765625,2483.35009765625,2605.0,2355.64990234375,2539.0,1128521,2021-04-12
2021-04-19,2357.369140625,2386.89990234375,2534.0,2364.39990234375,2492.0,327335,2021-04-19
2021-04-26,2365.418212890625,2395.050048828125,2499.800048828125,2325.64990234375,2412.449951171875,373124,2021-04-26
2021-05-03,2247.49560546875,2275.64990234375,2430.0,2251.050048828125,2375.0,252711,2021-05-03
2021-05-10,2304.778076171875,2333.64990234375,2465.0,2250.0,2310.0,469271,2021-05-10
2021-05-17,2255.051025390625,2283.300048828125,2373.14990234375,2261.0,2357.0,254288,2021-05-17
