Date,Adj Close_DMCC.NS,Close_DMCC.NS,High_DMCC.NS,Low_DMCC.NS,Open_DMCC.NS,Volume_DMCC.NS,Date
2021-11-29,311.5530090332031,313.45001220703125,343.0,300.04998779296875,310.8999938964844,41856,2021-11-29
2021-12-06,309.16754150390625,311.04998779296875,326.5,306.04998779296875,315.0,33752,2021-12-06
2021-12-13,309.4656982421875,311.3500061035156,322.0,306.0,306.0,43815,2021-12-13
2021-12-20,306.5832824707031,308.45001220703125,329.04998779296875,294.54998779296875,297.0,25495,2021-12-20
2021-12-27,330.7361755371094,332.75,349.8999938964844,299.29998779296875,308.45001220703125,87000,2021-12-27
2022-01-03,327.6549377441406,329.6499938964844,341.0,313.6499938964844,332.75,72951,2022-01-03
2022-01-10,356.1315612792969,358.29998779296875,399.0,325.5,341.0,248766,2022-01-10
2022-01-17,364.7789001464844,367.0,386.0,341.0,369.0,128565,2022-01-17
2022-01-24,375.71234130859375,378.0,389.0,320.0,367.0,168340,2022-01-24
2022-01-31,370.0965270996094,372.3500061035156,398.95001220703125,362.75,389.0,56313,2022-01-31
2022-02-07,353.1994323730469,355.3500061035156,382.3500061035156,344.8999938964844,382.3500061035156,44394,2022-02-07
2022-02-14,383.46514892578125,385.79998779296875,413.75,329.8500061035156,355.3500061035156,430693,2022-02-14
2022-02-21,354.2430725097656,356.3999938964844,386.45001220703125,337.6499938964844,383.8999938964844,207288,2022-02-21
2022-02-28,333.02227783203125,335.04998779296875,356.70001220703125,330.0,356.0,76133,2022-02-28
2022-03-07,344.701171875,346.79998779296875,379.70001220703125,310.0,323.29998779296875,105753,2022-03-07
2022-03-14,342.2660217285156,344.3500061035156,359.8999938964844,335.25,354.8999938964844,90412,2022-03-14
2022-03-21,360.7037353515625,362.8999938964844,402.70001220703125,345.79998779296875,346.1499938964844,230092,2022-03-21
2022-03-28,363.73529052734375,365.95001220703125,379.0,360.6000061035156,364.0,84864,2022-03-28
2022-04-04,371.93536376953125,374.20001220703125,394.8999938964844,365.0,370.0,129576,2022-04-04
2022-04-11,440.269287109375,442.95001220703125,467.29998779296875,376.0,378.0,819548,2022-04-11
2022-04-18,416.4642028808594,419.0,468.70001220703125,416.45001220703125,441.79998779296875,296548,2022-04-18
2022-04-25,438.48016357421875,441.1499938964844,468.0,400.0,428.0,384706,2022-04-25
2022-05-02,402.9962463378906,405.45001220703125,479.45001220703125,400.95001220703125,440.0,241515,2022-05-02
2022-05-09,338.6380920410156,340.70001220703125,409.0,325.04998779296875,409.0,227117,2022-05-09
2022-05-16,353.10003662109375,355.25,362.45001220703125,335.54998779296875,349.0,114047,2022-05-16
2022-05-23,379.6384582519531,381.95001220703125,395.0,308.95001220703125,348.1000061035156,260205,2022-05-23
2022-05-30,363.43707275390625,365.6499938964844,401.0,362.0,394.0,116305,2022-05-30
