Date,Adj Close_IMAGICAA.NS,Close_IMAGICAA.NS,High_IMAGICAA.NS,Low_IMAGICAA.NS,Open_IMAGICAA.NS,Volume_IMAGICAA.NS,Date
2020-07-13,4.5,4.5,4.75,4.349999904632568,4.599999904632568,120015,2020-07-13
2020-07-20,4.800000190734863,4.800000190734863,5.050000190734863,4.449999809265137,4.5,423976,2020-07-20
2020-07-27,4.5,4.5,4.900000095367432,4.449999809265137,4.900000095367432,304877,2020-07-27
2020-08-03,4.900000095367432,4.900000095367432,5.0,4.25,4.5,367169,2020-08-03
2020-08-10,4.900000095367432,4.900000095367432,5.099999904632568,4.550000190734863,4.75,496325,2020-08-10
2020-08-17,5.199999809265137,5.199999809265137,5.599999904632568,4.699999809265137,4.949999809265137,834233,2020-08-17
2020-08-24,4.849999904632568,4.849999904632568,5.349999904632568,4.75,5.349999904632568,454602,2020-08-24
2020-08-31,4.5,4.5,4.949999809265137,4.300000190734863,4.949999809265137,408747,2020-08-31
2020-09-07,4.449999809265137,4.449999809265137,4.650000095367432,4.349999904632568,4.599999904632568,278190,2020-09-07
2020-09-14,4.199999809265137,4.199999809265137,4.800000190734863,4.199999809265137,4.550000190734863,551831,2020-09-14
2020-09-21,3.8499999046325684,3.8499999046325684,4.300000190734863,3.799999952316284,4.25,349249,2020-09-21
2020-09-28,3.9000000953674316,3.9000000953674316,4.0,3.6500000953674316,4.0,211162,2020-09-28
2020-10-05,3.950000047683716,3.950000047683716,4.349999904632568,3.75,4.0,247228,2020-10-05
2020-10-12,3.9000000953674316,3.9000000953674316,4.300000190734863,3.799999952316284,3.950000047683716,255115,2020-10-12
2020-10-19,4.150000095367432,4.150000095367432,4.300000190734863,3.799999952316284,4.050000190734863,503752,2020-10-19
2020-10-26,3.9000000953674316,3.9000000953674316,4.199999809265137,3.700000047683716,4.199999809265137,339323,2020-10-26
2020-11-02,3.9000000953674316,3.9000000953674316,4.050000190734863,3.700000047683716,4.050000190734863,129653,2020-11-02
2020-11-09,4.5,4.5,4.599999904632568,3.8499999046325684,3.8499999046325684,669036,2020-11-09
2020-11-16,4.5,4.5,4.949999809265137,4.050000190734863,4.199999809265137,664468,2020-11-16
2020-11-23,4.800000190734863,4.800000190734863,5.300000190734863,4.400000095367432,4.599999904632568,723694,2020-11-23
2020-11-30,4.900000095367432,4.900000095367432,5.0,4.400000095367432,4.800000190734863,912463,2020-11-30
2020-12-07,6.75,6.75,7.300000190734863,4.75,4.900000095367432,3235303,2020-12-07
2020-12-14,6.199999809265137,6.199999809265137,7.449999809265137,6.050000190734863,7.400000095367432,1816372,2020-12-14
2020-12-21,5.900000095367432,5.900000095367432,6.300000190734863,5.400000095367432,6.300000190734863,415738,2020-12-21
2020-12-28,6.099999904632568,6.099999904632568,6.349999904632568,5.849999904632568,5.949999809265137,454244,2020-12-28
