Date,Adj Close_VALIANTLAB.NS,Close_VALIANTLAB.NS,High_VALIANTLAB.NS,Low_VALIANTLAB.NS,Open_VALIANTLAB.NS,Volume_VALIANTLAB.NS,Date
2023-10-02,170.25,170.25,170.25,162.10000610351562,162.14999389648438,3427170,2023-10-02
2023-10-09,176.6999969482422,176.6999969482422,176.6999969482422,162.10000610351562,170.5,3292526,2023-10-09
2023-10-16,189.25,189.25,198.89999389648438,177.10000610351562,185.5,2416823,2023-10-16
2023-10-23,190.85000610351562,190.85000610351562,197.5,166.75,190.4499969482422,2142849,2023-10-23
2023-10-30,192.85000610351562,192.85000610351562,206.10000610351562,186.4499969482422,191.8000030517578,3904992,2023-10-30
2023-11-06,183.5,183.5,198.6999969482422,174.9499969482422,194.75,2843429,2023-11-06
2023-11-13,188.39999389648438,188.39999389648438,192.39999389648438,180.8000030517578,187.0,1079157,2023-11-13
2023-11-20,184.39999389648438,184.39999389648438,190.89999389648438,180.5,188.5,832466,2023-11-20
2023-11-27,178.85000610351562,178.85000610351562,190.8000030517578,175.8000030517578,184.39999389648438,724382,2023-11-27
2023-12-04,176.5,176.5,182.3000030517578,174.60000610351562,181.9499969482422,603275,2023-12-04
2023-12-11,172.39999389648438,172.39999389648438,178.64999389648438,169.6999969482422,178.64999389648438,459679,2023-12-11
2023-12-18,177.0,177.0,185.0,167.0,173.0,1083588,2023-12-18
2023-12-25,173.1999969482422,173.1999969482422,180.5500030517578,172.25,177.0,1040790,2023-12-25
2024-01-01,172.6999969482422,172.6999969482422,179.0,171.10000610351562,175.75,1034371,2024-01-01
2024-01-08,174.75,174.75,181.89999389648438,166.35000610351562,175.8000030517578,2088154,2024-01-08
2024-01-15,204.8000030517578,204.8000030517578,206.14999389648438,174.75,174.75,4189350,2024-01-15
2024-01-22,192.75,192.75,205.75,188.1999969482422,204.8000030517578,727939,2024-01-22
2024-01-29,202.0500030517578,202.0500030517578,214.9499969482422,191.10000610351562,192.75,1278917,2024-01-29
2024-02-05,182.4499969482422,182.4499969482422,204.89999389648438,179.0,203.9499969482422,986297,2024-02-05
2024-02-12,180.64999389648438,180.64999389648438,185.0,170.39999389648438,182.0,630207,2024-02-12
2024-02-19,177.1999969482422,177.1999969482422,183.35000610351562,172.5500030517578,183.35000610351562,423662,2024-02-19
2024-02-26,173.39999389648438,173.39999389648438,179.75,169.3000030517578,179.3000030517578,373039,2024-02-26
