Date,Adj Close_ARIHANTCAP.NS,Close_ARIHANTCAP.NS,High_ARIHANTCAP.NS,Low_ARIHANTCAP.NS,Open_ARIHANTCAP.NS,Volume_ARIHANTCAP.NS,Date
2021-06-14,24.702791213989258,25.290000915527344,26.559999465942383,22.25,26.0,1608045,2021-06-14
2021-06-21,24.888378143310547,25.479999542236328,27.299999237060547,24.309999465942383,25.540000915527344,1793900,2021-06-21
2021-06-28,24.556270599365234,25.139999389648438,26.209999084472656,25.0,25.700000762939453,539175,2021-06-28
2021-07-05,28.08245277404785,28.75,28.959999084472656,25.100000381469727,25.600000381469727,1253835,2021-07-05
2021-07-12,34.011512756347656,34.81999969482422,37.849998474121094,28.5,29.040000915527344,3290610,2021-07-12
2021-07-19,32.14585876464844,32.90999984741211,37.18000030517578,32.400001525878906,34.79999923706055,2353330,2021-07-19
2021-07-26,33.73801040649414,34.540000915527344,36.36000061035156,32.41999816894531,33.869998931884766,7365435,2021-07-26
2021-08-02,30.09461784362793,30.809999465942383,35.29999923706055,30.200000762939453,35.290000915527344,1195195,2021-08-02
2021-08-09,31.227684020996094,31.969999313354492,34.08000183105469,25.09000015258789,30.790000915527344,6415270,2021-08-09
2021-08-16,27.330331802368164,27.979999542236328,31.899999618530273,27.0,30.739999771118164,685100,2021-08-16
2021-08-23,28.375486373901367,29.049999237060547,30.389999389648438,25.329999923706055,28.040000915527344,1219815,2021-08-23
2021-08-30,27.43777847290039,28.09000015258789,30.299999237060547,27.670000076293945,30.0,959540,2021-08-30
2021-09-06,27.056835174560547,27.700000762939453,28.899999618530273,27.239999771118164,28.639999389648438,582625,2021-09-06
2021-09-13,26.68565559387207,27.31999969482422,30.68000030517578,27.0,27.979999542236328,2091705,2021-09-13
2021-09-20,26.967296600341797,27.40999984741211,28.799999237060547,27.010000228881836,27.420000076293945,1945470,2021-09-20
2021-09-27,27.400192260742188,27.850000381469727,29.399999618530273,27.200000762939453,27.84000015258789,1309085,2021-09-27
2021-10-04,28.64967918395996,29.1200008392334,29.799999237060547,26.979999542236328,27.610000610351562,1918735,2021-10-04
2021-10-11,28.61032485961914,29.079999923706055,31.0,28.56999969482422,29.559999465942383,1470630,2021-10-11
2021-10-18,27.744537353515625,28.200000762939453,30.399999618530273,27.75,29.56999969482422,1399960,2021-10-18
2021-10-25,27.00665283203125,27.450000762939453,28.780000686645508,25.59000015258789,28.100000381469727,634170,2021-10-25
2021-11-01,31.64057731628418,32.15999984741211,32.619998931884766,26.90999984741211,27.450000762939453,2020045,2021-11-01
2021-11-08,29.299020767211914,29.780000686645508,33.779998779296875,29.290000915527344,32.13999938964844,2594225,2021-11-08
2021-11-15,30.21399688720703,30.709999084472656,31.920000076293945,29.6200008392334,29.6200008392334,691090,2021-11-15
2021-11-22,27.557605743408203,28.010000228881836,31.010000228881836,27.610000610351562,31.0,899030,2021-11-22
2021-11-29,29.308856964111328,29.790000915527344,30.219999313354492,27.0,27.81999969482422,687570,2021-11-29
2021-12-06,30.509153366088867,31.010000228881836,31.530000686645508,29.56999969482422,30.399999618530273,547270,2021-12-06
2021-12-13,31.14865493774414,31.65999984741211,32.70000076293945,30.610000610351562,31.219999313354492,1046015,2021-12-13
2021-12-20,33.02780532836914,33.56999969482422,36.0,29.799999237060547,31.200000762939453,2941600,2021-12-20
2021-12-27,38.77348327636719,39.40999984741211,40.599998474121094,33.0,33.9900016784668,5625730,2021-12-27
2022-01-03,53.26557540893555,54.13999938964844,55.2400016784668,39.599998474121094,39.9900016784668,10920870,2022-01-03
2022-01-10,49.979522705078125,50.79999923706055,57.54999923706055,49.0,53.790000915527344,4455930,2022-01-10
2022-01-17,50.294349670410156,51.119998931884766,55.86000061035156,49.81999969482422,51.599998474121094,4103785,2022-01-17
2022-01-24,51.022403717041016,51.86000061035156,53.27000045776367,45.79999923706055,52.779998779296875,1293375,2022-01-24
2022-01-31,66.47867584228516,67.56999969482422,68.80000305175781,53.5,53.58000183105469,5681800,2022-01-31
2022-02-07,61.07733917236328,62.08000183105469,68.06999969482422,58.709999084472656,67.97000122070312,2824560,2022-02-07
2022-02-14,68.66281127929688,69.79000091552734,71.79000091552734,59.599998474121094,60.0099983215332,2703740,2022-02-14
2022-02-21,65.7309341430664,66.80999755859375,72.79000091552734,63.630001068115234,70.0,2440805,2022-02-21
2022-02-28,77.68470001220703,78.95999908447266,79.29000091552734,68.2699966430664,70.1500015258789,2787845,2022-02-28
2022-03-07,86.17532348632812,87.58999633789062,91.5999984741211,75.0199966430664,77.0,2912340,2022-03-07
2022-03-14,85.42759704589844,86.83000183105469,95.9000015258789,84.5999984741211,87.16000366210938,2022725,2022-03-14
2022-03-21,77.41390991210938,78.55000305175781,87.80000305175781,78.0199966430664,87.19999694824219,1677680,2022-03-21
2022-03-28,82.13461303710938,83.33999633789062,85.69000244140625,79.19999694824219,79.94000244140625,942415,2022-03-28
2022-04-04,91.55634307861328,92.9000015258789,95.80000305175781,86.4000015258789,87.5,2134395,2022-04-04
2022-04-11,89.0925064086914,90.4000015258789,95.80000305175781,89.69999694824219,93.80000305175781,6181148,2022-04-11
2022-04-18,86.48082733154297,87.75,89.0,77.5999984741211,89.0,1810897,2022-04-18
2022-04-25,82.0459213256836,83.25,91.9000015258789,82.0999984741211,89.80000305175781,1419087,2022-04-25
2022-05-02,77.3646240234375,78.5,84.69999694824219,75.75,83.25,363148,2022-05-02
2022-05-09,79.43424987792969,80.5999984741211,83.5,76.05000305175781,79.80000305175781,613972,2022-05-09
2022-05-16,87.31854248046875,88.5999984741211,88.6500015258789,77.19999694824219,84.30000305175781,835452,2022-05-16
2022-05-23,85.59384155273438,86.8499984741211,93.9000015258789,80.30000305175781,88.55000305175781,618569,2022-05-23
2022-05-30,80.81400299072266,82.0,89.4000015258789,81.0,88.9000015258789,255466,2022-05-30
2022-06-06,78.99075317382812,80.1500015258789,84.30000305175781,77.5,81.75,181998,2022-06-06
2022-06-13,74.55583953857422,75.6500015258789,84.4000015258789,74.55000305175781,77.05000305175781,583597,2022-06-13
2022-06-20,77.56172180175781,78.69999694824219,79.0,72.8499984741211,77.75,127630,2022-06-20
2022-06-27,78.3994369506836,79.55000305175781,83.9000015258789,77.6500015258789,80.0,127187,2022-06-27
2022-07-04,75.88631439208984,77.0,82.0999984741211,73.25,81.44999694824219,165999,2022-07-04
2022-07-11,73.76741027832031,74.8499984741211,82.9000015258789,74.1500015258789,77.5,616514,2022-07-11
2022-07-18,76.818603515625,77.80000305175781,80.25,72.0,75.9000015258789,1159078,2022-07-18
2022-07-25,73.26400756835938,74.19999694824219,77.19999694824219,70.30000305175781,75.5999984741211,733532,2022-07-25
2022-08-01,70.20311737060547,71.0999984741211,75.9000015258789,70.19999694824219,74.69999694824219,388558,2022-08-01
2022-08-08,63.68637466430664,64.5,72.0,61.099998474121094,72.0,815113,2022-08-08
2022-08-15,62.797725677490234,63.599998474121094,67.6500015258789,60.45000076293945,64.5,765687,2022-08-15
2022-08-22,73.26400756835938,74.19999694824219,78.6500015258789,64.05000305175781,65.44999694824219,2318528,2022-08-22
2022-08-29,75.83121490478516,76.80000305175781,79.80000305175781,70.5,72.75,1009091,2022-08-29
2022-09-05,82.10111236572266,83.1500015258789,83.25,77.05000305175781,77.0999984741211,1201320,2022-09-05
2022-09-12,77.36166381835938,78.3499984741211,86.69999694824219,77.5999984741211,84.5,1105188,2022-09-12
2022-09-19,73.21464538574219,74.1500015258789,81.80000305175781,73.55000305175781,79.19999694824219,581279,2022-09-19
2022-09-26,72.62220764160156,73.55000305175781,77.5,70.44999694824219,75.5,495650,2022-09-26
2022-10-03,73.75769805908203,74.69999694824219,75.25,70.69999694824219,74.19999694824219,566954,2022-10-03
