Date,Adj Close_LLOYDSME.NS,Close_LLOYDSME.NS,High_LLOYDSME.NS,Low_LLOYDSME.NS,Open_LLOYDSME.NS,Volume_LLOYDSME.NS,Date
2023-07-17,557.5477294921875,558.7000122070312,582.7000122070312,531.0,554.0,1208414,2023-07-17
2023-07-24,595.6689453125,596.9000244140625,599.0,560.0499877929688,567.0,9323331,2023-07-24
2023-07-31,640.1769409179688,641.5,652.0,599.5,599.75,2703289,2023-07-31
2023-08-07,624.3096923828125,625.5999755859375,686.7000122070312,580.2999877929688,644.8499755859375,2998219,2023-08-07
2023-08-14,569.2236328125,570.4000244140625,625.0,560.0,625.0,1260537,2023-08-14
2023-08-21,549.0153198242188,550.1500244140625,589.0,498.04998779296875,584.0,2340612,2023-08-21
2023-08-28,547.218994140625,548.3499755859375,557.7000122070312,527.3499755859375,557.0,825483,2023-08-28
2023-09-04,554.1047973632812,555.25,573.5999755859375,543.5499877929688,560.0,681358,2023-09-04
2023-09-11,571.7683715820312,572.9500122070312,595.0499877929688,537.4000244140625,555.9000244140625,1172198,2023-09-11
2023-09-18,535.1439819335938,536.25,572.2999877929688,532.5499877929688,562.9500122070312,360706,2023-09-18
2023-09-25,534.9943237304688,536.0999755859375,542.0,526.7000122070312,540.9000244140625,349233,2023-09-25
2023-10-02,563.0862426757812,564.25,567.0,536.0,536.0999755859375,2718341,2023-10-02
2023-10-09,591.9765625,593.2000122070312,613.0,543.0,555.0,1443886,2023-10-09
2023-10-16,554.3543090820312,555.5,603.7999877929688,554.0,603.7999877929688,523040,2023-10-16
2023-10-23,526.71142578125,527.7999877929688,564.0,500.0,564.0,1622411,2023-10-23
2023-10-30,528.7571411132812,529.8499755859375,536.5,510.0,525.0499877929688,580097,2023-10-30
2023-11-06,520.7238159179688,521.7999877929688,549.5,492.0,529.8499755859375,514670,2023-11-06
2023-11-13,566.1798095703125,567.3499755859375,573.4500122070312,517.8499755859375,528.0,661383,2023-11-13
2023-11-20,537.938232421875,539.0499877929688,578.9500122070312,536.0499877929688,577.7999877929688,629006,2023-11-20
2023-11-27,521.97119140625,523.0499877929688,545.4000244140625,518.4000244140625,539.0499877929688,575218,2023-11-27
2023-12-04,611.1868286132812,612.4500122070312,623.5,530.4500122070312,534.4000244140625,2565774,2023-12-04
2023-12-11,608.3926391601562,609.6500244140625,656.0,603.2999877929688,635.0499877929688,1675636,2023-12-11
2023-12-18,614.9789428710938,616.25,640.0499877929688,583.5499877929688,613.7999877929688,1889432,2023-12-18
2023-12-25,598.5628662109375,599.7999877929688,639.9500122070312,593.6500244140625,616.25,985425,2023-12-25
2024-01-01,588.683349609375,589.9000244140625,617.9500122070312,573.0,601.4500122070312,1131406,2024-01-01
2024-01-08,579.701904296875,580.9000244140625,597.4500122070312,566.2000122070312,590.5,825495,2024-01-08
2024-01-15,579.05322265625,580.25,595.9500122070312,565.0,580.9000244140625,956601,2024-01-15
2024-01-22,594.8206176757812,596.0499877929688,637.9500122070312,580.25,580.25,1443590,2024-01-22
2024-01-29,542.1295166015625,543.25,599.8499755859375,539.7999877929688,596.0499877929688,1364133,2024-01-29
2024-02-05,557.747314453125,558.9000244140625,585.3499755859375,543.25,543.25,1056347,2024-02-05
2024-02-12,558.8948974609375,560.0499877929688,572.1500244140625,525.9000244140625,562.7999877929688,1228015,2024-02-12
2024-02-19,590.529541015625,591.75,601.1500244140625,557.25,560.9500122070312,2298528,2024-02-19
2024-02-26,585.7893676757812,587.0,606.5,557.5499877929688,603.7999877929688,1481161,2024-02-26
2024-03-04,591.7769775390625,593.0,610.0,569.7999877929688,589.9000244140625,1339839,2024-03-04
2024-03-11,562.6870727539062,563.8499755859375,595.0,531.0,593.75,5046387,2024-03-11
2024-03-18,577.95556640625,579.1500244140625,599.0,559.0499877929688,575.0,1385164,2024-03-18
2024-03-25,600.7584228515625,602.0,634.25,564.5,579.1500244140625,1381787,2024-03-25
2024-04-01,641.7236938476562,643.0499877929688,649.5,597.3499755859375,604.2999877929688,1514730,2024-04-01
2024-04-08,695.31298828125,696.75,710.0,640.9500122070312,649.9000244140625,3620610,2024-04-08
2024-04-15,721.0597534179688,722.5499877929688,724.9500122070312,661.0,684.0,2200260,2024-04-15
2024-04-22,725.7500610351562,727.25,749.0,712.5499877929688,728.0,1832090,2024-04-22
2024-04-29,710.4317626953125,711.9000244140625,750.0,703.0499877929688,730.5499877929688,2237395,2024-04-29
2024-05-06,680.8927612304688,682.2999877929688,718.7999877929688,654.9000244140625,718.7999877929688,1648733,2024-05-06
2024-05-13,703.6956787109375,705.1500244140625,724.0,664.0,681.0,1456848,2024-05-13
2024-05-20,701.1010131835938,702.5499877929688,729.0,699.0,711.2999877929688,928957,2024-05-20
2024-05-27,678.8969116210938,680.2999877929688,706.3499755859375,671.0,703.1500244140625,984304,2024-05-27
2024-06-03,704.943115234375,706.4000244140625,728.0,592.0,725.0,1830565,2024-06-03
2024-06-10,721.9080200195312,723.4000244140625,749.0,709.7999877929688,713.8499755859375,1286551,2024-06-10
2024-06-17,733.1348266601562,734.6500244140625,774.9000244140625,696.5499877929688,723.4000244140625,2443726,2024-06-17
2024-06-24,730.6898803710938,732.2000122070312,747.5,724.0,735.0,3234516,2024-06-24
2024-07-01,761.7755737304688,763.3499755859375,786.0,726.4000244140625,739.0,8312195,2024-07-01
2024-07-08,745.8585205078125,747.4000244140625,777.9500122070312,721.1500244140625,760.0,4965413,2024-07-08
2024-07-15,708.0366821289062,709.5,763.0,707.0,763.0,1946529,2024-07-15
2024-07-22,747.4053344726562,748.9500122070312,753.5999755859375,674.7999877929688,709.0,2335166,2024-07-22
2024-07-29,779.9380493164062,781.5499877929688,799.0,726.0,753.0,7238602,2024-07-29
2024-08-05,760.32861328125,761.9000244140625,775.0,705.0,768.8499755859375,3030930,2024-08-05
2024-08-12,738.4737548828125,740.0,774.0,726.2000122070312,758.0,1640210,2024-08-12
2024-08-19,767.8262329101562,768.4000244140625,791.0,732.7000122070312,752.1500244140625,1708847,2024-08-19
2024-08-26,773.8717041015625,774.4500122070312,810.9500122070312,752.0499877929688,767.0,1983260,2024-08-26
