Date,Adj Close_STARPAPER.NS,Close_STARPAPER.NS,High_STARPAPER.NS,Low_STARPAPER.NS,Open_STARPAPER.NS,Volume_STARPAPER.NS,Date
2020-07-13,90.71741485595703,99.4000015258789,103.6500015258789,97.55000305175781,102.0,301878,2020-07-13
2020-07-20,91.58442687988281,100.3499984741211,104.69999694824219,98.4000015258789,100.0999984741211,598313,2020-07-20
2020-07-27,87.70565795898438,96.0999984741211,102.6500015258789,95.05000305175781,100.0,562298,2020-07-27
2020-08-03,88.8921127319336,97.4000015258789,98.80000305175781,94.6500015258789,95.69999694824219,284467,2020-08-03
2020-08-10,91.67568969726562,100.44999694824219,104.19999694824219,97.05000305175781,98.0,854228,2020-08-10
2020-08-17,101.03034973144531,110.69999694824219,112.94999694824219,100.0,100.8499984741211,1626418,2020-08-17
2020-08-24,95.18939971923828,104.30000305175781,114.5999984741211,102.69999694824219,113.69999694824219,1177816,2020-08-24
2020-08-31,88.435791015625,96.9000015258789,104.4000015258789,96.0999984741211,104.4000015258789,366129,2020-08-31
2020-09-07,85.97162628173828,94.19999694824219,98.0999984741211,92.80000305175781,97.3499984741211,216033,2020-09-07
2020-09-14,88.02508544921875,96.44999694824219,99.30000305175781,94.0,95.0,283870,2020-09-14
2020-09-21,84.0111312866211,89.69999694824219,97.9000015258789,87.1500015258789,97.30000305175781,265335,2020-09-21
2020-09-28,85.2755126953125,91.05000305175781,94.19999694824219,90.0,90.0,121612,2020-09-28
2020-10-05,88.50670623779297,94.5,101.0,90.5999984741211,91.80000305175781,919160,2020-10-05
2020-10-12,84.85404968261719,90.5999984741211,95.0,89.80000305175781,94.94999694824219,194352,2020-10-12
2020-10-19,87.33598327636719,93.25,94.44999694824219,89.25,91.0,202694,2020-10-19
2020-10-26,82.84040069580078,88.44999694824219,93.80000305175781,87.9000015258789,93.0,135579,2020-10-26
2020-11-02,82.60625457763672,88.19999694824219,89.6500015258789,80.80000305175781,89.0,157367,2020-11-02
2020-11-09,85.55648040771484,91.3499984741211,98.4000015258789,87.9000015258789,89.0,687398,2020-11-09
2020-11-16,90.84815216064453,97.0,98.25,89.6500015258789,91.25,621518,2020-11-16
2020-11-23,87.8510971069336,93.80000305175781,97.75,91.69999694824219,97.69999694824219,365717,2020-11-23
2020-11-30,91.92522430419922,98.1500015258789,101.0,93.80000305175781,93.80000305175781,745832,2020-11-30
2020-12-07,99.6520004272461,106.4000015258789,108.9000015258789,97.19999694824219,98.0,1940059,2020-12-07
2020-12-14,111.17191314697266,118.69999694824219,127.4000015258789,105.80000305175781,107.55000305175781,4443665,2020-12-14
2020-12-21,108.73680877685547,116.0999984741211,125.0,108.6500015258789,122.5999984741211,1482860,2020-12-21
2020-12-28,110.65679931640625,118.1500015258789,119.5,111.6500015258789,116.0999984741211,693286,2020-12-28
2021-01-04,111.78069305419922,119.3499984741211,125.5,117.44999694824219,119.9000015258789,1903242,2021-01-04
2021-01-11,106.72315979003906,113.94999694824219,120.5,113.30000305175781,119.5999984741211,550756,2021-01-11
2021-01-18,103.81977844238281,110.8499984741211,117.75,109.8499984741211,114.5,417318,2021-01-18
2021-01-25,100.58858489990234,107.4000015258789,112.4000015258789,103.6500015258789,112.4000015258789,245137,2021-01-25
2021-02-01,102.41490173339844,109.3499984741211,112.4000015258789,105.05000305175781,107.3499984741211,415240,2021-02-01
2021-02-08,107.47242736816406,114.75,115.69999694824219,105.25,109.3499984741211,811935,2021-02-08
2021-02-15,112.24898529052734,119.8499984741211,123.5,113.05000305175781,113.0999984741211,1521982,2021-02-15
2021-02-22,109.90753173828125,117.3499984741211,123.94999694824219,115.19999694824219,120.0,722087,2021-02-22
2021-03-01,117.0255355834961,124.94999694824219,132.6999969482422,117.4000015258789,118.30000305175781,2366556,2021-03-01
2021-03-08,119.08600616455078,127.1500015258789,130.85000610351562,121.3499984741211,124.0999984741211,978914,2021-03-08
2021-03-15,114.5904312133789,122.3499984741211,138.60000610351562,118.55000305175781,128.39999389648438,2093583,2021-03-15
2021-03-22,114.63726043701172,122.4000015258789,127.0,119.5,123.0,610092,2021-03-22
2021-03-29,115.85480499267578,123.69999694824219,124.1500015258789,119.5,122.4000015258789,162183,2021-03-29
2021-04-05,114.96505737304688,122.75,126.30000305175781,118.0999984741211,121.19999694824219,495184,2021-04-05
2021-04-12,105.78658294677734,112.94999694824219,121.3499984741211,108.4000015258789,120.0,267253,2021-04-12
2021-04-19,103.72611236572266,110.75,114.30000305175781,108.3499984741211,111.75,148500,2021-04-19
2021-04-26,107.98755645751953,115.30000305175781,120.0,109.8499984741211,110.75,187528,2021-04-26
2021-05-03,117.49382019042969,125.44999694824219,133.0,113.19999694824219,116.9000015258789,1564041,2021-05-03
2021-05-10,115.62065887451172,123.44999694824219,127.19999694824219,116.8499984741211,125.25,446399,2021-05-10
2021-05-17,117.0255355834961,124.94999694824219,132.64999389648438,123.0,123.9000015258789,859790,2021-05-17
2021-05-24,119.74161529541016,127.8499984741211,129.9499969482422,121.55000305175781,121.55000305175781,1185680,2021-05-24
2021-05-31,133.55613708496094,142.60000610351562,150.4499969482422,127.05000305175781,128.9499969482422,4057269,2021-05-31
2021-06-07,136.55320739746094,145.8000030517578,151.5,140.25,143.6999969482422,1725859,2021-06-07
2021-06-14,126.95328521728516,135.5500030517578,147.89999389648438,132.0,146.0,897237,2021-06-14
2021-06-21,135.19517517089844,144.35000610351562,154.3000030517578,131.75,133.39999389648438,2840276,2021-06-21
2021-06-28,141.84486389160156,151.4499969482422,152.8000030517578,140.35000610351562,141.10000610351562,2044553,2021-06-28
2021-07-05,154.44186401367188,164.89999389648438,181.6999969482422,152.14999389648438,153.0,8181356,2021-07-05
2021-07-12,150.69552612304688,160.89999389648438,168.9499969482422,159.0,166.75,1494922,2021-07-12
2021-07-19,147.18336486816406,157.14999389648438,165.5,156.60000610351562,158.60000610351562,936348,2021-07-19
2021-07-26,154.5823516845703,165.0500030517578,178.6999969482422,150.0,156.89999389648438,2723129,2021-07-26
2021-08-02,154.4886932373047,164.9499969482422,174.4499969482422,155.10000610351562,165.10000610351562,2499724,2021-08-02
2021-08-09,155.51893615722656,166.0500030517578,171.39999389648438,147.6999969482422,165.89999389648438,2491181,2021-08-09
2021-08-16,140.9551239013672,150.5,165.0,149.5,165.0,751081,2021-08-16
2021-08-23,137.06832885742188,146.35000610351562,154.39999389648438,139.85000610351562,154.39999389648438,694653,2021-08-23
2021-08-30,140.06536865234375,149.5500030517578,153.9499969482422,147.0,149.0,686761,2021-08-30
2021-09-06,141.28294372558594,150.85000610351562,154.0500030517578,145.60000610351562,149.5,619037,2021-09-06
2021-09-13,138.23904418945312,147.60000610351562,156.6999969482422,146.60000610351562,151.8000030517578,661503,2021-09-13
2021-09-20,138.3908233642578,145.35000610351562,149.3000030517578,141.25,145.0,399224,2021-09-20
2021-09-27,145.484130859375,152.8000030517578,159.8000030517578,144.85000610351562,145.64999389648438,957761,2021-09-27
2021-10-04,144.38917541503906,151.64999389648438,159.1999969482422,151.0,153.60000610351562,989931,2021-10-04
2021-10-11,143.5798797607422,150.8000030517578,155.8000030517578,150.0,152.9499969482422,390677,2021-10-11
2021-10-18,136.67701721191406,143.5500030517578,153.25,143.0,151.64999389648438,329988,2021-10-18
2021-10-25,134.39190673828125,141.14999389648438,148.8000030517578,140.0,145.5,347771,2021-10-25
2021-11-01,136.86741638183594,143.75,147.0,140.5,143.5,129178,2021-11-01
2021-11-08,139.10491943359375,146.10000610351562,148.5,143.0,144.0,198685,2021-11-08
2021-11-15,128.86961364746094,135.35000610351562,147.75,134.0,146.89999389648438,214820,2021-11-15
2021-11-22,123.8233642578125,130.0500030517578,137.75,128.25,136.89999389648438,197798,2021-11-22
2021-11-29,119.72924041748047,125.75,131.89999389648438,122.8499984741211,131.89999389648438,187608,2021-11-29
2021-12-06,127.29859924316406,133.6999969482422,134.8000030517578,124.0999984741211,127.5,215933,2021-12-06
2021-12-13,120.5385513305664,126.5999984741211,135.89999389648438,125.8499984741211,135.89999389648438,114535,2021-12-13
2021-12-20,118.30106353759766,124.25,128.8000030517578,120.19999694824219,123.44999694824219,111918,2021-12-20
2021-12-27,120.63375091552734,126.69999694824219,133.0,123.0,125.05000305175781,154680,2021-12-27
2022-01-03,125.58477783203125,131.89999389648438,139.0,126.4000015258789,129.0,677214,2022-01-03
