Date,Adj Close_E2E.NS,Close_E2E.NS,High_E2E.NS,Low_E2E.NS,Open_E2E.NS,Volume_E2E.NS,Date
2020-07-13,23.149999618530273,23.149999618530273,23.149999618530273,21.0,21.0,24000,2020-07-13
2020-07-20,23.049999237060547,23.049999237060547,25.5,23.049999237060547,24.25,36000,2020-07-20
2020-07-27,21.549999237060547,21.549999237060547,23.049999237060547,20.850000381469727,23.049999237060547,28000,2020-07-27
2020-08-03,22.75,22.75,22.75,21.549999237060547,21.549999237060547,68000,2020-08-03
2020-08-10,25.0,25.0,25.0,23.850000381469727,23.850000381469727,14000,2020-08-10
2020-08-17,26.200000762939453,26.200000762939453,26.200000762939453,25.0,25.0,4000,2020-08-17
2020-08-24,26.25,26.25,26.25,25.0,26.200000762939453,4000,2020-08-24
2020-08-31,25.0,25.0,26.25,25.0,26.25,2000,2020-08-31
2020-09-07,25.0,25.0,25.0,25.0,25.0,2000,2020-09-07
2020-09-14,25.0,25.0,25.0,25.0,25.0,10000,2020-09-14
2020-09-21,30.25,30.25,30.25,26.200000762939453,26.25,62000,2020-09-21
2020-09-28,34.75,34.75,34.75,31.649999618530273,31.75,16000,2020-09-28
2020-10-05,44.25,44.25,44.25,36.45000076293945,36.45000076293945,80000,2020-10-05
2020-10-12,56.29999923706055,56.29999923706055,56.349998474121094,42.04999923706055,46.45000076293945,342000,2020-10-12
2020-10-19,50.0,50.0,57.95000076293945,48.0,57.95000076293945,98000,2020-10-19
2020-10-26,40.849998474121094,40.849998474121094,49.099998474121094,40.849998474121094,48.04999923706055,26000,2020-10-26
2020-11-02,35.5,35.5,40.849998474121094,35.20000076293945,40.849998474121094,30000,2020-11-02
2020-11-09,40.95000076293945,40.95000076293945,40.95000076293945,34.5,35.0,58000,2020-11-09
2020-11-16,45.04999923706055,45.04999923706055,45.04999923706055,39.0,39.0,26000,2020-11-16
2020-11-23,44.650001525878906,44.650001525878906,48.0,44.650001525878906,48.0,16000,2020-11-23
2020-11-30,37.25,37.25,44.650001525878906,37.0,44.650001525878906,42000,2020-11-30
2020-12-07,38.54999923706055,38.54999923706055,38.54999923706055,35.54999923706055,37.25,18000,2020-12-07
