Date,Adj Close_SINDHUTRAD.NS,Close_SINDHUTRAD.NS,High_SINDHUTRAD.NS,Low_SINDHUTRAD.NS,Open_SINDHUTRAD.NS,Volume_SINDHUTRAD.NS,Date
2023-06-19,23.100000381469727,23.100000381469727,25.0,22.5,24.25,205432,2023-06-19
2023-06-26,23.100000381469727,23.100000381469727,24.149999618530273,22.0,23.149999618530273,231256,2023-06-26
2023-07-03,22.649999618530273,22.649999618530273,23.850000381469727,22.149999618530273,23.100000381469727,838940,2023-07-03
2023-07-10,25.25,25.25,27.0,21.5,23.0,1061898,2023-07-10
2023-07-17,25.299999237060547,25.299999237060547,26.5,24.299999237060547,25.850000381469727,802045,2023-07-17
2023-07-24,23.600000381469727,23.600000381469727,25.450000762939453,22.899999618530273,25.450000762939453,1631259,2023-07-24
2023-07-31,29.049999237060547,29.049999237060547,32.0,23.100000381469727,24.149999618530273,5735489,2023-07-31
2023-08-07,24.899999618530273,24.899999618530273,29.5,24.600000381469727,29.5,1696532,2023-08-07
2023-08-14,24.0,24.0,26.700000762939453,23.399999618530273,26.700000762939453,3403679,2023-08-14
2023-08-21,27.450000762939453,27.450000762939453,27.549999237060547,23.600000381469727,24.350000381469727,1288360,2023-08-21
2023-08-28,29.450000762939453,29.450000762939453,31.5,26.399999618530273,28.600000381469727,1082567,2023-08-28
2023-09-04,28.75,28.75,30.700000762939453,28.0,30.5,776490,2023-09-04
2023-09-11,28.899999618530273,28.899999618530273,29.75,27.200000762939453,29.299999237060547,3703519,2023-09-11
2023-09-18,27.899999618530273,27.899999618530273,29.899999618530273,27.0,29.450000762939453,647874,2023-09-18
2023-09-25,27.0,27.0,28.25,26.649999618530273,28.25,63183,2023-09-25
2023-10-02,26.049999237060547,26.049999237060547,27.549999237060547,25.799999237060547,27.0,235365,2023-10-02
2023-10-09,24.850000381469727,24.850000381469727,26.700000762939453,24.5,26.049999237060547,155118,2023-10-09
2023-10-16,23.899999618530273,23.899999618530273,25.5,23.75,25.350000381469727,147579,2023-10-16
2023-10-23,23.700000762939453,23.700000762939453,24.200000762939453,21.649999618530273,24.200000762939453,57083,2023-10-23
2023-10-30,23.549999237060547,23.549999237060547,24.850000381469727,22.75,24.399999618530273,120010,2023-10-30
2023-11-06,23.899999618530273,23.899999618530273,24.950000762939453,23.149999618530273,23.149999618530273,106994,2023-11-06
2023-11-13,26.100000381469727,26.100000381469727,27.549999237060547,24.700000762939453,25.049999237060547,554337,2023-11-13
2023-11-20,29.149999618530273,29.149999618530273,30.450000762939453,25.5,26.899999618530273,8805243,2023-11-20
2023-11-27,27.600000381469727,27.600000381469727,30.450000762939453,27.399999618530273,29.149999618530273,10500042,2023-11-27
2023-12-04,28.149999618530273,28.149999618530273,30.0,26.25,27.0,7363088,2023-12-04
2023-12-11,30.149999618530273,30.149999618530273,31.600000381469727,27.899999618530273,29.0,14970839,2023-12-11
2023-12-18,29.399999618530273,29.399999618530273,35.54999923706055,28.450000762939453,30.600000381469727,44103042,2023-12-18
2023-12-25,27.0,27.0,32.20000076293945,26.75,29.399999618530273,55986980,2023-12-25
2024-01-01,24.649999618530273,24.649999618530273,27.100000381469727,23.899999618530273,26.950000762939453,30379685,2024-01-01
2024-01-08,27.200000762939453,27.200000762939453,28.899999618530273,22.75,24.649999618530273,59766266,2024-01-08
2024-01-15,25.549999237060547,25.549999237060547,27.600000381469727,24.899999618530273,27.200000762939453,15215549,2024-01-15
2024-01-22,28.600000381469727,28.600000381469727,28.75,24.200000762939453,25.549999237060547,23844329,2024-01-22
2024-01-29,27.799999237060547,27.799999237060547,30.75,25.850000381469727,28.899999618530273,31917014,2024-01-29
2024-02-05,36.45000076293945,36.45000076293945,37.04999923706055,27.450000762939453,27.950000762939453,67440912,2024-02-05
2024-02-12,38.95000076293945,38.95000076293945,43.900001525878906,33.650001525878906,36.900001525878906,113343119,2024-02-12
2024-02-19,41.54999923706055,41.54999923706055,42.79999923706055,37.45000076293945,40.75,98075144,2024-02-19
2024-02-26,38.79999923706055,38.79999923706055,45.150001525878906,37.70000076293945,41.5,127413005,2024-02-26
2024-03-04,28.299999237060547,28.299999237060547,39.79999923706055,26.700000762939453,37.599998474121094,36694894,2024-03-04
2024-03-11,22.200000762939453,22.200000762939453,28.799999237060547,16.700000762939453,28.299999237060547,46134109,2024-03-11
2024-03-18,28.5,28.5,28.5,23.0,24.399999618530273,16802625,2024-03-18
2024-03-25,28.5,28.5,31.350000381469727,27.5,28.5,11556530,2024-03-25
