Date,Adj Close_FINCABLES.NS,Close_FINCABLES.NS,High_FINCABLES.NS,Low_FINCABLES.NS,Open_FINCABLES.NS,Volume_FINCABLES.NS,Date
2021-04-12,355.8799133300781,368.6000061035156,379.8999938964844,358.6000061035156,375.0,360893,2021-04-12
2021-04-19,345.9836120605469,358.3500061035156,368.3500061035156,350.0,360.0,492939,2021-04-19
2021-04-26,349.26629638671875,361.75,369.70001220703125,358.29998779296875,358.3500061035156,382898,2021-04-26
2021-05-03,345.50091552734375,357.8500061035156,377.75,354.1000061035156,363.95001220703125,743099,2021-05-03
2021-05-10,357.4246826171875,370.20001220703125,383.3500061035156,356.0,363.8999938964844,942142,2021-05-10
2021-05-17,372.29327392578125,385.6000061035156,394.8500061035156,364.5,371.04998779296875,1818749,2021-05-17
2021-05-24,434.4225769042969,449.95001220703125,480.0,387.79998779296875,389.3999938964844,16324923,2021-05-24
2021-05-31,464.4493408203125,481.04998779296875,485.3999938964844,436.3999938964844,449.0,5207676,2021-05-31
2021-06-07,483.7591552734375,501.04998779296875,513.7000122070312,425.1000061035156,487.0,5169871,2021-06-07
2021-06-14,464.9803466796875,481.6000061035156,507.29998779296875,456.0,501.0,1670437,2021-06-14
2021-06-21,494.9588928222656,512.6500244140625,539.7000122070312,461.79998779296875,475.0,3781393,2021-06-21
2021-06-28,499.68975830078125,517.5499877929688,538.0,511.3500061035156,516.7000122070312,2283440,2021-06-28
2021-07-05,493.9450988769531,511.6000061035156,533.0,507.0,521.0,1839959,2021-07-05
2021-07-12,520.1099243164062,538.7000122070312,557.7000122070312,503.6499938964844,511.6499938964844,3758592,2021-07-12
2021-07-19,508.2825927734375,526.4500122070312,546.6500244140625,501.5,536.0,1362879,2021-07-19
2021-07-26,503.98614501953125,522.0,530.7999877929688,514.25,522.7999877929688,845634,2021-07-26
2021-08-02,489.0693359375,506.54998779296875,540.0,505.0,522.0,1247347,2021-08-02
2021-08-09,472.9456481933594,489.8500061035156,516.5,475.25,511.25,2248127,2021-08-09
2021-08-16,447.9877014160156,464.0,501.0,462.0,495.0,808255,2021-08-16
2021-08-23,435.6777038574219,451.25,471.0,440.1000061035156,471.0,889418,2021-08-23
2021-08-30,456.9184875488281,473.25,479.04998779296875,445.8999938964844,452.3999938964844,1299679,2021-08-30
2021-09-06,477.4351806640625,494.5,498.5,470.5,476.29998779296875,1216444,2021-09-06
2021-09-13,495.5863952636719,513.2999877929688,531.0,496.0,496.6000061035156,2090635,2021-09-13
2021-09-20,481.04705810546875,493.04998779296875,511.6499938964844,476.25,511.6499938964844,792223,2021-09-20
2021-09-27,466.90008544921875,478.54998779296875,497.45001220703125,475.6000061035156,492.0,841686,2021-09-27
2021-10-04,488.9986877441406,501.20001220703125,516.5,479.6499938964844,488.54998779296875,990025,2021-10-04
2021-10-11,478.6079406738281,490.54998779296875,515.0,486.25,505.5,452452,2021-10-11
2021-10-18,445.6795654296875,456.79998779296875,504.70001220703125,445.1000061035156,494.5,728802,2021-10-18
2021-10-25,455.777587890625,467.1499938964844,480.0,442.75,460.0,815304,2021-10-25
2021-11-01,482.3154296875,494.3500061035156,497.0,463.5,468.0,454602,2021-11-01
2021-11-08,492.75494384765625,505.04998779296875,512.0,488.3999938964844,499.0,1150092,2021-11-08
2021-11-15,571.63671875,585.9000244140625,607.5,510.0,510.0,7647029,2021-11-15
2021-11-22,540.07421875,553.5499877929688,608.5999755859375,546.0,591.4000244140625,2041930,2021-11-22
2021-11-29,558.6604614257812,572.5999755859375,593.7000122070312,515.5499877929688,545.0999755859375,1432604,2021-11-29
2021-12-06,567.0512084960938,581.2000122070312,596.5499877929688,551.0,570.0,1336655,2021-12-06
2021-12-13,539.1962280273438,552.6500244140625,589.0,538.0,589.0,627980,2021-12-13
2021-12-20,518.1707153320312,531.0999755859375,550.4000244140625,515.1500244140625,550.0,662388,2021-12-20
2021-12-27,515.2438354492188,528.0999755859375,535.0,525.0,531.0999755859375,308655,2021-12-27
2022-01-03,515.0487060546875,527.9000244140625,549.2999877929688,525.0,525.2999877929688,557553,2022-01-03
2022-01-10,517.0975952148438,530.0,545.0,528.0,532.0499877929688,707834,2022-01-10
2022-01-17,487.73028564453125,499.8999938964844,540.0,494.54998779296875,529.9500122070312,676097,2022-01-17
2022-01-24,493.096435546875,505.3999938964844,514.0,450.0,492.0,1041446,2022-01-24
2022-01-31,487.73028564453125,499.8999938964844,517.25,482.45001220703125,505.3999938964844,644848,2022-01-31
2022-02-07,472.9003601074219,484.70001220703125,512.0,482.1000061035156,504.70001220703125,459122,2022-02-07
2022-02-14,456.4117736816406,467.79998779296875,489.75,437.04998779296875,462.04998779296875,866457,2022-02-14
2022-02-21,413.1414794921875,423.45001220703125,473.95001220703125,374.3999938964844,473.95001220703125,726766,2022-02-21
2022-02-28,390.4086608886719,400.1499938964844,420.3999938964844,392.0,410.0,463468,2022-02-28
2022-03-07,378.7496032714844,388.20001220703125,414.95001220703125,374.0,395.0,1203314,2022-03-07
2022-03-14,386.60357666015625,396.25,405.25,375.3999938964844,392.0,894924,2022-03-14
2022-03-21,373.0419921875,382.3500061035156,430.0,377.5,409.0,1483288,2022-03-21
2022-03-28,384.8962097167969,394.5,398.04998779296875,368.5,380.1000061035156,1052078,2022-03-28
2022-04-04,407.0923767089844,417.25,429.0,391.04998779296875,401.70001220703125,2459328,2022-04-04
2022-04-11,408.94610595703125,419.1499938964844,419.95001220703125,405.25,415.0,532420,2022-04-11
2022-04-18,398.6041564941406,408.54998779296875,424.70001220703125,391.5,416.0,1734220,2022-04-18
2022-04-25,391.6282043457031,401.3999938964844,412.8999938964844,395.8999938964844,408.0,698126,2022-04-25
2022-05-02,360.9926452636719,370.0,404.20001220703125,366.1000061035156,397.8500061035156,403591,2022-05-02
2022-05-09,351.0897521972656,359.8500061035156,390.0,349.1000061035156,370.0,791074,2022-05-09
