Date,Adj Close_GMBREW.NS,Close_GMBREW.NS,High_GMBREW.NS,Low_GMBREW.NS,Open_GMBREW.NS,Volume_GMBREW.NS,Date
2021-01-04,341.52410888671875,357.7200012207031,379.20001220703125,332.0,332.0,173433,2021-01-04
2021-01-11,318.3816223144531,333.4800109863281,363.20001220703125,328.79998779296875,348.79998779296875,61455,2021-01-11
2021-01-18,315.135498046875,330.0799865722656,343.20001220703125,317.239990234375,335.9200134277344,39070,2021-01-18
2021-01-25,307.0394592285156,321.6000061035156,335.20001220703125,316.0400085449219,325.8399963378906,41851,2021-01-25
2021-02-01,336.292236328125,352.239990234375,378.3999938964844,313.9200134277344,330.3999938964844,403309,2021-02-01
2021-02-08,323.4607238769531,338.79998779296875,360.0,329.20001220703125,352.0,111452,2021-02-08
2021-02-15,315.4410400390625,330.3999938964844,344.0,327.4800109863281,339.0400085449219,65251,2021-02-15
2021-02-22,323.1551818847656,338.4800109863281,339.32000732421875,320.0,331.9599914550781,77023,2021-02-22
2021-03-01,320.97845458984375,336.20001220703125,355.20001220703125,329.32000732421875,340.239990234375,179144,2021-03-01
2021-03-08,322.9642639160156,338.2799987792969,352.0,334.8399963378906,339.0,106184,2021-03-08
2021-03-15,298.1032409667969,312.239990234375,340.0400085449219,292.4800109863281,340.0400085449219,117053,2021-03-15
2021-03-22,317.312255859375,332.3599853515625,356.0,313.4800109863281,316.0,327650,2021-03-22
2021-03-29,332.8934326171875,348.67999267578125,351.20001220703125,328.0,332.3599853515625,123938,2021-03-29
2021-04-05,326.7449645996094,342.239990234375,384.79998779296875,336.44000244140625,352.0,1748993,2021-04-05
2021-04-12,310.36187744140625,325.0799865722656,342.239990234375,320.79998779296875,342.239990234375,161298,2021-04-12
2021-04-19,297.5304260253906,311.6400146484375,326.3999938964844,305.6000061035156,326.3999938964844,146162,2021-04-19
2021-04-26,301.12017822265625,315.3999938964844,332.0,312.0,315.4800109863281,174102,2021-04-26
2021-05-03,306.3520812988281,320.8800048828125,329.6000061035156,314.0799865722656,316.79998779296875,128479,2021-05-03
2021-05-10,310.20916748046875,324.9200134277344,334.3999938964844,314.3999938964844,324.0,185063,2021-05-10
2021-05-17,317.54144287109375,332.6000061035156,341.6000061035156,322.55999755859375,326.239990234375,182905,2021-05-17
2021-05-24,328.5016784667969,344.0799865722656,356.0,333.20001220703125,335.8399963378906,337917,2021-05-24
2021-05-31,400.3351745605469,419.32000732421875,442.32000732421875,340.0,340.0,2564764,2021-05-31
2021-06-07,443.8324279785156,464.8800048828125,522.9600219726562,425.5199890136719,425.5199890136719,2824038,2021-06-07
2021-06-14,452.80682373046875,474.2799987792969,496.9599914550781,440.8800048828125,467.79998779296875,1357642,2021-06-14
2021-06-21,448.7588195800781,470.0400085449219,489.6000061035156,460.0,469.6000061035156,457096,2021-06-21
2021-06-28,472.0540771484375,494.44000244140625,522.4000244140625,460.0,470.3999938964844,891460,2021-06-28
2021-07-05,460.52471923828125,479.0799865722656,512.7999877929688,474.5199890136719,498.3599853515625,327098,2021-07-05
2021-07-12,466.0231628417969,484.79998779296875,490.239990234375,470.55999755859375,479.0799865722656,244771,2021-07-12
2021-07-19,457.10260009765625,475.5199890136719,490.3599853515625,454.0799865722656,483.20001220703125,281176,2021-07-19
2021-07-26,447.6437072753906,465.67999267578125,502.3999938964844,452.0,478.9599914550781,823216,2021-07-26
2021-08-02,429.11041259765625,446.3999938964844,478.1600036621094,441.6400146484375,469.32000732421875,317353,2021-08-02
2021-08-09,441.2608947753906,459.0400085449219,468.0,418.0,456.0,349739,2021-08-09
2021-08-16,426.4573669433594,443.6400146484375,470.3999938964844,437.6400146484375,458.3999938964844,242673,2021-08-16
2021-08-23,424.8424072265625,441.9599914550781,456.6400146484375,426.20001220703125,446.4800109863281,169584,2021-08-23
2021-08-30,454.02655029296875,472.32000732421875,492.0,436.79998779296875,446.0799865722656,721600,2021-08-30
2021-09-06,441.3377990722656,459.1199951171875,480.0,457.6000061035156,475.9200134277344,161689,2021-09-06
2021-09-13,448.2973937988281,466.3599853515625,481.6000061035156,456.0,456.0,331011,2021-09-13
2021-09-20,460.48626708984375,479.0400085449219,502.6000061035156,428.79998779296875,471.20001220703125,828792,2021-09-20
2021-09-27,468.7916259765625,487.67999267578125,501.2799987792969,467.20001220703125,482.79998779296875,504567,2021-09-27
2021-10-04,592.1416625976562,616.0,647.2000122070312,489.6000061035156,490.2799987792969,3818428,2021-10-04
2021-10-11,645.0883178710938,671.0800170898438,738.4000244140625,613.52001953125,621.3200073242188,4013894,2021-10-11
2021-10-18,571.5704345703125,594.5999755859375,679.3599853515625,572.0,676.4400024414062,783591,2021-10-18
2021-10-25,588.8348999023438,612.5599975585938,620.4400024414062,564.3200073242188,599.1199951171875,654954,2021-10-25
2021-11-01,585.5665893554688,609.1599731445312,636.0,596.0,616.0,246614,2021-11-01
2021-11-08,605.4071655273438,629.7999877929688,648.0,604.0,613.9199829101562,585099,2021-11-08
2021-11-15,551.42236328125,573.6400146484375,633.5599975585938,568.9199829101562,629.7999877929688,283428,2021-11-15
2021-11-22,531.5047607421875,552.9199829101562,584.7999877929688,540.4000244140625,581.3200073242188,244274,2021-11-22
2021-11-29,537.6569213867188,559.3200073242188,571.1199951171875,520.0,548.0,202716,2021-11-29
2021-12-06,550.6533203125,572.8400268554688,588.0,547.4400024414062,557.5999755859375,206029,2021-12-06
2021-12-13,532.0816040039062,553.52001953125,590.4000244140625,552.0800170898438,576.0,207756,2021-12-13
2021-12-20,587.6044921875,611.280029296875,638.1199951171875,530.4000244140625,552.7999877929688,1091439,2021-12-20
2021-12-27,626.9396362304688,652.2000122070312,679.239990234375,611.280029296875,616.0,1002731,2021-12-27
2022-01-03,585.2974853515625,608.8800048828125,710.280029296875,601.6799926757812,652.2000122070312,2285111,2022-01-03
2022-01-10,575.7232055664062,598.9199829101562,611.8400268554688,578.4000244140625,608.7999877929688,813080,2022-01-10
2022-01-17,550.80712890625,573.0,603.2000122070312,569.8400268554688,600.6400146484375,214311,2022-01-17
2022-01-24,535.619140625,557.2000122070312,571.9600219726562,532.7999877929688,567.239990234375,188033,2022-01-24
2022-01-31,530.9664916992188,552.3599853515625,564.4400024414062,544.8400268554688,557.2000122070312,147232,2022-01-31
2022-02-07,508.8957824707031,529.4000244140625,557.0,515.280029296875,552.3599853515625,158276,2022-02-07
2022-02-14,500.6673583984375,520.8400268554688,534.2000122070312,493.4800109863281,524.0,214660,2022-02-14
2022-02-21,471.29095458984375,490.2799987792969,515.280029296875,448.8399963378906,515.280029296875,195976,2022-02-21
2022-02-28,476.4049072265625,495.6000061035156,504.79998779296875,480.239990234375,486.79998779296875,107553,2022-02-28
2022-03-07,490.40093994140625,510.1600036621094,521.52001953125,471.6400146484375,492.3999938964844,180000,2022-03-07
2022-03-14,498.62939453125,518.719970703125,532.7999877929688,497.6000061035156,512.0,139206,2022-03-14
2022-03-21,535.1192016601562,556.6799926757812,575.0800170898438,519.52001953125,523.1199951171875,262747,2022-03-21
2022-03-28,558.9971313476562,581.52001953125,588.0,548.7999877929688,559.2000122070312,298361,2022-03-28
2022-04-04,556.6131591796875,579.0399780273438,608.0,552.7999877929688,583.2000122070312,365978,2022-04-04
2022-04-11,518.8160400390625,539.719970703125,591.8800048828125,532.0,575.2000122070312,1016878,2022-04-11
2022-04-18,502.5513610839844,522.7999877929688,539.9199829101562,517.0800170898438,539.719970703125,221658,2022-04-18
2022-04-25,488.24774169921875,507.9200134277344,527.9199829101562,496.44000244140625,521.52001953125,139520,2022-04-25
2022-05-02,471.32940673828125,490.32000732421875,515.760009765625,479.239990234375,504.0,183659,2022-05-02
2022-05-09,424.07342529296875,441.1600036621094,488.79998779296875,424.0,488.79998779296875,137697,2022-05-09
2022-05-16,453.7410583496094,467.6000061035156,483.3599853515625,443.1199951171875,447.9200134277344,99985,2022-05-16
2022-05-23,435.84759521484375,449.1600036621094,479.20001220703125,427.20001220703125,479.20001220703125,66441,2022-05-23
2022-05-30,465.3077392578125,479.5199890136719,492.20001220703125,451.32000732421875,459.67999267578125,87347,2022-05-30
2022-06-06,458.0106201171875,472.0,489.239990234375,438.9200134277344,478.8800048828125,52331,2022-06-06
2022-06-13,421.6414794921875,434.5199890136719,467.9599914550781,431.55999755859375,467.9599914550781,63623,2022-06-13
2022-06-20,429.4820251464844,442.6000061035156,450.44000244140625,404.3999938964844,438.32000732421875,66122,2022-06-20
2022-06-27,463.1341552734375,477.2799987792969,484.0,442.9599914550781,442.9599914550781,91834,2022-06-27
2022-07-04,449.704345703125,463.44000244140625,496.0,460.0799865722656,481.5199890136719,573934,2022-07-04
2022-07-11,442.64013671875,456.1600036621094,479.1199951171875,454.9200134277344,462.44000244140625,135138,2022-07-11
2022-07-18,453.5858154296875,467.44000244140625,478.3999938964844,456.8800048828125,457.6000061035156,97529,2022-07-18
2022-07-25,452.1884765625,466.0,474.67999267578125,460.32000732421875,472.0,90830,2022-07-25
2022-08-01,459.407958984375,473.44000244140625,487.0,461.6000061035156,466.3999938964844,332481,2022-08-01
2022-08-08,444.61968994140625,458.20001220703125,478.0799865722656,446.44000244140625,473.44000244140625,125080,2022-08-08
2022-08-15,444.27032470703125,457.8399963378906,471.760009765625,454.4800109863281,458.20001220703125,107470,2022-08-15
2022-08-22,464.76434326171875,478.9599914550781,495.20001220703125,453.6000061035156,460.0,214810,2022-08-22
2022-08-29,475.86529541015625,490.3999938964844,500.0,464.0,464.0,234526,2022-08-29
2022-09-05,478.8152160644531,493.44000244140625,520.0,488.8800048828125,489.6000061035156,272964,2022-09-05
2022-09-12,478.38824462890625,493.0,512.0,484.0799865722656,499.20001220703125,221440,2022-09-12
2022-09-19,479.51385498046875,494.1600036621094,525.5999755859375,486.3999938964844,492.0,321323,2022-09-19
2022-09-26,477.7671813964844,492.3599853515625,499.8399963378906,480.0,484.79998779296875,176090,2022-09-26
2022-10-03,496.5146179199219,511.67999267578125,519.1599731445312,492.3599853515625,492.3599853515625,200693,2022-10-03
2022-10-10,464.220947265625,478.3999938964844,523.6400146484375,466.5199890136719,508.0,815364,2022-10-10
2022-10-17,457.66131591796875,471.6400146484375,492.0,469.55999755859375,473.7200012207031,132545,2022-10-17
2022-10-24,457.3119812011719,471.2799987792969,483.8800048828125,468.4800109863281,481.0,43059,2022-10-24
2022-10-31,452.033203125,465.8399963378906,475.1600036621094,462.8800048828125,471.44000244140625,94363,2022-10-31
2022-11-07,461.50396728515625,475.6000061035156,480.5199890136719,463.20001220703125,468.79998779296875,56702,2022-11-07
2022-11-14,452.6154479980469,466.44000244140625,482.9599914550781,464.0,479.1600036621094,72944,2022-11-14
2022-11-21,452.0720520019531,465.8800048828125,472.0400085449219,463.20001220703125,466.44000244140625,52192,2022-11-21
2022-11-28,477.2626037597656,491.8399963378906,501.20001220703125,465.8800048828125,465.8800048828125,210559,2022-11-28
2022-12-05,479.2421569824219,493.8800048828125,508.0,486.44000244140625,495.9200134277344,193895,2022-12-05
2022-12-12,477.6895751953125,492.2799987792969,504.0,489.55999755859375,499.20001220703125,125825,2022-12-12
2022-12-19,435.92523193359375,449.239990234375,519.2000122070312,446.3999938964844,492.44000244140625,352022,2022-12-19
2022-12-26,485.0643005371094,499.8800048828125,508.0799865722656,449.239990234375,449.239990234375,183473,2022-12-26
2023-01-02,466.27813720703125,480.5199890136719,508.7200012207031,477.32000732421875,499.8800048828125,139017,2023-01-02
2023-01-09,468.0635681152344,482.3599853515625,496.0,474.3599853515625,486.3999938964844,559383,2023-01-09
2023-01-16,464.531494140625,478.7200012207031,496.0,476.2799987792969,486.5199890136719,262662,2023-01-16
2023-01-23,450.4418640136719,464.20001220703125,481.0,455.9599914550781,476.8399963378906,116550,2023-01-23
2023-01-30,439.41851806640625,452.8399963378906,468.8800048828125,446.5199890136719,464.0,124091,2023-01-30
2023-02-06,446.59918212890625,460.239990234375,464.0799865722656,453.6400146484375,458.9200134277344,66512,2023-02-06
2023-02-13,441.63092041015625,455.1199951171875,463.9599914550781,450.8800048828125,461.55999755859375,62910,2023-02-13
2023-02-20,434.7995910644531,448.0799865722656,458.6400146484375,444.0,458.3999938964844,64422,2023-02-20
2023-02-27,425.5617370605469,438.55999755859375,449.1600036621094,432.79998779296875,448.0799865722656,165097,2023-02-27
2023-03-06,444.54205322265625,458.1199951171875,468.0,439.0799865722656,441.6000061035156,201475,2023-03-06
2023-03-13,428.12353515625,441.20001220703125,460.5199890136719,438.67999267578125,460.5199890136719,74268,2023-03-13
2023-03-20,422.0296630859375,434.9200134277344,448.0,432.0799865722656,441.1600036621094,108559,2023-03-20
2023-03-27,414.9654235839844,427.6400146484375,433.6000061035156,409.6000061035156,425.8800048828125,127597,2023-03-27
2023-04-03,436.0416259765625,449.3599853515625,480.0,430.6000061035156,435.760009765625,608129,2023-04-03
2023-04-10,462.39666748046875,476.5199890136719,487.20001220703125,442.4800109863281,448.79998779296875,394144,2023-04-10
2023-04-17,451.48980712890625,465.2799987792969,494.3599853515625,456.5199890136719,476.5199890136719,227398,2023-04-17
2023-04-24,440.9322814941406,454.3999938964844,473.0400085449219,450.9200134277344,469.0,204077,2023-04-24
2023-05-01,441.2816162109375,454.760009765625,463.9599914550781,452.8800048828125,454.3999938964844,85808,2023-05-01
2023-05-08,443.8045349121094,457.3599853515625,463.1199951171875,454.32000732421875,454.760009765625,72257,2023-05-08
2023-05-15,435.7311706542969,449.0400085449219,462.3999938964844,448.0,460.7200012207031,118341,2023-05-15
2023-05-22,439.3144226074219,447.9599914550781,451.6000061035156,443.20001220703125,451.6000061035156,85847,2023-05-22
2023-05-29,450.41595458984375,459.2799987792969,462.3599853515625,442.0799865722656,455.20001220703125,433096,2023-05-29
2023-06-05,449.43524169921875,458.2799987792969,463.55999755859375,453.6000061035156,460.0,262230,2023-06-05
2023-06-12,453.0050048828125,461.9200134277344,471.1600036621094,454.9599914550781,460.7200012207031,212182,2023-06-12
2023-06-19,461.9881896972656,471.0799865722656,476.0,455.1600036621094,464.7200012207031,360395,2023-06-19
2023-06-26,456.45709228515625,465.44000244140625,482.6400146484375,464.8800048828125,474.2799987792969,236296,2023-06-26
2023-07-03,460.3798522949219,469.44000244140625,499.8399963378906,464.1199951171875,470.3999938964844,1508086,2023-07-03
2023-07-10,467.3232116699219,476.5199890136719,485.0799865722656,466.8399963378906,469.760009765625,336560,2023-07-10
