Date,Adj Close_PRSMJOHNSN.NS,Close_PRSMJOHNSN.NS,High_PRSMJOHNSN.NS,Low_PRSMJOHNSN.NS,Open_PRSMJOHNSN.NS,Volume_PRSMJOHNSN.NS,Date
2020-07-13,48.900001525878906,48.900001525878906,50.849998474121094,46.04999923706055,49.0,453231,2020-07-13
2020-07-20,46.04999923706055,46.04999923706055,50.0,45.04999923706055,48.099998474121094,896625,2020-07-20
2020-07-27,44.400001525878906,44.400001525878906,46.900001525878906,44.0,45.54999923706055,490923,2020-07-27
2020-08-03,46.099998474121094,46.099998474121094,48.20000076293945,43.95000076293945,44.45000076293945,769635,2020-08-03
2020-08-10,47.79999923706055,47.79999923706055,49.70000076293945,45.849998474121094,46.099998474121094,1343804,2020-08-10
2020-08-17,57.099998474121094,57.099998474121094,58.0,47.20000076293945,48.95000076293945,3089083,2020-08-17
2020-08-24,56.75,56.75,61.70000076293945,53.900001525878906,57.25,2962919,2020-08-24
2020-08-31,51.650001525878906,51.650001525878906,57.5,49.5,57.0,976926,2020-08-31
2020-09-07,53.04999923706055,53.04999923706055,53.5,49.95000076293945,52.5,1058873,2020-09-07
2020-09-14,59.099998474121094,59.099998474121094,62.400001525878906,54.0,54.0,3774808,2020-09-14
2020-09-21,56.349998474121094,56.349998474121094,59.70000076293945,53.79999923706055,59.70000076293945,795140,2020-09-21
2020-09-28,57.20000076293945,57.20000076293945,58.099998474121094,55.5,56.79999923706055,344012,2020-09-28
2020-10-05,65.0,65.0,67.3499984741211,56.599998474121094,56.79999923706055,2529177,2020-10-05
2020-10-12,67.0,67.0,70.69999694824219,63.5,65.0,2209679,2020-10-12
2020-10-19,73.94999694824219,73.94999694824219,75.5,66.5,66.55000305175781,3321203,2020-10-19
2020-10-26,71.5999984741211,71.5999984741211,75.69999694824219,71.0999984741211,74.0,1065929,2020-10-26
2020-11-02,75.05000305175781,75.05000305175781,77.80000305175781,70.75,71.5,1750113,2020-11-02
2020-11-09,82.9000015258789,82.9000015258789,87.19999694824219,75.05000305175781,75.05000305175781,4172756,2020-11-09
2020-11-16,80.05000305175781,80.05000305175781,85.0,79.5,81.4000015258789,1161357,2020-11-16
2020-11-23,81.94999694824219,81.94999694824219,83.80000305175781,79.30000305175781,80.5,2083164,2020-11-23
2020-11-30,87.80000305175781,87.80000305175781,89.69999694824219,80.0999984741211,81.94999694824219,2656549,2020-11-30
2020-12-07,86.80000305175781,86.80000305175781,91.5999984741211,83.5,88.0,4013249,2020-12-07
2020-12-14,89.19999694824219,89.19999694824219,94.5,87.0999984741211,87.4000015258789,2032447,2020-12-14
2020-12-21,88.75,88.75,91.5999984741211,79.0,89.5999984741211,1296882,2020-12-21
2020-12-28,88.75,88.75,93.69999694824219,86.55000305175781,88.75,1481848,2020-12-28
2021-01-04,88.5,88.5,95.0,85.55000305175781,89.0999984741211,16025655,2021-01-04
2021-01-11,84.05000305175781,84.05000305175781,89.19999694824219,83.5,88.5999984741211,1231536,2021-01-11
2021-01-18,83.9000015258789,83.9000015258789,89.5999984741211,83.0,84.4000015258789,1283048,2021-01-18
2021-01-25,90.94999694824219,90.94999694824219,93.5999984741211,84.6500015258789,85.0,3663275,2021-01-25
2021-02-01,97.69999694824219,97.69999694824219,104.5,85.5999984741211,90.94999694824219,6502252,2021-02-01
2021-02-08,116.1500015258789,116.1500015258789,118.4000015258789,97.0,97.0,6188706,2021-02-08
2021-02-15,108.4000015258789,108.4000015258789,120.0,107.05000305175781,117.0999984741211,2891555,2021-02-15
