Date,Adj Close_CHOICEIN.NS,Close_CHOICEIN.NS,High_CHOICEIN.NS,Low_CHOICEIN.NS,Open_CHOICEIN.NS,Volume_CHOICEIN.NS,Date
2022-08-22,108.6500015258789,108.6500015258789,109.5,107.5,109.0,397256,2022-08-22
2022-08-29,108.38749694824219,108.38749694824219,109.6500015258789,105.75,107.9000015258789,413664,2022-08-29
2022-09-05,109.9375,109.9375,110.25,107.25,108.75,522016,2022-09-05
2022-09-12,115.2874984741211,115.2874984741211,120.25,109.75,110.25,1066072,2022-09-12
2022-09-19,119.67500305175781,119.67500305175781,128.9499969482422,112.5,117.0,697906,2022-09-19
2022-09-26,114.57499694824219,114.57499694824219,118.4000015258789,109.5250015258789,117.25,247380,2022-09-26
2022-10-03,122.82499694824219,122.82499694824219,124.92500305175781,109.5,116.5,440826,2022-10-03
2022-10-10,124.6500015258789,124.6500015258789,130.47500610351562,118.0,122.875,440368,2022-10-10
2022-10-17,125.05000305175781,125.05000305175781,129.3000030517578,122.0,128.4499969482422,256470,2022-10-17
2022-10-24,132.0749969482422,132.0749969482422,132.5,125.5,126.0,263288,2022-10-24
2022-10-31,145.0,145.0,149.6999969482422,132.27499389648438,133.75,723570,2022-10-31
2022-11-07,136.3000030517578,136.3000030517578,147.47500610351562,134.5,147.0,349106,2022-11-07
2022-11-14,134.02499389648438,134.02499389648438,139.9499969482422,132.0,139.89999389648438,343940,2022-11-14
2022-11-21,134.02499389648438,134.02499389648438,138.9250030517578,126.0,134.0,397840,2022-11-21
2022-11-28,135.0500030517578,135.0500030517578,137.0,132.47500610351562,134.02499389648438,250690,2022-11-28
2022-12-05,127.7750015258789,127.7750015258789,137.97500610351562,127.5,137.0749969482422,254198,2022-12-05
2022-12-12,126.69999694824219,126.69999694824219,130.5500030517578,124.6500015258789,127.9749984741211,282036,2022-12-12
2022-12-19,117.7750015258789,117.7750015258789,130.0,116.75,126.5,370816,2022-12-19
2022-12-26,124.92500305175781,124.92500305175781,127.4749984741211,116.0,117.0,305610,2022-12-26
2023-01-02,125.7249984741211,125.7249984741211,129.72500610351562,122.94999694824219,127.42500305175781,283880,2023-01-02
2023-01-09,135.5500030517578,135.5500030517578,137.25,123.7750015258789,129.47500610351562,463862,2023-01-09
2023-01-16,134.0500030517578,134.0500030517578,140.5,132.0,140.0,357096,2023-01-16
2023-01-23,131.35000610351562,131.35000610351562,140.35000610351562,129.1750030517578,136.0500030517578,329598,2023-01-23
2023-01-30,127.5999984741211,127.5999984741211,135.72500610351562,125.55000305175781,133.8000030517578,394150,2023-01-30
2023-02-06,135.89999389648438,135.89999389648438,136.9499969482422,125.42500305175781,129.5,390724,2023-02-06
2023-02-13,134.77499389648438,134.77499389648438,137.25,127.5,137.25,394622,2023-02-13
2023-02-20,128.125,128.125,135.60000610351562,127.5,134.0,2244796,2023-02-20
2023-02-27,133.22500610351562,133.22500610351562,135.35000610351562,127.0,128.125,1257056,2023-02-27
2023-03-06,131.1999969482422,131.1999969482422,135.27499389648438,129.1750030517578,134.72500610351562,523130,2023-03-06
2023-03-13,126.8499984741211,126.8499984741211,133.0,125.5,131.0,2890796,2023-03-13
2023-03-20,137.47500610351562,137.47500610351562,147.0,125.55000305175781,132.1999969482422,6275884,2023-03-20
2023-03-27,141.14999389648438,141.14999389648438,144.1999969482422,136.27499389648438,138.85000610351562,1621832,2023-03-27
2023-04-03,140.125,140.125,147.1999969482422,137.3000030517578,141.4499969482422,1383732,2023-04-03
2023-04-10,153.52499389648438,153.52499389648438,156.77499389648438,140.5,141.0,2782522,2023-04-10
2023-04-17,161.0749969482422,161.0749969482422,162.47500610351562,154.02499389648438,154.02499389648438,3640638,2023-04-17
2023-04-24,165.72500610351562,165.72500610351562,167.5,156.14999389648438,161.97500610351562,3617552,2023-04-24
2023-05-01,165.85000610351562,165.85000610351562,169.5749969482422,164.1750030517578,165.72500610351562,1823462,2023-05-01
2023-05-08,167.4499969482422,167.4499969482422,168.75,161.60000610351562,166.5,2599154,2023-05-08
2023-05-15,178.77499389648438,178.77499389648438,183.10000610351562,167.5,167.5,6501260,2023-05-15
