Date,Adj Close_ACCELYA.NS,Close_ACCELYA.NS,High_ACCELYA.NS,Low_ACCELYA.NS,Open_ACCELYA.NS,Volume_ACCELYA.NS,Date
2020-07-13,763.8598022460938,949.5,970.1500244140625,942.5499877929688,944.4500122070312,113240,2020-07-13
2020-07-20,788.959716796875,980.7000122070312,1014.4000244140625,946.5999755859375,951.0,345794,2020-07-20
2020-07-27,791.8558959960938,984.2999877929688,1006.9000244140625,971.0499877929688,980.25,132548,2020-07-27
2020-08-03,785.3395385742188,976.2000122070312,998.0,971.3499755859375,994.7999877929688,158464,2020-08-03
2020-08-10,813.9390869140625,1011.75,1060.3499755859375,974.0,974.0,103492,2020-08-10
2020-08-17,835.5394897460938,1038.5999755859375,1068.050048828125,1012.0,1012.0,129687,2020-08-17
2020-08-24,819.3291015625,1018.4500122070312,1065.0,1010.0,1038.0,87284,2020-08-24
2020-08-31,828.0175170898438,1029.25,1047.0,1003.25,1025.949951171875,53435,2020-08-31
2020-09-07,822.7884521484375,1022.75,1066.1500244140625,1013.8499755859375,1039.5,119387,2020-09-07
2020-09-14,830.3505859375,1032.1500244140625,1045.0,1014.2999877929688,1035.0,157123,2020-09-14
2020-09-21,829.5460815429688,1031.1500244140625,1035.0,1021.3499755859375,1023.0,141481,2020-09-21
2020-09-28,831.4366455078125,1033.5,1034.800048828125,1030.6500244140625,1033.75,36418,2020-09-28
2020-10-05,839.3206787109375,1043.300048828125,1045.0,1034.75,1035.0,70470,2020-10-05
2020-10-12,823.713623046875,1023.9000244140625,1064.0,976.9000244140625,1045.0,295404,2020-10-12
2020-10-19,789.4424438476562,981.2999877929688,1023.9000244140625,964.9500122070312,1023.9000244140625,20520,2020-10-19
2020-10-26,694.0303955078125,862.7000122070312,1035.0,835.3499755859375,972.0,67839,2020-10-26
2020-11-02,655.6564331054688,815.0,980.0,800.0,867.9000244140625,48158,2020-11-02
2020-11-09,683.169921875,849.2000122070312,882.0499877929688,822.0999755859375,843.0,25459,2020-11-09
2020-11-16,696.926513671875,866.2999877929688,876.5999755859375,834.9000244140625,851.5499877929688,15118,2020-11-16
2020-11-23,696.564453125,865.8499755859375,895.0,845.0999755859375,882.0,15870,2020-11-23
2020-11-30,727.8992309570312,904.7999877929688,920.3499755859375,856.0499877929688,865.8499755859375,14794,2020-11-30
2020-12-07,781.3975830078125,971.2999877929688,989.0,890.4500122070312,917.0,47507,2020-12-07
2020-12-14,798.2516479492188,992.25,1066.949951171875,954.9500122070312,971.2999877929688,106525,2020-12-14
2020-12-21,770.2152709960938,957.4000244140625,1044.0,901.3499755859375,997.0,30436,2020-12-21
2020-12-28,771.3818359375,958.8499755859375,983.4000244140625,941.0,983.0,14603,2020-12-28
2021-01-04,778.0187377929688,967.0999755859375,991.4000244140625,953.7999877929688,954.9500122070312,24330,2021-01-04
2021-01-11,764.7849731445312,950.6500244140625,997.5499877929688,945.0,975.0,38297,2021-01-11
2021-01-18,739.2424926757812,918.9000244140625,965.0,911.5,945.3499755859375,21553,2021-01-18
2021-01-25,740.4089965820312,920.3499755859375,944.75,908.0499877929688,944.75,8698,2021-01-25
2021-02-01,765.8307495117188,951.9500122070312,999.0,930.0,935.0,42948,2021-02-01
