Date,Adj Close_SURAKSHA.NS,Close_SURAKSHA.NS,High_SURAKSHA.NS,Low_SURAKSHA.NS,Open_SURAKSHA.NS,Volume_SURAKSHA.NS,Date
2024-12-02,417.25,417.25,449.0,414.95001220703125,438.0,6747269,2024-12-02
2024-12-09,411.3500061035156,411.3500061035156,426.95001220703125,402.1000061035156,412.0,5592914,2024-12-09
2024-12-16,412.1499938964844,412.1499938964844,446.0,398.3500061035156,420.0,4585456,2024-12-16
2024-12-23,384.1000061035156,384.1000061035156,421.95001220703125,381.5,421.95001220703125,1410241,2024-12-23
2024-12-30,378.25,378.25,384.04998779296875,353.8500061035156,382.04998779296875,1513881,2024-12-30
2025-01-06,349.79998779296875,349.79998779296875,396.3999938964844,347.75,375.95001220703125,1503427,2025-01-06
2025-01-13,357.20001220703125,357.20001220703125,368.3999938964844,328.6000061035156,343.0,771524,2025-01-13
2025-01-20,320.20001220703125,320.20001220703125,357.20001220703125,316.54998779296875,355.0,416121,2025-01-20
2025-01-27,311.6000061035156,311.6000061035156,320.04998779296875,288.5,320.0,535219,2025-01-27
2025-02-03,347.1499938964844,347.1499938964844,367.0,303.1499938964844,310.0,692831,2025-02-03
2025-02-10,300.45001220703125,300.45001220703125,343.6499938964844,296.54998779296875,341.04998779296875,569688,2025-02-10
2025-02-17,300.70001220703125,300.70001220703125,305.45001220703125,279.0,296.0,447317,2025-02-17
2025-02-24,262.8999938964844,262.8999938964844,303.3500061035156,260.04998779296875,296.0,190521,2025-02-24
2025-03-03,279.54998779296875,279.54998779296875,283.6000061035156,231.0,262.04998779296875,945209,2025-03-03
2025-03-10,278.1000061035156,278.1000061035156,285.29998779296875,255.1999969482422,279.54998779296875,789990,2025-03-10
2025-03-17,289.29998779296875,289.29998779296875,297.45001220703125,278.29998779296875,280.0,452539,2025-03-17
2025-03-24,259.20001220703125,259.20001220703125,294.45001220703125,255.4499969482422,289.29998779296875,607613,2025-03-24
2025-03-31,281.1499938964844,281.1499938964844,288.0,259.20001220703125,259.20001220703125,305665,2025-03-31
2025-04-07,275.25,275.25,285.1000061035156,259.04998779296875,263.25,261455,2025-04-07
2025-04-14,298.54998779296875,298.54998779296875,309.70001220703125,275.25,275.25,333585,2025-04-14
2025-04-21,313.1000061035156,313.1000061035156,319.04998779296875,294.0,303.04998779296875,384642,2025-04-21
2025-04-28,297.6000061035156,297.6000061035156,313.75,294.0,311.0,144774,2025-04-28
2025-05-05,283.20001220703125,283.20001220703125,303.0,275.8999938964844,293.6000061035156,189865,2025-05-05
2025-05-12,303.6499938964844,303.6499938964844,308.75,289.45001220703125,289.45001220703125,200481,2025-05-12
2025-05-19,327.6499938964844,327.6499938964844,329.1499938964844,303.6499938964844,303.6499938964844,453509,2025-05-19
2025-05-26,321.1000061035156,321.1000061035156,339.0,313.6000061035156,323.0,327316,2025-05-26
2025-06-02,334.1000061035156,334.1000061035156,338.0,318.75,324.0,225257,2025-06-02
2025-06-09,327.54998779296875,327.54998779296875,346.6000061035156,318.04998779296875,337.0,424951,2025-06-09
2025-06-16,333.75,333.75,338.70001220703125,317.70001220703125,325.0,436949,2025-06-16
2025-06-23,331.54998779296875,331.54998779296875,352.5,323.1000061035156,331.0,470337,2025-06-23
2025-06-30,323.70001220703125,323.70001220703125,335.04998779296875,318.75,331.0,643764,2025-06-30
2025-07-07,317.1499938964844,317.1499938964844,326.95001220703125,316.0,326.95001220703125,100502,2025-07-07
2025-07-14,318.1000061035156,318.1000061035156,320.3999938964844,311.1499938964844,316.29998779296875,64585,2025-07-14
