Date,Adj Close_ALKEM.NS,Close_ALKEM.NS,High_ALKEM.NS,Low_ALKEM.NS,Open_ALKEM.NS,Volume_ALKEM.NS,Date
2022-02-28,3116.76171875,3176.60009765625,3305.800048828125,3154.449951171875,3290.39990234375,141412,2022-02-28
2022-03-07,3317.3115234375,3381.0,3389.800048828125,3107.85009765625,3112.0,437587,2022-03-07
2022-03-14,3374.169677734375,3438.949951171875,3468.75,3350.0,3398.0,388056,2022-03-14
2022-03-21,3552.20166015625,3620.39990234375,3688.550048828125,3408.300048828125,3421.050048828125,553508,2022-03-21
2022-03-28,3427.397705078125,3493.199951171875,3724.949951171875,3472.050048828125,3620.300048828125,596450,2022-03-28
2022-04-04,3407.23486328125,3472.64990234375,3587.39990234375,3450.0,3550.0,696919,2022-04-04
2022-04-11,3355.822265625,3420.25,3531.949951171875,3405.10009765625,3485.0,341592,2022-04-11
2022-04-18,3307.20556640625,3370.699951171875,3515.0,3352.60009765625,3390.0,464197,2022-04-18
2022-04-25,3189.171142578125,3250.39990234375,3355.89990234375,3231.0,3337.0,203083,2022-04-25
2022-05-02,3033.31396484375,3091.550048828125,3336.89990234375,3077.050048828125,3220.89990234375,238813,2022-05-02
2022-05-09,2851.013671875,2905.75,3203.699951171875,2882.0,3093.0,1160506,2022-05-09
2022-05-16,2946.137451171875,3002.699951171875,3013.199951171875,2828.0,2900.0,483091,2022-05-16
2022-05-23,2986.070556640625,3043.39990234375,3068.10009765625,2909.64990234375,3002.699951171875,419009,2022-05-23
2022-05-30,3042.046142578125,3100.449951171875,3175.5,3048.800048828125,3055.0,424162,2022-05-30
2022-06-06,3075.994384765625,3135.050048828125,3175.0,3060.050048828125,3114.10009765625,495336,2022-06-06
2022-06-13,3039.98583984375,3098.35009765625,3139.949951171875,3020.949951171875,3087.800048828125,496924,2022-06-13
2022-06-20,2948.73779296875,3005.35009765625,3180.0,2960.0,3025.0,494185,2022-06-20
2022-06-27,2963.406005859375,3020.300048828125,3059.0,2928.199951171875,3018.0,428697,2022-06-27
2022-07-04,3066.035400390625,3124.89990234375,3180.0,2986.0,3012.0,454712,2022-07-04
2022-07-11,3151.44580078125,3211.949951171875,3265.0,3072.449951171875,3135.0,607915,2022-07-11
2022-07-18,3114.16162109375,3173.949951171875,3325.0,3152.25,3210.10009765625,375186,2022-07-18
2022-07-25,3164.39697265625,3225.14990234375,3244.699951171875,3047.39990234375,3173.949951171875,263995,2022-07-25
2022-08-01,3054.163818359375,3112.800048828125,3251.10009765625,3049.10009765625,3240.0,1308215,2022-08-01
2022-08-08,2901.2490234375,2956.949951171875,3060.14990234375,2930.0,3035.0,1210271,2022-08-08
2022-08-15,2884.35107421875,2935.949951171875,3010.0,2906.10009765625,2956.949951171875,1094825,2022-08-15
2022-08-22,2858.906494140625,2910.050048828125,2960.0,2897.39990234375,2945.0,734271,2022-08-22
2022-08-29,2925.51513671875,2977.85009765625,3007.0,2855.0,2855.0,422148,2022-08-29
2022-09-05,3142.434326171875,3198.64990234375,3231.0,2965.050048828125,2969.699951171875,733874,2022-09-05
2022-09-12,3124.7998046875,3180.699951171875,3259.0,3158.0,3196.0,615207,2022-09-12
2022-09-19,3200.593994140625,3257.85009765625,3385.949951171875,3146.050048828125,3181.0,383148,2022-09-19
2022-09-26,3219.60400390625,3277.199951171875,3400.0,3186.050048828125,3240.0,822849,2022-09-26
2022-10-03,3144.055419921875,3200.300048828125,3347.699951171875,3191.0,3294.39990234375,433723,2022-10-03
2022-10-10,3050.626708984375,3105.199951171875,3229.949951171875,3094.449951171875,3185.0,289543,2022-10-10
2022-10-17,3041.932373046875,3096.35009765625,3153.300048828125,3065.0,3090.0,227962,2022-10-17
2022-10-24,3057.9951171875,3112.699951171875,3151.75,3084.050048828125,3096.0,200956,2022-10-24
2022-10-31,3197.15576171875,3254.35009765625,3325.0,3119.39990234375,3120.0,393680,2022-10-31
2022-11-07,3117.67724609375,3173.449951171875,3269.0,3078.300048828125,3240.0,280177,2022-11-07
2022-11-14,3064.13525390625,3118.949951171875,3218.89990234375,3025.0,3066.0,407783,2022-11-14
