Date,Adj Close_RTNINDIA.NS,Close_RTNINDIA.NS,High_RTNINDIA.NS,Low_RTNINDIA.NS,Open_RTNINDIA.NS,Volume_RTNINDIA.NS,Date
2020-07-13,3.799999952316284,3.799999952316284,3.799999952316284,3.5,3.5,479923,2020-07-13
2020-07-20,4.699999809265137,4.699999809265137,4.699999809265137,3.950000047683716,3.950000047683716,1546194,2020-07-20
2020-07-27,5.849999904632568,5.849999904632568,5.849999904632568,4.900000095367432,4.900000095367432,869439,2020-07-27
2020-08-03,7.349999904632568,7.349999904632568,7.349999904632568,6.099999904632568,6.099999904632568,2400591,2020-08-03
2020-08-10,9.25,9.25,9.25,7.650000095367432,7.699999809265137,6927685,2020-08-10
2020-08-17,10.350000381469727,10.350000381469727,10.350000381469727,8.800000190734863,9.699999809265137,40744130,2020-08-17
2020-08-24,9.800000190734863,9.800000190734863,11.350000381469727,9.800000190734863,10.75,3603658,2020-08-24
2020-08-31,7.699999809265137,7.699999809265137,9.350000381469727,7.699999809265137,9.350000381469727,9313956,2020-08-31
2020-09-07,7.25,7.25,7.349999904632568,6.349999904632568,7.349999904632568,14641769,2020-09-07
2020-09-14,6.650000095367432,6.650000095367432,7.949999809265137,6.650000095367432,7.25,5978336,2020-09-14
2020-09-21,5.75,5.75,6.75,5.25,6.650000095367432,2582599,2020-09-21
2020-09-28,5.800000190734863,5.800000190734863,6.300000190734863,5.5,5.800000190734863,2038081,2020-09-28
2020-10-05,5.050000190734863,5.050000190734863,5.949999809265137,5.0,5.949999809265137,3386108,2020-10-05
2020-10-12,5.449999809265137,5.449999809265137,5.5,4.800000190734863,5.050000190734863,3744616,2020-10-12
2020-10-19,6.800000190734863,6.800000190734863,6.800000190734863,5.400000095367432,5.699999809265137,1194723,2020-10-19
2020-10-26,6.800000190734863,6.800000190734863,7.099999904632568,5.900000095367432,7.099999904632568,2859859,2020-10-26
2020-11-02,6.349999904632568,6.349999904632568,7.099999904632568,6.0,7.099999904632568,1172097,2020-11-02
2020-11-09,6.199999809265137,6.199999809265137,6.449999809265137,5.75,6.150000095367432,1002137,2020-11-09
2020-11-16,5.699999809265137,5.699999809265137,6.199999809265137,5.650000095367432,6.150000095367432,1331823,2020-11-16
2020-11-23,5.550000190734863,5.550000190734863,6.0,5.449999809265137,5.599999904632568,1206961,2020-11-23
2020-11-30,6.300000190734863,6.300000190734863,6.300000190734863,5.550000190734863,5.550000190734863,1399332,2020-11-30
2020-12-07,6.300000190734863,6.300000190734863,7.099999904632568,6.300000190734863,6.5,2607062,2020-12-07
