Date,Adj Close_ESABINDIA.NS,Close_ESABINDIA.NS,High_ESABINDIA.NS,Low_ESABINDIA.NS,Open_ESABINDIA.NS,Volume_ESABINDIA.NS,Date
2020-07-13,1231.5223388671875,1342.8499755859375,1384.0,1335.0,1362.199951171875,9742,2020-07-13
2020-07-20,1235.51171875,1347.199951171875,1410.050048828125,1320.0,1360.0,16487,2020-07-20
2020-07-27,1276.6436767578125,1392.050048828125,1440.199951171875,1320.0,1373.0,54818,2020-07-27
2020-08-03,1230.192626953125,1341.4000244140625,1415.0,1333.9000244140625,1411.9000244140625,19805,2020-08-03
2020-08-10,1258.5767822265625,1372.3499755859375,1422.0,1331.800048828125,1334.0,21226,2020-08-10
2020-08-17,1344.00439453125,1465.5,1485.0,1324.0,1372.3499755859375,48057,2020-08-17
2020-08-24,1336.57568359375,1457.4000244140625,1579.699951171875,1444.949951171875,1500.0,58128,2020-08-24
2020-08-31,1335.8421630859375,1456.5999755859375,1525.0,1363.1500244140625,1476.0,30354,2020-08-31
2020-09-07,1254.2205810546875,1367.5999755859375,1480.449951171875,1350.0,1456.5999755859375,17606,2020-09-07
2020-09-14,1258.85205078125,1372.6500244140625,1428.199951171875,1349.050048828125,1418.0,21468,2020-09-14
2020-09-21,1233.0357666015625,1344.5,1396.8499755859375,1301.050048828125,1396.8499755859375,10703,2020-09-21
2020-09-28,1276.781005859375,1392.199951171875,1400.0,1323.550048828125,1370.0,9419,2020-09-28
2020-10-05,1243.582275390625,1356.0,1408.8499755859375,1331.0,1370.050048828125,9068,2020-10-05
2020-10-12,1191.9957275390625,1299.75,1364.0,1290.0,1364.0,10666,2020-10-12
2020-10-19,1203.27587890625,1312.050048828125,1370.0999755859375,1301.0,1348.800048828125,9957,2020-10-19
2020-10-26,1215.0150146484375,1324.8499755859375,1360.0,1303.3499755859375,1338.0,13705,2020-10-26
2020-11-02,1276.139404296875,1391.5,1485.300048828125,1302.0999755859375,1343.9000244140625,29561,2020-11-02
2020-11-09,1266.8765869140625,1381.4000244140625,1415.5999755859375,1335.199951171875,1393.0999755859375,12205,2020-11-09
2020-11-16,1264.721435546875,1379.050048828125,1439.0,1351.0,1364.449951171875,17760,2020-11-16
2020-11-23,1328.3677978515625,1448.449951171875,1485.0,1330.0,1379.0,30750,2020-11-23
2020-11-30,1324.37841796875,1444.0999755859375,1500.0,1422.0,1448.449951171875,44438,2020-11-30
2020-12-07,1410.5396728515625,1538.050048828125,1550.0,1435.800048828125,1444.0,29942,2020-12-07
2020-12-14,1745.8758544921875,1903.699951171875,1975.0,1557.0,1557.0,255440,2020-12-14
2020-12-21,1634.677734375,1782.449951171875,1950.0,1702.0999755859375,1912.9000244140625,82302,2020-12-21
2020-12-28,1729.138916015625,1885.449951171875,1971.050048828125,1755.1500244140625,1783.0,116607,2020-12-28
2021-01-04,1627.1575927734375,1774.25,1940.050048828125,1752.5999755859375,1894.699951171875,59391,2021-01-04
2021-01-11,1605.1932373046875,1750.300048828125,1860.0,1736.449951171875,1783.1500244140625,42115,2021-01-11
2021-01-18,1672.6915283203125,1823.9000244140625,1935.25,1710.0,1764.0,40910,2021-01-18
2021-01-25,1601.4332275390625,1746.199951171875,1870.0,1725.0,1870.0,13317,2021-01-25
2021-02-01,1829.4232177734375,1994.800048828125,2121.5,1720.0,1754.800048828125,88370,2021-02-01
2021-02-08,1709.834228515625,1864.4000244140625,2050.0,1848.0,2012.199951171875,49078,2021-02-08
2021-02-15,1787.6495361328125,1949.25,2075.0,1811.550048828125,1866.0,507549,2021-02-15
2021-02-22,1702.8038330078125,1837.8499755859375,2150.0,1791.0,2000.0,892171,2021-02-22
2021-03-01,1723.14111328125,1859.800048828125,1949.0,1829.0,1880.0,76081,2021-03-01
2021-03-08,1756.9588623046875,1896.300048828125,1929.0,1856.0,1869.5999755859375,24358,2021-03-08
2021-03-15,1737.5946044921875,1875.4000244140625,1920.0,1767.199951171875,1896.5,54734,2021-03-15
2021-03-22,1685.524169921875,1819.199951171875,1899.0,1793.0999755859375,1899.0,16203,2021-03-22
2021-03-29,1696.27197265625,1830.800048828125,1839.0,1780.0,1819.199951171875,13157,2021-03-29
2021-04-05,1730.3214111328125,1867.550048828125,1979.800048828125,1775.0,1830.0,79064,2021-04-05
2021-04-12,1708.3629150390625,1843.8499755859375,1970.6500244140625,1790.1500244140625,1850.0,33615,2021-04-12
2021-04-19,1691.037109375,1825.1500244140625,1870.0,1791.0,1791.0,16281,2021-04-19
2021-04-26,1650.7335205078125,1781.6500244140625,1885.0,1768.0,1834.25,24574,2021-04-26
