Date,Adj Close_YASHO.NS,Close_YASHO.NS,High_YASHO.NS,Low_YASHO.NS,Open_YASHO.NS,Volume_YASHO.NS,Date
2023-08-21,1752.1470947265625,1752.5999755859375,1845.050048828125,1736.0,1811.0,40040,2023-08-21
2023-08-28,1805.433349609375,1805.9000244140625,1820.0,1702.699951171875,1725.0,63497,2023-08-28
2023-09-04,1783.0892333984375,1783.550048828125,1825.0,1762.300048828125,1805.9000244140625,30057,2023-09-04
2023-09-11,1783.489013671875,1783.949951171875,1805.0,1740.0,1766.5999755859375,44118,2023-09-11
2023-09-18,1762.3446044921875,1762.800048828125,1792.5,1713.0,1790.0,31694,2023-09-18
2023-09-25,1770.242431640625,1770.699951171875,1792.449951171875,1720.550048828125,1786.75,25940,2023-09-25
2023-10-02,1804.28369140625,1804.75,1864.800048828125,1731.6500244140625,1777.0,40246,2023-10-02
2023-10-09,1778.3404541015625,1778.800048828125,1824.75,1750.300048828125,1770.0,34448,2023-10-09
2023-10-16,1737.8509521484375,1738.300048828125,1798.4000244140625,1732.050048828125,1781.0,44301,2023-10-16
2023-10-23,1727.3035888671875,1727.75,1749.0,1670.0,1746.0,34815,2023-10-23
2023-10-30,1591.23876953125,1591.6500244140625,1780.050048828125,1582.0999755859375,1733.1500244140625,65480,2023-10-30
2023-11-06,1617.281982421875,1617.699951171875,1640.0,1570.050048828125,1576.0,39378,2023-11-06
2023-11-13,1615.532470703125,1615.949951171875,1649.0,1566.050048828125,1630.75,19388,2023-11-13
2023-11-20,1636.72705078125,1637.1500244140625,1654.0,1580.0,1619.9000244140625,64154,2023-11-20
2023-11-27,1611.383544921875,1611.800048828125,1658.0999755859375,1588.0,1625.550048828125,23089,2023-11-27
2023-12-04,1590.43896484375,1590.8499755859375,1628.550048828125,1579.8499755859375,1602.300048828125,29944,2023-12-04
2023-12-11,1591.838623046875,1592.25,1613.0999755859375,1579.699951171875,1607.9000244140625,27913,2023-12-11
2023-12-18,1588.239501953125,1588.6500244140625,1659.0,1556.0,1592.5,59092,2023-12-18
2023-12-25,1629.7786865234375,1630.199951171875,1699.949951171875,1594.75,1604.0,153635,2023-12-25
2024-01-01,1628.0792236328125,1628.5,1754.949951171875,1625.0,1656.0,224486,2024-01-01
2024-01-08,1650.8734130859375,1651.300048828125,1699.0,1626.0,1652.0,111256,2024-01-08
2024-01-15,1631.2283935546875,1631.6500244140625,1675.0,1622.0,1664.449951171875,63374,2024-01-15
2024-01-22,1637.776611328125,1638.199951171875,1678.0,1600.5,1627.5,29657,2024-01-22
2024-01-29,1644.175048828125,1644.5999755859375,1661.949951171875,1609.0,1609.0,55997,2024-01-29
2024-02-05,1692.462646484375,1692.9000244140625,1745.0,1600.0,1642.5999755859375,94867,2024-02-05
2024-02-12,1750.697509765625,1751.1500244140625,1800.0,1635.050048828125,1675.0,115269,2024-02-12
2024-02-19,2145.24560546875,2145.800048828125,2145.800048828125,1686.5,1754.0,323173,2024-02-19
2024-02-26,2055.31884765625,2055.85009765625,2426.64990234375,1981.5999755859375,2104.0,672535,2024-02-26
2024-03-04,1767.59326171875,1768.050048828125,2189.0,1759.0,2063.800048828125,240536,2024-03-04
2024-03-11,1637.076904296875,1637.5,1815.0,1515.0,1815.0,222159,2024-03-11
2024-03-18,1657.2716064453125,1657.699951171875,1710.0,1592.3499755859375,1638.0,101348,2024-03-18
2024-03-25,1618.6317138671875,1619.050048828125,1663.9000244140625,1610.050048828125,1650.0,57487,2024-03-25
2024-04-01,1811.5318603515625,1812.0,1935.9000244140625,1610.0,1630.0,200908,2024-04-01
2024-04-08,1976.7891845703125,1977.300048828125,2044.550048828125,1781.5,1835.0,166388,2024-04-08
2024-04-15,1886.512451171875,1887.0,1977.0,1860.0,1930.0,100328,2024-04-15
2024-04-22,1897.759521484375,1898.25,1987.25,1831.550048828125,1915.300048828125,70144,2024-04-22
2024-04-29,1901.758544921875,1902.25,1938.699951171875,1879.199951171875,1901.0,50884,2024-04-29
2024-05-06,1842.773681640625,1843.25,1988.0,1828.25,1903.0,85533,2024-05-06
2024-05-13,1900.3089599609375,1900.800048828125,2029.800048828125,1782.75,1860.0,120508,2024-05-13
2024-05-20,1843.723388671875,1844.199951171875,1957.449951171875,1827.0999755859375,1885.0,59106,2024-05-20
2024-05-27,1783.6390380859375,1784.0999755859375,1874.0,1761.550048828125,1844.199951171875,62794,2024-05-27
2024-06-03,1786.688232421875,1787.1500244140625,1879.0,1605.0,1839.0,68816,2024-06-03
