Date,Adj Close_SCHAEFFLER.NS,Close_SCHAEFFLER.NS,High_SCHAEFFLER.NS,Low_SCHAEFFLER.NS,Open_SCHAEFFLER.NS,Volume_SCHAEFFLER.NS,Date
2020-07-13,700.9560546875,729.1500244140625,733.6199951171875,699.469970703125,719.1900024414062,222025,2020-07-13
2020-07-20,696.2647705078125,724.27001953125,753.0,712.0,729.7999877929688,489570,2020-07-20
2020-07-27,693.5825805664062,721.47998046875,745.0,685.0999755859375,713.0,84055,2020-07-27
2020-08-03,681.3640747070312,708.77001953125,731.3499755859375,704.0,721.4000244140625,157295,2020-08-03
2020-08-10,672.5294189453125,699.5800170898438,723.52001953125,696.0,708.4000244140625,127865,2020-08-10
2020-08-17,671.5007934570312,698.510009765625,719.780029296875,692.8099975585938,700.0800170898438,136575,2020-08-17
2020-08-24,760.4818725585938,791.0700073242188,832.0,701.7999877929688,702.0,883490,2020-08-24
2020-08-31,761.5968627929688,792.22998046875,805.6099853515625,762.8099975585938,799.7999877929688,232025,2020-08-31
2020-09-07,765.3557739257812,796.1400146484375,841.1500244140625,756.3900146484375,790.22998046875,498640,2020-09-07
2020-09-14,743.63916015625,773.5499877929688,847.7999877929688,765.0,814.0,1198675,2020-09-14
2020-09-21,691.4195556640625,719.22998046875,795.739990234375,707.02001953125,774.0,336905,2020-09-21
2020-09-28,693.83251953125,721.739990234375,734.969970703125,702.7999877929688,723.969970703125,117100,2020-09-28
2020-10-05,701.5135498046875,729.72998046875,734.0,717.219970703125,720.2000122070312,562105,2020-10-05
2020-10-12,674.9328002929688,702.0800170898438,730.0,696.0,724.2000122070312,228655,2020-10-12
2020-10-19,724.0087890625,753.1300048828125,760.469970703125,688.6599731445312,699.4600219726562,73170,2020-10-19
2020-10-26,723.826171875,752.9400024414062,820.0,724.2100219726562,755.8099975585938,197370,2020-10-26
2020-11-02,725.229736328125,754.4000244140625,768.8400268554688,722.3099975585938,746.0,327305,2020-11-02
2020-11-09,741.7261352539062,771.5599975585938,779.5999755859375,736.0,756.969970703125,441580,2020-11-09
2020-11-16,751.0991821289062,781.3099975585938,790.0499877929688,750.0,756.3599853515625,279130,2020-11-16
2020-11-23,766.0191040039062,796.8300170898438,808.0,774.6099853515625,781.4000244140625,436380,2020-11-23
2020-11-30,752.3585205078125,782.6199951171875,808.0,774.0,796.8300170898438,687480,2020-11-30
2020-12-07,835.1773681640625,868.77001953125,883.7999877929688,777.0,777.0,654745,2020-12-07
2020-12-14,818.8731689453125,851.8099975585938,873.0,832.4600219726562,873.0,200330,2020-12-14
2020-12-21,816.0275268554688,848.8499755859375,864.1699829101562,811.0,842.4000244140625,78485,2020-12-21
2020-12-28,884.9647827148438,920.5599975585938,950.0,852.780029296875,852.780029296875,417520,2020-12-28
2021-01-04,878.994873046875,914.3499755859375,940.0,906.2000122070312,925.0,328450,2021-01-04
2021-01-11,868.6509399414062,903.5900268554688,936.010009765625,882.7999877929688,935.0,282440,2021-01-11
