Date,Adj Close_GANDHITUBE.NS,Close_GANDHITUBE.NS,High_GANDHITUBE.NS,Low_GANDHITUBE.NS,Open_GANDHITUBE.NS,Volume_GANDHITUBE.NS,Date
2020-07-13,171.07798767089844,192.89999389648438,195.6999969482422,190.0,194.89999389648438,16913,2020-07-13
2020-07-20,172.27525329589844,194.25,202.0,190.4499969482422,194.5,31728,2020-07-20
2020-07-27,167.26443481445312,188.60000610351562,195.0,186.5500030517578,193.64999389648438,11433,2020-07-27
2020-08-03,205.57737731933594,231.8000030517578,234.8000030517578,182.0,195.5,155401,2020-08-03
2020-08-10,181.5430908203125,204.6999969482422,242.9499969482422,201.0,232.5,83668,2020-08-10
2020-08-17,192.9837646484375,217.60000610351562,221.0,201.6999969482422,204.25,36051,2020-08-17
2020-08-24,205.2669677734375,231.4499969482422,239.6999969482422,218.0,218.85000610351562,80609,2020-08-24
2020-08-31,200.34481811523438,225.89999389648438,237.5,215.0,237.5,46506,2020-08-31
2020-09-07,193.6045684814453,218.3000030517578,234.89999389648438,215.6999969482422,227.5,35933,2020-09-07
2020-09-14,205.8739776611328,223.10000610351562,227.0,214.10000610351562,215.0,26758,2020-09-14
2020-09-21,183.588623046875,198.9499969482422,226.0,195.0,226.0,21326,2020-09-21
2020-09-28,193.13949584960938,209.3000030517578,222.0,195.4499969482422,199.64999389648438,8680,2020-09-28
2020-10-05,193.04721069335938,209.1999969482422,227.85000610351562,206.6999969482422,217.9499969482422,10396,2020-10-05
2020-10-12,193.7854461669922,210.0,221.8000030517578,205.10000610351562,211.4499969482422,5463,2020-10-12
2020-10-19,193.6931610107422,209.89999389648438,224.8000030517578,205.0,205.0,14784,2020-10-19
2020-10-26,186.44927978515625,202.0500030517578,213.0500030517578,195.60000610351562,212.0500030517578,21947,2020-10-26
2020-11-02,190.00201416015625,205.89999389648438,210.0,196.10000610351562,208.25,5560,2020-11-02
2020-11-09,198.26097106933594,214.85000610351562,218.0,203.14999389648438,211.5500030517578,25886,2020-11-09
2020-11-16,197.47659301757812,214.0,222.9499969482422,209.9499969482422,212.4499969482422,17535,2020-11-16
2020-11-23,214.7327117919922,232.6999969482422,254.5,210.14999389648438,217.60000610351562,180303,2020-11-23
2020-11-30,217.2242431640625,235.39999389648438,240.0,229.85000610351562,232.6999969482422,22475,2020-11-30
2020-12-07,220.4078826904297,238.85000610351562,240.10000610351562,231.0,238.0,28521,2020-12-07
2020-12-14,233.32691955566406,252.85000610351562,268.0,235.0,236.64999389648438,55462,2020-12-14
2020-12-21,224.65269470214844,243.4499969482422,259.0,211.0,252.89999389648438,50251,2020-12-21
2020-12-28,242.27792358398438,262.54998779296875,273.3999938964844,241.25,246.0,99566,2020-12-28
