Date,Adj Close_AARTISURF.NS,Close_AARTISURF.NS,High_AARTISURF.NS,Low_AARTISURF.NS,Open_AARTISURF.NS,Volume_AARTISURF.NS,Date
2021-02-22,902.620361328125,904.4454956054688,931.5247192382812,876.381591796875,915.76953125,47410,2021-02-22
2021-03-01,1000.8914794921875,1002.9153442382812,1053.971923828125,884.2592163085938,904.4454956054688,189680,2021-03-01
2021-03-08,988.6566772460938,990.6558227539062,1041.1708984375,983.7137451171875,1023.889404296875,57301,2021-03-08
2021-03-15,949.0043334960938,950.9232788085938,998.3857421875,887.311767578125,990.6066284179688,52631,2021-03-15
2021-03-22,924.4365234375,926.3057861328125,969.189453125,904.9378662109375,955.157470703125,40544,2021-03-22
2021-03-29,960.7968139648438,962.7396240234375,962.7396240234375,898.0449829101562,926.3057861328125,32449,2021-03-29
2021-04-05,1507.92138671875,1510.970458984375,1600.0364990234375,967.9585571289062,967.9585571289062,511930,2021-04-05
2021-04-12,1558.776611328125,1561.9285888671875,1703.5283203125,1368.7308349609375,1503.4375,345635,2021-04-12
2021-04-19,1391.1260986328125,1393.9390869140625,1573.400390625,1383.5013427734375,1536.1295166015625,98862,2021-04-19
2021-04-26,1439.0333251953125,1441.943115234375,1525.2486572265625,1393.44677734375,1398.321044921875,118400,2021-04-26
2021-05-03,1499.4700927734375,1502.5020751953125,1544.9918212890625,1366.121337890625,1420.9197998046875,149751,2021-05-03
2021-05-10,1439.131591796875,1442.0416259765625,1515.450927734375,1420.9691162109375,1515.450927734375,58061,2021-05-10
2021-05-17,1541.6282958984375,1544.74560546875,1611.311279296875,1427.9111328125,1481.97119140625,146787,2021-05-17
2021-05-24,1403.164306640625,1406.0015869140625,1575.5174560546875,1227.5250244140625,1575.5174560546875,1300044,2021-05-24
2021-05-31,1372.74951171875,1375.5252685546875,1429.7821044921875,1358.785400390625,1403.14599609375,88389,2021-05-31
2021-06-07,1359.6793212890625,1362.4287109375,1467.20068359375,1348.9383544921875,1417.9656982421875,199304,2021-06-07
2021-06-14,1317.66845703125,1320.3328857421875,1378.5777587890625,1255.490478515625,1378.528564453125,88459,2021-06-14
2021-06-21,1333.932373046875,1336.629638671875,1362.2318115234375,1287.345458984375,1319.495849609375,81811,2021-06-21
2021-06-28,1385.623046875,1388.4248046875,1440.61376953125,1328.998291015625,1348.987548828125,107835,2021-06-28
2021-07-05,1377.2208251953125,1380.005615234375,1417.9656982421875,1351.0062255859375,1407.6263427734375,63754,2021-07-05
2021-07-12,1360.8095703125,1363.5611572265625,1398.271728515625,1349.282958984375,1398.271728515625,50302,2021-07-12
2021-07-19,1456.181640625,1459.1260986328125,1494.1322021484375,1358.8837890625,1358.8837890625,165270,2021-07-19
2021-07-26,1460.94775390625,1463.90185546875,1599.4456787109375,1408.0694580078125,1486.8946533203125,297848,2021-07-26
2021-08-02,1754.778564453125,1758.3267822265625,1858.1259765625,1478.0323486328125,1516.435546875,749767,2021-08-02
2021-08-09,1475.570556640625,1475.570556640625,1804.8045654296875,1403.2445068359375,1786.9814453125,423746,2021-08-09
2021-08-16,1373.802001953125,1373.802001953125,1476.9984130859375,1359.671630859375,1467.20068359375,92005,2021-08-16
2021-08-23,1409.05419921875,1409.05419921875,1445.2418212890625,1270.260986328125,1393.3482666015625,121947,2021-08-23
2021-08-30,1393.3974609375,1393.3974609375,1430.619140625,1370.40478515625,1426.138671875,53337,2021-08-30
2021-09-06,1387.046142578125,1387.046142578125,1409.792724609375,1365.08740234375,1393.3482666015625,44490,2021-09-06
2021-09-13,1471.8779296875,1471.8779296875,1678.270751953125,1374.6390380859375,1374.6390380859375,479023,2021-09-13
2021-09-20,1454.8919677734375,1454.8919677734375,1521.2606201171875,1405.1646728515625,1452.43017578125,122864,2021-09-20
2021-09-27,1431.653076171875,1431.653076171875,1496.6923828125,1411.0728759765625,1462.47412109375,75366,2021-09-27
2021-10-04,1467.5452880859375,1467.5452880859375,1500.680419921875,1373.7034912109375,1429.73291015625,136468,2021-10-04
2021-10-11,1434.607177734375,1434.607177734375,1485.8607177734375,1425.25244140625,1467.20068359375,125358,2021-10-11
2021-10-18,1360.7547607421875,1360.7547607421875,1450.4608154296875,1339.1898193359375,1426.040283203125,81313,2021-10-18
2021-10-25,1172.283447265625,1172.283447265625,1353.9603271484375,1151.9986572265625,1353.9603271484375,180178,2021-10-25
2021-11-01,1264.9927978515625,1264.9927978515625,1343.57177734375,1107.7857666015625,1119.60205078125,189743,2021-11-01
2021-11-08,1200.9874267578125,1200.9874267578125,1298.1279296875,1191.7313232421875,1273.8551025390625,65906,2021-11-08
