Date,Adj Close_ENGINERSIN.NS,Close_ENGINERSIN.NS,High_ENGINERSIN.NS,Low_ENGINERSIN.NS,Open_ENGINERSIN.NS,Volume_ENGINERSIN.NS,Date
2020-07-13,60.907718658447266,70.94999694824219,75.5,70.6500015258789,71.30000305175781,10818939,2020-07-13
2020-07-20,59.83463668823242,69.69999694824219,72.0,69.30000305175781,71.5,14009651,2020-07-20
2020-07-27,55.156036376953125,64.25,70.05000305175781,63.95000076293945,69.80000305175781,11475182,2020-07-27
2020-08-03,56.91587829589844,66.30000305175781,67.75,63.70000076293945,64.19999694824219,6605891,2020-08-03
2020-08-10,58.24648666381836,67.8499984741211,70.5,65.3499984741211,66.8499984741211,15210395,2020-08-10
2020-08-17,63.09679412841797,73.5,75.44999694824219,67.4000015258789,69.0,40263203,2020-08-17
2020-08-24,60.73603439331055,70.75,74.44999694824219,69.9000015258789,74.0999984741211,17737065,2020-08-24
2020-08-31,57.51680374145508,67.0,71.3499984741211,65.0,71.0,15599619,2020-08-31
2020-09-07,54.941429138183594,64.0,67.44999694824219,63.70000076293945,67.0999984741211,10786999,2020-09-07
2020-09-14,60.556827545166016,68.8499984741211,72.30000305175781,65.0999984741211,65.25,28817801,2020-09-14
2020-09-21,56.554874420166016,64.30000305175781,69.0,63.5,69.0,9065446,2020-09-21
2020-09-28,56.7747688293457,64.55000305175781,65.75,64.0999984741211,64.30000305175781,5782141,2020-09-28
2020-10-05,55.675323486328125,63.29999923706055,65.3499984741211,62.650001525878906,65.1500015258789,5964053,2020-10-05
2020-10-12,54.31203079223633,61.75,64.44999694824219,60.400001525878906,63.75,9219183,2020-10-12
2020-10-19,59.281471252441406,67.4000015258789,69.0,61.650001525878906,62.0,9489203,2020-10-19
2020-10-26,57.214542388916016,65.05000305175781,67.75,63.75,67.4000015258789,6650354,2020-10-26
2020-11-02,59.23749923706055,67.3499984741211,67.9000015258789,63.79999923706055,65.0999984741211,4884314,2020-11-02
2020-11-09,62.62375259399414,71.19999694824219,72.25,66.5999984741211,67.5,15645851,2020-11-09
2020-11-16,62.13999557495117,70.6500015258789,72.4000015258789,70.19999694824219,70.69999694824219,5625614,2020-11-16
2020-11-23,65.26239776611328,74.19999694824219,74.94999694824219,70.5,70.9000015258789,19615970,2020-11-23
