Date,Adj Close_WAAREERTL.NS,Close_WAAREERTL.NS,High_WAAREERTL.NS,Low_WAAREERTL.NS,Open_WAAREERTL.NS,Volume_WAAREERTL.NS,Date
2025-04-07,886.0,886.0,910.0,841.1500244140625,884.9500122070312,182542,2025-04-07
2025-04-14,1107.199951171875,1107.199951171875,1170.0,903.75,910.0,4047334,2025-04-14
2025-04-21,1026.5,1026.5,1164.300048828125,1005.0,1140.0,2590916,2025-04-21
2025-04-28,964.9500122070312,964.9500122070312,1053.25,951.0,1019.0,892550,2025-04-28
2025-05-05,902.0999755859375,902.0999755859375,1008.7999877929688,892.3499755859375,980.0,1287478,2025-05-05
2025-05-12,1028.4000244140625,1028.4000244140625,1048.699951171875,953.4500122070312,981.9500122070312,1249427,2025-05-12
2025-05-19,1005.0499877929688,1005.0499877929688,1070.5999755859375,985.0999755859375,1043.0,1396338,2025-05-19
2025-05-26,1055.300048828125,1055.300048828125,1068.0,1003.5,1005.0499877929688,1160527,2025-05-26
2025-06-02,1031.0,1031.0,1102.0,1018.0,1055.300048828125,1980783,2025-06-02
2025-06-09,994.0999755859375,994.0999755859375,1045.0,975.4000244140625,1031.0,968951,2025-06-09
2025-06-16,985.9000244140625,985.9000244140625,1005.0,940.0,994.0999755859375,906980,2025-06-16
2025-06-23,985.4000244140625,985.4000244140625,1025.0,972.0999755859375,979.5,1000523,2025-06-23
2025-06-30,994.9000244140625,994.9000244140625,1019.0,981.7000122070312,990.0,925896,2025-06-30
2025-07-07,984.7000122070312,984.7000122070312,1002.2999877929688,975.0,991.0,675850,2025-07-07
2025-07-14,1146.699951171875,1146.699951171875,1165.0,971.2000122070312,986.4000244140625,9889815,2025-07-14
