Date,Adj Close_LASA.NS,Close_LASA.NS,High_LASA.NS,Low_LASA.NS,Open_LASA.NS,Volume_LASA.NS,Date
2023-03-20,20.0,20.0,24.799999237060547,19.75,22.149999618530273,440329,2023-03-20
2023-03-27,18.549999237060547,18.549999237060547,20.399999618530273,17.100000381469727,20.399999618530273,649389,2023-03-27
2023-04-03,22.75,22.75,23.950000762939453,18.350000381469727,18.950000762939453,800521,2023-04-03
2023-04-10,22.850000381469727,22.850000381469727,23.950000762939453,22.299999237060547,23.100000381469727,247565,2023-04-10
2023-04-17,25.100000381469727,25.100000381469727,25.950000762939453,22.100000381469727,22.899999618530273,454715,2023-04-17
2023-04-24,24.549999237060547,24.549999237060547,25.700000762939453,23.200000762939453,25.399999618530273,229538,2023-04-24
2023-05-01,24.100000381469727,24.100000381469727,25.0,23.899999618530273,24.549999237060547,145175,2023-05-01
2023-05-08,24.149999618530273,24.149999618530273,25.200000762939453,23.850000381469727,24.200000762939453,252267,2023-05-08
2023-05-15,23.649999618530273,23.649999618530273,25.149999618530273,23.149999618530273,24.200000762939453,262202,2023-05-15
2023-05-22,23.25,23.25,24.600000381469727,23.100000381469727,23.700000762939453,231548,2023-05-22
2023-05-29,24.049999237060547,24.049999237060547,24.299999237060547,22.899999618530273,23.200000762939453,162735,2023-05-29
2023-06-05,23.799999237060547,23.799999237060547,24.899999618530273,23.299999237060547,24.649999618530273,342269,2023-06-05
2023-06-12,22.899999618530273,22.899999618530273,23.799999237060547,22.0,23.0,487951,2023-06-12
2023-06-19,21.649999618530273,21.649999618530273,23.399999618530273,20.899999618530273,23.399999618530273,347779,2023-06-19
2023-06-26,22.0,22.0,22.600000381469727,20.600000381469727,21.649999618530273,265270,2023-06-26
2023-07-03,22.600000381469727,22.600000381469727,23.399999618530273,22.0,22.350000381469727,292669,2023-07-03
2023-07-10,21.25,21.25,22.899999618530273,20.649999618530273,22.5,222700,2023-07-10
2023-07-17,21.649999618530273,21.649999618530273,21.850000381469727,21.0,21.649999618530273,175429,2023-07-17
2023-07-24,22.950000762939453,22.950000762939453,26.799999237060547,21.399999618530273,21.649999618530273,1500909,2023-07-24
2023-07-31,24.850000381469727,24.850000381469727,25.25,22.799999237060547,23.0,389377,2023-07-31
2023-08-07,24.75,24.75,26.100000381469727,24.0,25.5,487342,2023-08-07
2023-08-14,24.399999618530273,24.399999618530273,25.200000762939453,23.549999237060547,24.100000381469727,244751,2023-08-14
2023-08-21,25.950000762939453,25.950000762939453,29.149999618530273,23.799999237060547,24.399999618530273,3074711,2023-08-21
2023-08-28,31.200000762939453,31.200000762939453,33.79999923706055,26.200000762939453,26.200000762939453,3649818,2023-08-28
2023-09-04,29.149999618530273,29.149999618530273,32.45000076293945,28.75,32.45000076293945,558536,2023-09-04
2023-09-11,28.850000381469727,28.850000381469727,29.799999237060547,26.649999618530273,29.149999618530273,305016,2023-09-11
2023-09-18,26.899999618530273,26.899999618530273,28.950000762939453,25.799999237060547,28.850000381469727,168934,2023-09-18
2023-09-25,26.149999618530273,26.149999618530273,27.600000381469727,25.75,26.899999618530273,143016,2023-09-25
2023-10-02,26.950000762939453,26.950000762939453,27.0,25.100000381469727,26.149999618530273,104121,2023-10-02
2023-10-09,27.350000381469727,27.350000381469727,27.350000381469727,25.549999237060547,25.799999237060547,199170,2023-10-09
2023-10-16,26.100000381469727,26.100000381469727,28.0,25.700000762939453,28.0,166401,2023-10-16
2023-10-23,24.950000762939453,24.950000762939453,26.850000381469727,23.799999237060547,26.100000381469727,106412,2023-10-23
2023-10-30,24.75,24.75,25.350000381469727,24.100000381469727,24.149999618530273,79714,2023-10-30
2023-11-06,25.649999618530273,25.649999618530273,27.350000381469727,24.75,24.75,214666,2023-11-06
2023-11-13,26.5,26.5,26.950000762939453,25.0,26.950000762939453,417718,2023-11-13
2023-11-20,26.25,26.25,27.299999237060547,25.600000381469727,26.549999237060547,520019,2023-11-20
2023-11-27,26.5,26.5,27.649999618530273,25.200000762939453,26.25,506487,2023-11-27
2023-12-04,28.700000762939453,28.700000762939453,29.5,25.649999618530273,26.549999237060547,727891,2023-12-04
2023-12-11,29.399999618530273,29.399999618530273,30.799999237060547,28.0,28.700000762939453,795029,2023-12-11
2023-12-18,27.799999237060547,27.799999237060547,30.25,26.600000381469727,29.850000381469727,504278,2023-12-18
2023-12-25,29.899999618530273,29.899999618530273,33.0,27.5,27.799999237060547,2342675,2023-12-25
2024-01-01,35.75,35.75,36.150001525878906,27.799999237060547,30.899999618530273,3381877,2024-01-01
2024-01-08,35.45000076293945,35.45000076293945,41.20000076293945,34.0,36.150001525878906,3389778,2024-01-08
2024-01-15,32.650001525878906,32.650001525878906,36.150001525878906,31.149999618530273,35.5,1007118,2024-01-15
2024-01-22,32.20000076293945,32.20000076293945,33.95000076293945,30.75,32.650001525878906,445206,2024-01-22
2024-01-29,31.600000381469727,31.600000381469727,32.900001525878906,31.5,32.5,599163,2024-01-29
2024-02-05,32.849998474121094,32.849998474121094,35.45000076293945,31.0,31.899999618530273,1072653,2024-02-05
2024-02-12,30.049999237060547,30.049999237060547,33.0,29.0,32.849998474121094,501195,2024-02-12
2024-02-19,32.400001525878906,32.400001525878906,33.45000076293945,30.049999237060547,30.049999237060547,636647,2024-02-19
2024-02-26,29.299999237060547,29.299999237060547,33.0,29.149999618530273,33.0,343494,2024-02-26
2024-03-04,26.75,26.75,30.200000762939453,26.5,30.200000762939453,390430,2024-03-04
2024-03-11,23.649999618530273,23.649999618530273,27.350000381469727,23.0,26.75,552308,2024-03-11
2024-03-18,22.899999618530273,22.899999618530273,24.700000762939453,22.549999237060547,24.700000762939453,358016,2024-03-18
2024-03-25,22.0,22.0,23.100000381469727,21.5,22.75,760233,2024-03-25
2024-04-01,27.049999237060547,27.049999237060547,27.850000381469727,22.25,22.25,276687,2024-04-01
2024-04-08,25.549999237060547,25.549999237060547,28.0,25.0,27.549999237060547,241046,2024-04-08
2024-04-15,24.450000762939453,24.450000762939453,26.0,24.200000762939453,24.549999237060547,258395,2024-04-15
2024-04-22,25.549999237060547,25.549999237060547,26.899999618530273,24.799999237060547,25.649999618530273,230636,2024-04-22
2024-04-29,24.700000762939453,24.700000762939453,25.950000762939453,24.100000381469727,25.399999618530273,130233,2024-04-29
2024-05-06,22.799999237060547,22.799999237060547,25.299999237060547,22.5,25.299999237060547,141124,2024-05-06
2024-05-13,23.399999618530273,23.399999618530273,24.5,22.850000381469727,23.450000762939453,139006,2024-05-13
2024-05-20,22.950000762939453,22.950000762939453,24.299999237060547,22.75,23.25,210565,2024-05-20
2024-05-27,21.200000762939453,21.200000762939453,23.600000381469727,21.0,23.600000381469727,358685,2024-05-27
2024-06-03,23.5,23.5,23.5,19.0,21.450000762939453,394909,2024-06-03
2024-06-10,23.709999084472656,23.709999084472656,25.399999618530273,22.520000457763672,25.399999618530273,296484,2024-06-10
2024-06-17,23.139999389648438,23.139999389648438,24.0,21.799999237060547,23.709999084472656,154869,2024-06-17
2024-06-24,23.139999389648438,23.139999389648438,24.469999313354492,22.700000762939453,23.489999771118164,127397,2024-06-24
2024-07-01,24.579999923706055,24.579999923706055,25.299999237060547,22.5,22.559999465942383,466434,2024-07-01
2024-07-08,23.969999313354492,23.969999313354492,26.399999618530273,23.229999542236328,24.979999542236328,549661,2024-07-08
2024-07-15,23.540000915527344,23.540000915527344,26.229999542236328,23.18000030517578,23.649999618530273,491693,2024-07-15
2024-07-22,23.760000228881836,23.760000228881836,24.229999542236328,22.530000686645508,23.75,166000,2024-07-22
2024-07-29,23.90999984741211,23.90999984741211,25.0,23.209999084472656,24.0,287306,2024-07-29
2024-08-05,26.299999237060547,26.299999237060547,28.5,22.989999771118164,24.100000381469727,2229604,2024-08-05
2024-08-12,24.979999542236328,24.979999542236328,27.75,24.709999084472656,25.950000762939453,729247,2024-08-12
2024-08-19,28.219999313354492,28.219999313354492,28.75,24.600000381469727,24.90999984741211,1106087,2024-08-19
2024-08-26,29.1200008392334,29.1200008392334,32.900001525878906,28.0,28.959999084472656,2903538,2024-08-26
2024-09-02,31.639999389648438,31.639999389648438,33.4900016784668,28.049999237060547,28.549999237060547,1198666,2024-09-02
2024-09-09,29.899999618530273,29.899999618530273,31.0,28.8700008392334,31.0,335209,2024-09-09
2024-09-16,26.190000534057617,26.190000534057617,30.5,25.760000228881836,29.90999984741211,323274,2024-09-16
2024-09-23,28.6299991607666,28.6299991607666,30.299999237060547,25.020000457763672,26.200000762939453,261227,2024-09-23
2024-09-30,26.760000228881836,26.760000228881836,30.0,26.729999542236328,29.790000915527344,186256,2024-09-30
2024-10-07,26.979999542236328,26.979999542236328,28.799999237060547,24.469999313354492,26.100000381469727,213888,2024-10-07
2024-10-14,27.079999923706055,27.079999923706055,29.0,26.0,27.989999771118164,169789,2024-10-14
2024-10-21,24.25,24.25,27.889999389648438,24.0,27.079999923706055,211758,2024-10-21
2024-10-28,28.280000686645508,28.280000686645508,28.649999618530273,23.15999984741211,24.739999771118164,154265,2024-10-28
2024-11-04,27.93000030517578,27.93000030517578,29.299999237060547,26.84000015258789,28.0,127497,2024-11-04
2024-11-11,25.75,25.75,27.93000030517578,25.75,27.3700008392334,13489,2024-11-11
2024-11-18,24.989999771118164,24.989999771118164,25.229999542236328,24.5,25.229999542236328,35282,2024-11-18
2024-11-25,24.610000610351562,24.610000610351562,24.8700008392334,23.90999984741211,24.489999771118164,39545,2024-11-25
2024-12-02,26.579999923706055,26.579999923706055,26.579999923706055,24.299999237060547,24.700000762939453,56516,2024-12-02
2024-12-09,27.09000015258789,27.09000015258789,29.229999542236328,26.079999923706055,27.889999389648438,282084,2024-12-09
2024-12-16,28.809999465942383,28.809999465942383,30.049999237060547,27.0,27.09000015258789,330313,2024-12-16
2024-12-23,26.34000015258789,26.34000015258789,30.489999771118164,25.399999618530273,30.489999771118164,420714,2024-12-23
2024-12-30,29.020000457763672,29.020000457763672,31.399999618530273,24.299999237060547,26.299999237060547,657458,2024-12-30
2025-01-06,27.18000030517578,27.18000030517578,30.739999771118164,26.360000610351562,29.020000457763672,451892,2025-01-06
2025-01-13,26.25,26.25,27.389999389648438,23.65999984741211,26.209999084472656,229882,2025-01-13
2025-01-20,26.15999984741211,26.15999984741211,28.940000534057617,25.6299991607666,26.209999084472656,264410,2025-01-20
2025-01-27,25.700000762939453,25.700000762939453,27.8799991607666,24.299999237060547,26.170000076293945,262867,2025-01-27
2025-02-03,25.239999771118164,25.239999771118164,27.25,25.0,26.0,248328,2025-02-03
2025-02-10,23.68000030517578,23.68000030517578,26.299999237060547,22.299999237060547,26.299999237060547,210541,2025-02-10
2025-02-17,22.780000686645508,22.780000686645508,24.5,20.110000610351562,23.190000534057617,438634,2025-02-17
2025-02-24,20.959999084472656,20.959999084472656,23.5,20.649999618530273,22.0,265573,2025-02-24
2025-03-03,23.860000610351562,23.860000610351562,25.149999618530273,19.0,20.959999084472656,340342,2025-03-03
2025-03-10,21.329999923706055,21.329999923706055,24.829999923706055,20.799999237060547,24.829999923706055,449442,2025-03-10
2025-03-17,20.149999618530273,20.149999618530273,23.329999923706055,19.5,22.31999969482422,622009,2025-03-17
