Date,Adj Close_INDGN.NS,Close_INDGN.NS,High_INDGN.NS,Low_INDGN.NS,Open_INDGN.NS,Volume_INDGN.NS,Date
2024-05-13,554.2926635742188,556.1500244140625,660.0,527.0999755859375,655.0,49959884,2024-05-13
2024-05-20,527.2332763671875,529.0,555.0999755859375,521.2999877929688,555.0999755859375,4598724,2024-05-20
2024-05-27,519.1104736328125,520.8499755859375,535.5,501.25,534.0,4372049,2024-05-27
2024-06-03,541.2861938476562,543.0999755859375,549.0,470.1000061035156,530.0,5387855,2024-06-03
2024-06-10,583.5446166992188,585.5,616.9500122070312,536.0999755859375,543.0999755859375,7692851,2024-06-10
2024-06-17,560.0732421875,561.9500122070312,591.9500122070312,557.2000122070312,585.5,2532464,2024-06-17
2024-06-24,554.3424682617188,556.2000122070312,589.6500244140625,544.0,561.9500122070312,3080987,2024-06-24
2024-07-01,558.777587890625,560.6500244140625,565.0499877929688,538.4000244140625,559.5,2576538,2024-07-01
2024-07-08,586.8833618164062,588.8499755859375,598.0,549.0499877929688,563.4000244140625,5160572,2024-07-08
2024-07-15,568.4451904296875,570.3499755859375,600.0,566.2000122070312,591.5,2548243,2024-07-15
2024-07-22,618.0789184570312,620.1500244140625,632.0,538.25,574.2000122070312,5118442,2024-07-22
2024-07-29,578.06298828125,580.0,640.0,578.2000122070312,620.5,3402490,2024-07-29
2024-08-05,571.4850463867188,573.4000244140625,584.0,545.4000244140625,562.7999877929688,3250768,2024-08-05
2024-08-12,550.3558349609375,552.2000122070312,577.0,520.0499877929688,572.0,2554691,2024-08-12
2024-08-19,566.900390625,568.7999877929688,594.0,554.7999877929688,557.0,1598392,2024-08-19
2024-08-26,581.3519287109375,583.2999877929688,590.0,558.1500244140625,572.2000122070312,3291307,2024-08-26
2024-09-02,662.4801025390625,664.7000122070312,689.9500122070312,580.0,589.2999877929688,8810725,2024-09-02
2024-09-09,676.383544921875,678.6500244140625,726.5,655.9500122070312,670.0,6350727,2024-09-09
2024-09-16,660.0880737304688,662.2999877929688,690.0,638.0999755859375,680.5,2656868,2024-09-16
2024-09-23,674.9383544921875,677.2000122070312,714.7999877929688,659.5499877929688,672.6500244140625,2398503,2024-09-23
2024-09-30,683.708984375,686.0,736.2999877929688,674.8499755859375,678.9500122070312,3558861,2024-09-30
2024-10-07,686.2504272460938,688.5499877929688,697.4000244140625,634.0999755859375,687.0,1896910,2024-10-07
2024-10-14,697.6123657226562,699.9500122070312,710.9500122070312,670.0,683.5499877929688,2213246,2024-10-14
2024-10-21,673.1942138671875,675.4500122070312,704.7999877929688,641.0499877929688,704.7999877929688,2713375,2024-10-21
2024-10-28,634.324462890625,636.4500122070312,695.5499877929688,615.7999877929688,675.0,2504524,2024-10-28
2024-11-04,687.2969360351562,689.5999755859375,735.0,617.75,639.4000244140625,3015122,2024-11-04
2024-11-11,658.7426147460938,660.9500122070312,693.4000244140625,640.0,693.4000244140625,1101600,2024-11-11
2024-11-18,638.1615600585938,640.2999877929688,665.0,627.0,660.9500122070312,1113944,2024-11-18
2024-11-25,679.9714965820312,682.25,694.4000244140625,645.2999877929688,650.0,3773614,2024-11-25
2024-12-02,618.3280639648438,620.4000244140625,684.75,612.25,673.0,26866677,2024-12-02
2024-12-09,587.630859375,589.5999755859375,624.5,584.0,621.2000122070312,3815824,2024-12-09
2024-12-16,585.7372436523438,587.7000122070312,616.0,581.25,595.0999755859375,3129300,2024-12-16
2024-12-23,599.989501953125,602.0,605.0,587.0499877929688,598.0,1883264,2024-12-23
2024-12-30,594.7072143554688,596.7000122070312,614.0,595.0,609.9000244140625,1329581,2024-12-30
2025-01-06,612.846435546875,614.9000244140625,639.0,589.0,602.75,3882940,2025-01-06
2025-01-13,649.2743530273438,651.4500122070312,659.5,587.4000244140625,601.9500122070312,2764229,2025-01-13
2025-01-20,656.5997924804688,658.7999877929688,681.7000122070312,646.6500244140625,657.9500122070312,2363600,2025-01-20
2025-01-27,607.2650756835938,609.2999877929688,660.7999877929688,583.25,653.2999877929688,2428520,2025-01-27
2025-02-03,627.048828125,629.1500244140625,640.0999755859375,597.25,603.3499755859375,1623345,2025-02-03
2025-02-10,568.0963745117188,570.0,637.3499755859375,565.8499755859375,629.2000122070312,1279957,2025-02-10
2025-02-17,553.6946411132812,555.5499877929688,601.4500122070312,547.2000122070312,570.0,1849144,2025-02-17
2025-02-24,512.3331909179688,514.0499877929688,548.0,499.0,541.25,2739266,2025-02-24
2025-03-03,532.2166137695312,534.0,550.5499877929688,499.45001220703125,520.0,2006518,2025-03-03
2025-03-10,511.5857238769531,513.2999877929688,598.7000122070312,502.6499938964844,536.0,11221686,2025-03-10
2025-03-17,527.033935546875,528.7999877929688,547.75,515.0499877929688,515.1500244140625,2049080,2025-03-17
2025-03-24,576.5679931640625,578.5,590.0,528.5,530.0,2871789,2025-03-24
2025-03-31,553.594970703125,555.4500122070312,581.7999877929688,552.0,578.5,870709,2025-03-31
2025-04-07,569.3920288085938,571.2999877929688,577.0,505.0,505.0,1297476,2025-04-07
2025-04-14,568.2459106445312,570.1500244140625,585.9500122070312,567.0,571.2999877929688,715308,2025-04-14
2025-04-21,565.5050659179688,567.4000244140625,587.9500122070312,556.7000122070312,572.0499877929688,1177749,2025-04-21
2025-04-28,528.4293212890625,530.2000122070312,584.8499755859375,529.0,567.0,1266317,2025-04-28
2025-05-05,551.5518188476562,553.4000244140625,566.1500244140625,531.9000244140625,543.9500122070312,957502,2025-05-05
2025-05-12,610.1056518554688,612.1500244140625,622.0,553.5499877929688,566.0,1619924,2025-05-12
2025-05-19,598.0958251953125,600.0999755859375,618.4000244140625,591.3499755859375,612.1500244140625,847685,2025-05-19
2025-05-26,598.5443115234375,600.5499877929688,615.0,581.0,604.7999877929688,863503,2025-05-26
2025-06-02,579.6575927734375,581.5999755859375,632.9000244140625,577.0,599.7999877929688,47918545,2025-06-02
2025-06-09,597.2486572265625,599.25,620.2000122070312,581.0,584.0,8686478,2025-06-09
2025-06-16,577.0999755859375,577.0999755859375,606.0,564.2999877929688,600.0,3561274,2025-06-16
2025-06-23,568.4000244140625,568.4000244140625,584.5,565.0,573.6500244140625,1847121,2025-06-23
2025-06-30,567.5,567.5,582.0499877929688,562.0,569.7999877929688,1586289,2025-06-30
2025-07-07,563.9500122070312,563.9500122070312,579.2999877929688,560.0999755859375,568.0999755859375,1718666,2025-07-07
2025-07-14,577.0499877929688,577.0499877929688,586.0,556.5999755859375,566.5,991884,2025-07-14
