Date,Adj Close_STEELXIND.NS,Close_STEELXIND.NS,High_STEELXIND.NS,Low_STEELXIND.NS,Open_STEELXIND.NS,Volume_STEELXIND.NS,Date
2020-07-13,2.755000114440918,2.755000114440918,2.7899999618530273,2.700000047683716,2.7899999618530273,2296350,2020-07-13
2020-07-20,2.744999885559082,2.744999885559082,2.8499999046325684,2.434999942779541,2.6500000953674316,6114950,2020-07-20
2020-07-27,2.815000057220459,2.815000057220459,2.950000047683716,2.744999885559082,2.744999885559082,7174800,2020-07-27
2020-08-03,2.940000057220459,2.940000057220459,3.0,2.75,2.799999952316284,6562560,2020-08-03
2020-08-10,3.0450000762939453,3.0450000762939453,3.1050000190734863,2.9000000953674316,2.9000000953674316,4974550,2020-08-10
2020-08-17,3.200000047683716,3.200000047683716,3.25,2.990000009536743,2.990000009536743,3754140,2020-08-17
2020-08-24,4.03000020980835,4.03000020980835,4.034999847412109,3.200000047683716,3.25,9182690,2020-08-24
2020-08-31,3.684999942779541,3.684999942779541,4.195000171661377,3.4700000286102295,3.8550000190734863,4244410,2020-08-31
2020-09-07,3.7950000762939453,3.7950000762939453,3.825000047683716,3.4549999237060547,3.515000104904175,4658240,2020-09-07
2020-09-14,3.990000009536743,3.990000009536743,4.25,3.634999990463257,3.634999990463257,5449950,2020-09-14
2020-09-21,3.565000057220459,3.565000057220459,4.170000076293945,3.359999895095825,3.990000009536743,2578550,2020-09-21
2020-09-28,3.619999885559082,3.619999885559082,3.694999933242798,3.4100000858306885,3.569999933242798,2133400,2020-09-28
2020-10-05,3.440000057220459,3.440000057220459,3.7149999141693115,3.2200000286102295,3.450000047683716,3025030,2020-10-05
2020-10-12,3.5399999618530273,3.5399999618530273,3.674999952316284,3.140000104904175,3.299999952316284,3239290,2020-10-12
2020-10-19,3.375,3.375,3.7100000381469727,3.2049999237060547,3.5199999809265137,1255860,2020-10-19
2020-10-26,3.380000114440918,3.380000114440918,3.5350000858306885,3.1449999809265137,3.5350000858306885,1159290,2020-10-26
2020-11-02,3.309999942779541,3.309999942779541,3.430000066757202,3.194999933242798,3.319999933242798,1789120,2020-11-02
2020-11-09,3.4100000858306885,3.4100000858306885,3.5450000762939453,3.25,3.305000066757202,1926320,2020-11-09
2020-11-16,3.255000114440918,3.255000114440918,3.5199999809265137,3.1500000953674316,3.390000104904175,3399640,2020-11-16
2020-11-23,3.2300000190734863,3.2300000190734863,3.384999990463257,3.200000047683716,3.299999952316284,1756900,2020-11-23
2020-11-30,3.2249999046325684,3.2249999046325684,3.3450000286102295,3.0299999713897705,3.2300000190734863,3476620,2020-11-30
2020-12-07,3.7100000381469727,3.7100000381469727,3.9800000190734863,3.200000047683716,3.200000047683716,7306230,2020-12-07
2020-12-14,4.045000076293945,4.045000076293945,4.650000095367432,3.7100000381469727,3.7100000381469727,24750810,2020-12-14
2020-12-21,3.940000057220459,3.940000057220459,4.139999866485596,3.125,4.139999866485596,8091700,2020-12-21
2020-12-28,4.894999980926514,4.894999980926514,4.960000038146973,3.9000000953674316,3.940000057220459,16189270,2020-12-28
2021-01-04,5.164999961853027,5.164999961853027,5.389999866485596,4.864999771118164,5.0,12164140,2021-01-04
2021-01-11,5.03000020980835,5.03000020980835,5.244999885559082,4.894999980926514,5.239999771118164,5199670,2021-01-11
2021-01-18,4.880000114440918,4.880000114440918,5.210000038146973,4.599999904632568,4.925000190734863,6054120,2021-01-18
2021-01-25,4.809999942779541,4.809999942779541,5.099999904632568,4.699999809265137,5.099999904632568,3231630,2021-01-25
2021-02-01,5.025000095367432,5.025000095367432,5.340000152587891,4.820000171661377,4.880000114440918,9275820,2021-02-01
2021-02-08,5.275000095367432,5.275000095367432,5.465000152587891,4.929999828338623,5.159999847412109,9380150,2021-02-08
2021-02-15,5.15500020980835,5.15500020980835,5.400000095367432,4.940000057220459,5.289999961853027,4464550,2021-02-15
2021-02-22,5.199999809265137,5.199999809265137,5.539999961853027,4.59499979019165,5.295000076293945,4153150,2021-02-22
2021-03-01,5.5,5.5,5.704999923706055,5.0,5.110000133514404,11106560,2021-03-01
2021-03-08,5.46999979019165,5.46999979019165,6.0,5.269999980926514,5.5,8164620,2021-03-08
2021-03-15,5.369999885559082,5.369999885559082,5.71999979019165,5.105000019073486,5.454999923706055,6883580,2021-03-15
2021-03-22,5.400000095367432,5.400000095367432,5.510000228881836,5.199999809265137,5.215000152587891,13232320,2021-03-22
2021-03-29,6.670000076293945,6.670000076293945,6.869999885559082,5.340000152587891,5.400000095367432,15312330,2021-03-29
2021-04-05,6.235000133514404,6.235000133514404,6.735000133514404,6.135000228881836,6.699999809265137,8174870,2021-04-05
2021-04-12,6.039999961853027,6.039999961853027,6.199999809265137,5.385000228881836,6.199999809265137,6114450,2021-04-12
2021-04-19,6.28000020980835,6.28000020980835,6.480000019073486,5.644999980926514,6.039999961853027,3277180,2021-04-19
2021-04-26,6.440000057220459,6.440000057220459,6.695000171661377,6.025000095367432,6.389999866485596,5816180,2021-04-26
2021-05-03,6.670000076293945,6.670000076293945,6.820000171661377,6.014999866485596,6.445000171661377,5406260,2021-05-03
2021-05-10,6.324999809265137,6.324999809265137,7.090000152587891,6.300000190734863,6.835000038146973,7496760,2021-05-10
2021-05-17,6.460000038146973,6.460000038146973,6.929999828338623,6.28000020980835,6.514999866485596,5625410,2021-05-17
2021-05-24,5.744999885559082,5.744999885559082,6.699999809265137,5.625,6.460000038146973,10652980,2021-05-24
2021-05-31,5.795000076293945,5.795000076293945,6.099999904632568,5.675000190734863,5.84499979019165,15317890,2021-05-31
2021-06-07,5.820000171661377,5.820000171661377,6.099999904632568,5.744999885559082,5.795000076293945,5491430,2021-06-07
2021-06-14,5.809999942779541,5.809999942779541,6.0,5.699999809265137,5.875,8607040,2021-06-14
2021-06-21,5.730000019073486,5.730000019073486,5.945000171661377,5.664999961853027,5.809999942779541,7696910,2021-06-21
2021-06-28,7.40500020980835,7.40500020980835,7.525000095367432,5.690000057220459,5.824999809265137,77864940,2021-06-28
2021-07-05,7.039999961853027,7.039999961853027,7.5,6.664999961853027,7.5,18708500,2021-07-05
2021-07-12,6.954999923706055,6.954999923706055,7.144999980926514,6.75,7.099999904632568,13857480,2021-07-12
2021-07-19,7.380000114440918,7.380000114440918,7.449999809265137,6.619999885559082,6.949999809265137,21136460,2021-07-19
2021-07-26,7.300000190734863,7.300000190734863,7.800000190734863,7.105000019073486,7.699999809265137,33034470,2021-07-26
2021-08-02,8.199999809265137,8.199999809265137,8.380000114440918,6.715000152587891,7.599999904632568,163839340,2021-08-02
2021-08-09,7.699999809265137,7.699999809265137,8.595000267028809,7.400000095367432,8.279999732971191,59948090,2021-08-09
2021-08-16,7.864999771118164,7.864999771118164,8.489999771118164,7.650000095367432,8.199999809265137,44700440,2021-08-16
