Date,Adj Close_TIPSMUSIC.NS,Close_TIPSMUSIC.NS,High_TIPSMUSIC.NS,Low_TIPSMUSIC.NS,Open_TIPSMUSIC.NS,Volume_TIPSMUSIC.NS,Date
2020-07-13,12.430886268615723,12.90380859375,13.699701309204102,12.527054786682129,12.720141410827637,237501,2020-07-13
2020-07-20,13.519721031188965,14.034069061279297,14.975953102111816,12.527054786682129,12.527054786682129,963938,2020-07-20
2020-07-27,13.1885347366333,13.690281867980957,14.132966995239258,12.432867050170898,13.798598289489746,781687,2020-07-27
2020-08-03,14.740127563476562,15.3009033203125,16.464130401611328,12.997997283935547,13.605511665344238,611219,2020-08-03
2020-08-10,16.396066665649414,17.019840240478516,18.880062103271484,15.282065391540527,15.720041275024414,2044092,2020-08-10
2020-08-17,18.110984802246094,18.80000114440918,20.438880920410156,16.040281295776367,17.59910011291504,2532177,2020-08-17
2020-08-24,16.622907638549805,17.255311965942383,19.756013870239258,16.318138122558594,18.960121154785156,925080,2020-08-24
2020-08-31,21.04176902770996,21.842287063598633,22.543989181518555,17.14228630065918,17.2835693359375,6548523,2020-08-31
2020-09-07,27.68367576599121,28.73687744140625,29.951906204223633,21.38076400756836,21.842287063598633,6571253,2020-09-07
2020-09-14,23.400915145874023,24.29118537902832,30.055513381958008,22.934871673583984,29.0900821685791,7030748,2020-09-14
2020-09-21,22.448143005371094,23.165634155273438,25.148298263549805,19.08256721496582,24.48897933959961,3324049,2020-09-21
2020-09-28,29.21133804321289,30.14499282836914,33.352108001708984,23.660123825073242,24.479562759399414,14085917,2020-09-28
2020-10-05,25.104135513305664,25.90651512145996,30.606515884399414,25.05411148071289,30.51703643798828,3053048,2020-10-05
2020-10-12,24.93984603881836,25.736976623535156,29.188980102539062,24.451305389404297,26.005413055419922,2480824,2020-10-12
2020-10-19,24.39221954345703,25.171846389770508,26.843690872192383,23.580062866210938,25.995994567871094,1349282,2020-10-19
2020-10-26,23.328908920288086,24.07455062866211,25.901805877685547,23.7354736328125,25.67575454711914,745886,2020-10-26
2020-11-02,24.866832733154297,25.6616268157959,25.704011917114258,22.261425018310547,24.6208438873291,1519346,2020-11-02
2020-11-09,25.218223571777344,26.02425193786621,28.44489288330078,25.157718658447266,26.37274742126465,1613190,2020-11-09
2020-11-16,24.008882522583008,24.776254653930664,26.46222686767578,24.63026237487793,25.845293045043945,546329,2020-11-16
2020-11-23,23.58447265625,24.338279724121094,25.3602237701416,23.824951171875,24.776254653930664,733867,2020-11-23
2020-11-30,24.09103012084961,24.861024856567383,25.379060745239258,24.338279724121094,24.338279724121094,393051,2020-11-30
2020-12-07,24.36939811706543,25.148298263549805,26.184371948242188,24.479562759399414,24.861024856567383,842108,2020-12-07
2020-12-14,23.92217445373535,24.68677520751953,25.47795867919922,23.85791778564453,25.41202735900879,403986,2020-12-14
2020-12-21,26.368242263793945,27.21102523803711,29.198400497436523,24.58316993713379,24.72916030883789,4399181,2020-12-21
2020-12-28,33.66993713378906,34.746097564697266,35.68798065185547,26.123149871826172,27.54068374633789,12086636,2020-12-28
2021-01-04,34.35447692871094,35.452510833740234,44.438079833984375,35.32064437866211,35.32064437866211,15344161,2021-01-04
2021-01-11,34.08522033691406,35.174652099609375,37.67535400390625,33.4368782043457,35.60321044921875,1986973,2021-01-11
2021-01-18,34.418357849121094,35.51844024658203,38.146297454833984,34.00200653076172,35.3065185546875,1512986,2021-01-18
2021-01-25,33.29572677612305,34.35992431640625,36.00822067260742,33.86072540283203,35.61733627319336,434659,2021-01-25
2021-02-01,33.50108337402344,34.57184600830078,35.791587829589844,33.53106689453125,34.755516052246094,268311,2021-02-01
2021-02-08,37.36185073852539,38.55601501464844,41.659523010253906,34.57184600830078,35.297096252441406,808080,2021-02-08
2021-02-15,39.60712814331055,40.873050689697266,41.075557708740234,36.177757263183594,38.61724090576172,1356842,2021-02-15
2021-02-22,40.15475082397461,41.43818283081055,42.85100555419922,37.854312896728516,40.971946716308594,1076096,2021-02-22
2021-03-01,41.1176643371582,42.43186950683594,44.174354553222656,40.51042556762695,41.63126754760742,1055447,2021-03-01
2021-03-08,46.08281707763672,47.55571746826172,48.33747863769531,40.505714416503906,40.505714416503906,523873,2021-03-08
2021-03-15,45.69947814941406,47.160125732421875,51.42686080932617,46.623252868652344,49.44890213012695,308209,2021-03-15
2021-03-22,45.09252166748047,46.53377151489258,49.44419479370117,44.83367156982422,49.44419479370117,546540,2021-03-22
2021-03-29,45.275062561035156,46.72214889526367,47.97956466674805,43.04409408569336,46.53377151489258,670092,2021-03-29
2021-04-05,46.520912170410156,48.00782012939453,50.86172866821289,45.210426330566406,46.157020568847656,246058,2021-04-05
2021-04-12,46.21516799926758,47.692291259765625,48.318641662597656,43.62805938720703,47.84770202636719,174149,2021-04-12
