Date,Adj Close_JYOTICNC.NS,Close_JYOTICNC.NS,High_JYOTICNC.NS,Low_JYOTICNC.NS,Open_JYOTICNC.NS,Volume_JYOTICNC.NS,Date
2024-01-15,436.25,436.25,484.0,368.0,370.0,44458244,2024-01-15
2024-01-22,444.1499938964844,444.1499938964844,450.70001220703125,408.3999938964844,436.25,5211461,2024-01-22
2024-01-29,586.0999755859375,586.0999755859375,639.9000244140625,433.54998779296875,448.20001220703125,13160959,2024-01-29
2024-02-05,597.5499877929688,597.5499877929688,619.0,560.0,599.0,3158828,2024-02-05
2024-02-12,630.2999877929688,630.2999877929688,660.0,512.5999755859375,615.0,6331773,2024-02-12
2024-02-19,605.5999755859375,605.5999755859375,670.0,600.0,637.5,2968279,2024-02-19
2024-02-26,616.0999755859375,616.0999755859375,628.0,576.0499877929688,607.6500244140625,1735857,2024-02-26
2024-03-04,639.5499877929688,639.5499877929688,659.0,595.2999877929688,612.7000122070312,1815230,2024-03-04
2024-03-11,600.5,600.5,642.6500244140625,567.75,628.0,1918039,2024-03-11
2024-03-18,696.3499755859375,696.3499755859375,696.3499755859375,601.0499877929688,610.0,1244416,2024-03-18
2024-03-25,821.4500122070312,821.4500122070312,837.7000122070312,696.3499755859375,696.3499755859375,3064029,2024-03-25
2024-04-01,775.0999755859375,775.0999755859375,846.0,750.0,825.0,2009460,2024-04-01
2024-04-08,780.9500122070312,780.9500122070312,800.0,731.1500244140625,778.9000244140625,1695555,2024-04-08
2024-04-15,738.7999877929688,738.7999877929688,769.9500122070312,708.0,751.5999755859375,1981806,2024-04-15
2024-04-22,807.4000244140625,807.4000244140625,850.2000122070312,728.0,755.0,2587552,2024-04-22
2024-04-29,803.0999755859375,803.0999755859375,880.0,790.5999755859375,810.0999755859375,1597402,2024-04-29
2024-05-06,810.2000122070312,810.2000122070312,839.5,775.0,809.0,1204117,2024-05-06
2024-05-13,920.0,920.0,934.0,800.0,818.0,2406605,2024-05-13
2024-05-20,885.0,885.0,966.0,855.0,895.5,1346179,2024-05-20
2024-05-27,1008.5999755859375,1008.5999755859375,1051.3499755859375,865.2000122070312,889.7999877929688,2642781,2024-05-27
2024-06-03,1063.1500244140625,1063.1500244140625,1063.1500244140625,920.5,1047.800048828125,2262243,2024-06-03
2024-06-10,1184.1500244140625,1184.1500244140625,1224.0,1063.199951171875,1063.199951171875,1903868,2024-06-10
2024-06-17,1307.6500244140625,1307.6500244140625,1449.949951171875,1184.1500244140625,1184.1500244140625,2382893,2024-06-17
2024-06-24,1354.5,1354.5,1379.800048828125,1210.0,1321.0,1575928,2024-06-24
2024-07-01,1294.550048828125,1294.550048828125,1400.0,1270.0,1300.0,666202,2024-07-01
2024-07-08,1210.75,1210.75,1308.0,1175.0,1294.550048828125,973671,2024-07-08
2024-07-15,1146.3499755859375,1146.3499755859375,1312.0,1128.0,1218.5,3237268,2024-07-15
2024-07-22,1132.75,1132.75,1169.75,1037.0999755859375,1129.0,1767892,2024-07-22
2024-07-29,1148.6500244140625,1148.6500244140625,1198.0,1114.300048828125,1170.0,6171928,2024-07-29
2024-08-05,1145.5,1145.5,1166.0,1044.550048828125,1100.0,1209979,2024-08-05
2024-08-12,1136.699951171875,1136.699951171875,1150.0,1060.0,1135.0,2482905,2024-08-12
2024-08-19,1264.0999755859375,1264.0999755859375,1273.0,1068.0,1150.0,3495011,2024-08-19
2024-08-26,1242.1500244140625,1242.1500244140625,1305.0,1235.0,1265.0,1395293,2024-08-26
2024-09-02,1158.800048828125,1158.800048828125,1244.800048828125,1142.0,1242.199951171875,1065856,2024-09-02
