Date,Adj Close_TCS.NS,Close_TCS.NS,High_TCS.NS,Low_TCS.NS,Open_TCS.NS,Volume_TCS.NS,Date
2021-02-08,3009.7529296875,3190.800048828125,3245.800048828125,3155.14990234375,3189.5,11256612,2021-02-08
2021-02-15,2897.552978515625,3071.85009765625,3209.0,3016.14990234375,3209.0,17659986,2021-02-15
2021-02-22,2730.07666015625,2894.300048828125,3096.0,2880.0,3096.0,22751300,2021-02-22
2021-03-01,2837.372314453125,3008.050048828125,3081.449951171875,2901.800048828125,2926.0,17202643,2021-03-01
2021-03-08,2884.441650390625,3057.949951171875,3117.0,2992.10009765625,3016.0,9937617,2021-03-08
2021-03-15,2877.13134765625,3050.199951171875,3155.0,2987.050048828125,3041.0,21263161,2021-03-15
2021-03-22,2892.7890625,3066.800048828125,3169.0,3018.64990234375,3048.699951171875,15211879,2021-03-22
2021-03-29,2985.417236328125,3165.0,3215.0,3060.89990234375,3066.800048828125,12509153,2021-03-29
2021-04-05,3133.744873046875,3322.25,3354.35009765625,3151.0,3171.0,15589939,2021-04-05
2021-04-12,3013.85595703125,3195.14990234375,3338.10009765625,3073.050048828125,3322.25,21733841,2021-04-12
2021-04-19,2933.066162109375,3109.5,3225.35009765625,3091.050048828125,3169.0,9425288,2021-04-19
2021-04-26,2863.406494140625,3035.64990234375,3157.35009765625,3020.0,3102.050048828125,10294414,2021-04-26
2021-05-03,2955.138671875,3132.89990234375,3159.85009765625,3004.0,3024.89990234375,9180108,2021-05-03
2021-05-10,2878.357421875,3051.5,3164.199951171875,3040.0,3145.949951171875,8575271,2021-05-10
2021-05-17,2905.711669921875,3080.5,3124.0,3036.0,3055.0,10989634,2021-05-17
2021-05-24,2965.231689453125,3143.60009765625,3217.75,3072.0,3081.5,13141112,2021-05-24
2021-05-31,2979.878173828125,3143.75,3170.35009765625,3115.0,3150.0,8388084,2021-05-31
2021-06-07,3103.14892578125,3273.800048828125,3309.0,3133.60009765625,3145.0,12172081,2021-06-07
2021-06-14,3125.42431640625,3297.300048828125,3358.0,3251.550048828125,3279.0,10441741,2021-06-14
2021-06-21,3204.571533203125,3380.800048828125,3399.64990234375,3251.699951171875,3265.0,11184426,2021-06-21
2021-06-28,3152.107177734375,3325.449951171875,3391.5,3295.199951171875,3391.5,7218290,2021-06-28
