Date,Adj Close_CREATIVEYE.NS,Close_CREATIVEYE.NS,High_CREATIVEYE.NS,Low_CREATIVEYE.NS,Open_CREATIVEYE.NS,Volume_CREATIVEYE.NS,Date
2020-07-13,1.75,1.75,1.899999976158142,1.75,1.75,37435,2020-07-13
2020-07-20,1.850000023841858,1.850000023841858,1.899999976158142,1.7000000476837158,1.75,21584,2020-07-20
2020-07-27,1.649999976158142,1.649999976158142,1.7999999523162842,1.649999976158142,1.7999999523162842,3747,2020-07-27
2020-08-03,1.4500000476837158,1.4500000476837158,1.649999976158142,1.4500000476837158,1.649999976158142,28414,2020-08-03
2020-08-10,1.399999976158142,1.399999976158142,1.5,1.350000023841858,1.4500000476837158,8031,2020-08-10
2020-08-17,1.649999976158142,1.649999976158142,1.649999976158142,1.399999976158142,1.399999976158142,17771,2020-08-17
2020-08-24,1.899999976158142,1.899999976158142,1.899999976158142,1.7000000476837158,1.7000000476837158,15114,2020-08-24
2020-08-31,2.299999952316284,2.299999952316284,2.299999952316284,1.9500000476837158,1.9500000476837158,14135,2020-08-31
2020-09-07,2.799999952316284,2.799999952316284,2.799999952316284,2.4000000953674316,2.4000000953674316,34164,2020-09-07
2020-09-14,3.450000047683716,3.450000047683716,3.450000047683716,2.9000000953674316,2.9000000953674316,101832,2020-09-14
2020-09-21,4.25,4.25,4.25,3.5999999046325684,3.5999999046325684,67387,2020-09-21
2020-09-28,3.549999952316284,3.549999952316284,4.449999809265137,3.549999952316284,4.449999809265137,71264,2020-09-28
2020-10-05,3.5,3.5,3.6500000953674316,3.0999999046325684,3.4000000953674316,132962,2020-10-05
2020-10-12,3.0,3.0,3.700000047683716,2.950000047683716,3.3499999046325684,65019,2020-10-12
2020-10-19,3.049999952316284,3.049999952316284,3.1500000953674316,2.799999952316284,2.8499999046325684,39130,2020-10-19
2020-10-26,3.0,3.0,3.4000000953674316,2.950000047683716,3.049999952316284,29252,2020-10-26
2020-11-02,2.950000047683716,2.950000047683716,3.0999999046325684,2.75,3.0,28824,2020-11-02
2020-11-09,2.950000047683716,2.950000047683716,3.049999952316284,2.700000047683716,3.049999952316284,33965,2020-11-09
2020-11-16,2.950000047683716,2.950000047683716,3.049999952316284,2.700000047683716,2.8499999046325684,46778,2020-11-16
2020-11-23,2.75,2.75,3.0,2.75,2.950000047683716,44073,2020-11-23
2020-11-30,2.8499999046325684,2.8499999046325684,2.950000047683716,2.5999999046325684,2.75,23300,2020-11-30
2020-12-07,3.200000047683716,3.200000047683716,3.6500000953674316,2.9000000953674316,2.950000047683716,84873,2020-12-07
2020-12-14,3.200000047683716,3.200000047683716,3.5999999046325684,2.9000000953674316,3.450000047683716,52988,2020-12-14
2020-12-21,3.700000047683716,3.700000047683716,3.700000047683716,2.8499999046325684,3.450000047683716,171850,2020-12-21
2020-12-28,4.150000095367432,4.150000095367432,4.599999904632568,3.950000047683716,3.950000047683716,498404,2020-12-28
2021-01-04,4.0,4.0,4.25,3.8499999046325684,4.150000095367432,374070,2021-01-04
2021-01-11,3.4000000953674316,3.4000000953674316,3.9000000953674316,3.4000000953674316,3.799999952316284,33515,2021-01-11
2021-01-18,3.3499999046325684,3.3499999046325684,3.3499999046325684,3.200000047683716,3.25,8524,2021-01-18
2021-01-25,3.0999999046325684,3.0999999046325684,3.3499999046325684,3.0999999046325684,3.3499999046325684,5362,2021-01-25
2021-02-01,3.200000047683716,3.200000047683716,3.25,3.0,3.0999999046325684,25386,2021-02-01
2021-02-08,3.049999952316284,3.049999952316284,3.200000047683716,2.950000047683716,3.049999952316284,13386,2021-02-08
2021-02-15,2.9000000953674316,2.9000000953674316,3.049999952316284,2.9000000953674316,3.0,24578,2021-02-15
2021-02-22,2.799999952316284,2.799999952316284,2.9000000953674316,2.799999952316284,2.799999952316284,19719,2021-02-22
2021-03-01,3.0,3.0,3.0,2.799999952316284,2.799999952316284,1801,2021-03-01
2021-03-08,2.799999952316284,2.799999952316284,3.0,2.799999952316284,3.0,1279,2021-03-08
2021-03-15,2.8499999046325684,2.8499999046325684,2.9000000953674316,2.75,2.9000000953674316,8899,2021-03-15
2021-03-22,3.049999952316284,3.049999952316284,3.049999952316284,2.950000047683716,2.950000047683716,1161,2021-03-22
2021-03-29,2.9000000953674316,2.9000000953674316,3.049999952316284,2.8499999046325684,3.049999952316284,2000,2021-03-29
2021-04-05,3.0,3.0,3.0,2.9000000953674316,2.9000000953674316,1050,2021-04-05
2021-04-12,2.9000000953674316,2.9000000953674316,3.0,2.8499999046325684,3.0,2946,2021-04-12
2021-04-19,2.75,2.75,2.799999952316284,2.75,2.799999952316284,1049,2021-04-19
2021-04-26,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,530,2021-04-26
2021-05-03,2.950000047683716,2.950000047683716,2.950000047683716,2.700000047683716,2.799999952316284,7765,2021-05-03
2021-05-10,2.75,2.75,2.8499999046325684,2.75,2.8499999046325684,16251,2021-05-10
2021-05-17,2.9000000953674316,2.9000000953674316,3.0,2.75,2.75,13467,2021-05-17
2021-05-24,2.6500000953674316,2.6500000953674316,2.9000000953674316,2.6500000953674316,2.799999952316284,8510,2021-05-24
2021-05-31,3.0,3.0,3.0,2.6500000953674316,2.700000047683716,10732,2021-05-31
2021-06-07,3.299999952316284,3.299999952316284,3.299999952316284,3.1500000953674316,3.1500000953674316,4463,2021-06-07
2021-06-14,3.0999999046325684,3.0999999046325684,3.299999952316284,3.0999999046325684,3.299999952316284,8289,2021-06-14
2021-06-21,3.0,3.0,3.1500000953674316,3.0,3.0999999046325684,2983,2021-06-21
2021-06-28,3.0,3.0,3.0,2.8499999046325684,3.0,5003,2021-06-28
2021-07-05,3.0,3.0,3.0,2.8499999046325684,2.8499999046325684,18436,2021-07-05
2021-07-12,2.9000000953674316,2.9000000953674316,3.0,2.75,2.950000047683716,59872,2021-07-12
2021-07-19,3.0999999046325684,3.0999999046325684,3.0999999046325684,2.9000000953674316,2.9000000953674316,5309,2021-07-19
2021-07-26,3.700000047683716,3.700000047683716,3.700000047683716,3.25,3.25,48919,2021-07-26
2021-08-02,3.4000000953674316,3.4000000953674316,4.0,3.4000000953674316,3.8499999046325684,57125,2021-08-02
2021-08-09,3.25,3.25,3.4000000953674316,3.25,3.4000000953674316,14526,2021-08-09
2021-08-16,3.0999999046325684,3.0999999046325684,3.25,3.0999999046325684,3.25,1230,2021-08-16
2021-08-23,2.700000047683716,2.700000047683716,2.950000047683716,2.700000047683716,2.950000047683716,5110,2021-08-23
2021-08-30,2.799999952316284,2.799999952316284,2.8499999046325684,2.75,2.75,4887,2021-08-30
2021-09-06,2.950000047683716,2.950000047683716,2.950000047683716,2.75,2.75,5814,2021-09-06
2021-09-13,3.200000047683716,3.200000047683716,3.200000047683716,2.950000047683716,2.950000047683716,6415,2021-09-13
2021-09-20,3.0999999046325684,3.0999999046325684,3.3499999046325684,3.0,3.200000047683716,4147,2021-09-20
