Date,Adj Close_STAR.NS,Close_STAR.NS,High_STAR.NS,Low_STAR.NS,Open_STAR.NS,Volume_STAR.NS,Date
2020-07-13,421.1461181640625,426.75,436.0,411.3999938964844,413.0,2303955,2020-07-13
2020-07-20,415.3235778808594,420.8500061035156,431.0,406.8999938964844,430.54998779296875,3579478,2020-07-20
2020-07-27,432.5443420410156,436.20001220703125,441.0,408.1000061035156,421.0,4766389,2020-07-27
2020-08-03,519.41015625,523.7999877929688,552.9000244140625,437.0,438.0,20335126,2020-08-03
2020-08-10,552.133544921875,556.7999877929688,627.9500122070312,527.0,527.0,15460504,2020-08-10
2020-08-17,607.1685180664062,612.2999877929688,634.7000122070312,551.2999877929688,561.0,11085426,2020-08-17
2020-08-24,619.4150390625,624.6500244140625,653.0,585.0,617.0,8539208,2020-08-24
2020-08-31,593.2362060546875,598.25,630.5,583.25,629.3499755859375,4641104,2020-08-31
2020-09-07,678.9121704101562,684.6500244140625,692.9000244140625,586.9500122070312,599.5,11702070,2020-09-07
2020-09-14,706.6775512695312,712.6500244140625,745.0,655.25,686.0,11256809,2020-09-14
2020-09-21,655.9065551757812,661.4500122070312,719.9000244140625,614.0,715.0,6415243,2020-09-21
2020-09-28,719.07275390625,725.1500244140625,755.0,661.5,667.4500122070312,9040534,2020-09-28
2020-10-05,703.70263671875,709.6500244140625,741.0,686.2999877929688,728.7999877929688,3825482,2020-10-05
2020-10-12,738.3101196289062,744.5499877929688,764.4000244140625,691.0,710.6500244140625,4798935,2020-10-12
2020-10-19,736.872314453125,743.0999755859375,759.0,706.8499755859375,749.0,3377193,2020-10-19
2020-10-26,684.5147705078125,690.2999877929688,762.0,646.0999755859375,746.5999755859375,5392398,2020-10-26
2020-11-02,655.6090698242188,661.1500244140625,704.0,636.0,688.0499877929688,2755390,2020-11-02
2020-11-09,688.183837890625,694.0,701.0,594.0,668.0,4723493,2020-11-09
2020-11-16,704.4463500976562,710.4000244140625,716.8499755859375,658.0999755859375,678.0999755859375,3356189,2020-11-16
2020-11-23,757.6962890625,764.0999755859375,773.9000244140625,690.0,714.9000244140625,5331136,2020-11-23
2020-11-30,792.5516967773438,799.25,807.0,755.0,764.0999755859375,2683349,2020-11-30
2020-12-07,778.0244140625,784.5999755859375,898.7000122070312,775.0999755859375,800.0,6279651,2020-12-07
2020-12-14,772.025146484375,778.5499877929688,812.9500122070312,762.6500244140625,790.8499755859375,2316146,2020-12-14
