Date,Adj Close_CYIENT.NS,Close_CYIENT.NS,High_CYIENT.NS,Low_CYIENT.NS,Open_CYIENT.NS,Volume_CYIENT.NS,Date
2020-07-13,264.9853515625,295.1499938964844,310.79998779296875,268.0,270.8999938964844,8613678,2020-07-13
2020-07-20,284.28802490234375,316.6499938964844,325.0,292.6000061035156,295.1499938964844,3872602,2020-07-20
2020-07-27,296.273681640625,330.0,337.75,318.45001220703125,319.0,2398994,2020-07-27
2020-08-03,305.161865234375,339.8999938964844,348.70001220703125,322.6000061035156,326.1000061035156,3105441,2020-08-03
2020-08-10,331.332763671875,369.04998779296875,389.8999938964844,339.25,342.5,3042345,2020-08-10
2020-08-17,349.42340087890625,389.20001220703125,430.95001220703125,372.95001220703125,372.95001220703125,4171750,2020-08-17
2020-08-24,359.9276123046875,400.8999938964844,416.79998779296875,376.3500061035156,389.95001220703125,3181975,2020-08-24
2020-08-31,346.1015319824219,385.5,415.70001220703125,379.29998779296875,412.0,1626159,2020-08-31
2020-09-07,338.919189453125,377.5,397.6499938964844,369.29998779296875,385.5,1977066,2020-09-07
2020-09-14,379.2752380371094,422.45001220703125,428.95001220703125,381.1499938964844,381.1499938964844,3820141,2020-09-14
2020-09-21,344.75482177734375,384.0,442.45001220703125,367.1000061035156,425.79998779296875,2720559,2020-09-21
2020-09-28,340.3556213378906,379.1000061035156,398.0,377.75,389.0,870150,2020-09-28
2020-10-05,343.85699462890625,383.0,404.8999938964844,381.29998779296875,383.0,2763575,2020-10-05
2020-10-12,349.6927185058594,389.5,392.0,365.0,386.5,5462073,2020-10-12
2020-10-19,385.604736328125,429.5,443.0,387.0,393.3999938964844,5819939,2020-10-19
2020-10-26,354.00213623046875,394.29998779296875,430.8999938964844,390.0,429.5,2098686,2020-10-26
2020-11-02,361.9028015136719,403.1000061035156,419.45001220703125,394.79998779296875,394.8999938964844,1103858,2020-11-02
2020-11-09,383.2255554199219,426.8500061035156,441.3500061035156,408.0,410.0,2734791,2020-11-09
2020-11-16,415.3218078613281,462.6000061035156,513.0,424.5,424.5,3009302,2020-11-16
2020-11-23,439.1584167480469,489.1499938964844,493.3500061035156,451.25,463.0,3370530,2020-11-23
2020-11-30,430.0008544921875,478.95001220703125,497.0,471.1499938964844,489.1499938964844,1680379,2020-11-30
2020-12-07,445.93682861328125,496.70001220703125,499.79998779296875,471.1000061035156,480.20001220703125,2204020,2020-12-07
2020-12-14,474.3072509765625,528.2999877929688,562.75,499.6000061035156,501.5,6723427,2020-12-14
2020-12-21,456.57568359375,508.54998779296875,527.0,442.1000061035156,526.9000244140625,2460442,2020-12-21
2020-12-28,460.7055969238281,513.1500244140625,526.0,506.5,510.0,1309685,2020-12-28
2021-01-04,480.5021057128906,535.2000122070312,554.0,515.0,515.0,2315750,2021-01-04
2021-01-11,443.3780517578125,493.8500061035156,544.9000244140625,487.0,539.4000244140625,1941928,2021-01-11
2021-01-18,539.9364013671875,601.4000244140625,609.3499755859375,478.6499938964844,495.0,9336783,2021-01-18
2021-01-25,543.7070922851562,605.5999755859375,678.2000122070312,552.7999877929688,619.4000244140625,13984939,2021-01-25
2021-02-01,574.5914916992188,640.0,689.0,610.0999755859375,610.8499755859375,6740445,2021-02-01
2021-02-08,562.1119995117188,626.0999755859375,668.4000244140625,624.0,636.0,2531229,2021-02-08
2021-02-15,534.5046997070312,595.3499755859375,636.0,590.0,630.5,1644522,2021-02-15
2021-02-22,585.76904296875,652.4500122070312,665.0,596.5,597.0,5110652,2021-02-22
2021-03-01,566.0174560546875,630.4500122070312,682.0,625.2999877929688,657.7999877929688,2450608,2021-03-01
2021-03-08,610.1441650390625,679.5999755859375,684.0999755859375,631.0,635.9000244140625,2477462,2021-03-08
2021-03-15,592.63720703125,660.0999755859375,708.3499755859375,637.5499877929688,688.0,7239101,2021-03-15
2021-03-22,577.105224609375,642.7999877929688,687.0,638.6500244140625,665.7999877929688,2649084,2021-03-22
