Date,Adj Close_BOHRAIND.NS,Close_BOHRAIND.NS,High_BOHRAIND.NS,Low_BOHRAIND.NS,Open_BOHRAIND.NS,Volume_BOHRAIND.NS,Date
2020-07-13,37.0,37.0,39.0,37.0,38.0,400,2020-07-13
2020-07-20,37.0,37.0,38.0,37.0,37.0,900,2020-07-20
2020-07-27,37.0,37.0,37.0,37.0,37.0,100,2020-07-27
2020-08-03,37.0,37.0,38.0,36.0,37.0,3800,2020-08-03
2020-08-10,38.0,38.0,38.0,37.0,37.0,600,2020-08-10
2020-08-17,40.0,40.0,40.0,38.0,38.0,700,2020-08-17
2020-08-24,35.0,35.0,39.0,35.0,39.0,1400,2020-08-24
2020-08-31,34.0,34.0,34.0,34.0,34.0,400,2020-08-31
2020-09-07,31.0,31.0,34.0,31.0,34.0,1000,2020-09-07
2020-09-14,27.0,27.0,30.0,27.0,30.0,800,2020-09-14
2020-09-21,24.0,24.0,26.0,24.0,26.0,500,2020-09-21
2020-09-28,23.0,23.0,24.0,23.0,24.0,400,2020-09-28
2020-10-05,22.0,22.0,23.0,20.0,23.0,5200,2020-10-05
2020-10-12,26.0,26.0,26.0,23.0,23.0,3000,2020-10-12
2020-10-19,26.0,26.0,26.0,26.0,26.0,0,2020-10-19
2020-10-26,25.0,25.0,26.0,25.0,26.0,100,2020-10-26
2020-11-02,24.0,24.0,25.0,24.0,25.0,3600,2020-11-02
2020-11-09,22.0,22.0,24.0,22.0,24.0,200,2020-11-09
2020-11-16,20.0,20.0,22.0,19.0,22.0,600,2020-11-16
2020-11-23,19.0,19.0,21.0,19.0,20.0,1500,2020-11-23
2020-11-30,22.0,22.0,22.0,19.0,19.0,2200,2020-11-30
2020-12-07,23.0,23.0,23.0,21.0,21.0,2400,2020-12-07
2020-12-14,25.0,25.0,25.0,24.0,24.0,1700,2020-12-14
2020-12-21,26.0,26.0,26.0,26.0,26.0,200,2020-12-21
2020-12-28,30.0,30.0,30.0,26.0,26.0,3400,2020-12-28
2021-01-04,33.0,33.0,34.0,31.0,31.0,2700,2021-01-04
2021-01-11,37.0,37.0,37.0,33.0,33.0,900,2021-01-11
2021-01-18,38.0,38.0,40.0,38.0,38.0,1200,2021-01-18
2021-01-25,36.0,36.0,38.0,36.0,38.0,30900,2021-01-25
2021-02-01,35.0,35.0,37.0,35.0,36.0,5100,2021-02-01
2021-02-08,34.0,34.0,35.0,34.0,35.0,100,2021-02-08
2021-02-15,31.0,31.0,34.0,31.0,34.0,2200,2021-02-15
2021-02-22,32.0,32.0,32.0,31.0,31.0,200,2021-02-22
2021-03-01,28.0,28.0,32.0,28.0,32.0,5200,2021-03-01
2021-03-08,26.0,26.0,27.0,24.0,27.0,1600,2021-03-08
2021-03-15,30.0,30.0,30.0,27.0,27.0,5100,2021-03-15
2021-03-22,31.0,31.0,31.0,30.0,30.0,100,2021-03-22
2021-03-29,34.0,34.0,34.0,31.0,31.0,1900,2021-03-29
2021-04-05,39.0,39.0,39.0,35.0,35.0,3400,2021-04-05
2021-04-12,44.0,44.0,44.0,40.0,40.0,900,2021-04-12
2021-04-19,50.0,50.0,50.0,46.0,46.0,5000,2021-04-19
2021-04-26,60.0,60.0,60.0,52.0,52.0,2800,2021-04-26
2021-05-03,75.0,75.0,75.0,63.0,63.0,4100,2021-05-03
2021-05-10,89.0,89.0,89.0,78.0,78.0,1600,2021-05-10
2021-05-17,111.0,111.0,111.0,93.0,93.0,3900,2021-05-17
2021-05-24,139.0,139.0,139.0,116.0,116.0,11400,2021-05-24
2021-05-31,110.0,110.0,145.0,110.0,145.0,14100,2021-05-31
2021-06-07,87.0,87.0,105.0,87.0,105.0,9100,2021-06-07
2021-06-14,83.0,83.0,95.0,79.0,83.0,10000,2021-06-14
2021-06-21,90.0,90.0,90.0,79.0,86.0,1400,2021-06-21
2021-06-28,89.0,89.0,90.0,89.0,90.0,1700,2021-06-28
2021-07-05,86.0,86.0,89.0,85.0,89.0,500,2021-07-05
2021-07-12,78.0,78.0,82.0,75.0,82.0,400,2021-07-12
2021-07-19,80.0,80.0,80.0,78.0,78.0,400,2021-07-19
2021-07-26,77.0,77.0,84.0,76.0,80.0,1600,2021-07-26
2021-08-02,75.0,75.0,77.0,75.0,77.0,500,2021-08-02
2021-08-09,72.0,72.0,75.0,72.0,75.0,600,2021-08-09
2021-08-16,72.0,72.0,72.0,72.0,72.0,0,2021-08-16
2021-08-23,70.0,70.0,70.0,70.0,70.0,100,2021-08-23
2021-08-30,70.0,70.0,70.0,70.0,70.0,100,2021-08-30
2021-09-06,65.0,65.0,67.0,65.0,67.0,4200,2021-09-06
2021-09-13,66.0,66.0,68.0,59.0,68.0,9300,2021-09-13
2021-09-20,72.0,72.0,72.0,63.0,69.0,800,2021-09-20
2021-09-27,75.0,75.0,76.0,73.0,75.0,900,2021-09-27
2021-10-04,80.0,80.0,81.0,75.0,75.0,900,2021-10-04
2021-10-11,84.0,84.0,84.0,76.0,80.0,2200,2021-10-11
2021-10-18,99.0,99.0,99.0,80.0,84.0,3900,2021-10-18
2021-10-25,97.0,97.0,103.0,93.0,103.0,3400,2021-10-25
2021-11-01,97.0,97.0,100.0,93.0,93.0,2500,2021-11-01
2021-11-08,96.0,96.0,101.0,95.0,101.0,1300,2021-11-08
2021-11-15,80.0,80.0,92.0,80.0,92.0,1500,2021-11-15
2021-11-22,71.0,71.0,76.0,70.0,76.0,1300,2021-11-22
