Date,Adj Close_UDS.NS,Close_UDS.NS,High_UDS.NS,Low_UDS.NS,Open_UDS.NS,Volume_UDS.NS,Date
2023-10-02,285.75,285.75,298.6499938964844,282.0,285.0,2998172,2023-10-02
2023-10-09,293.29998779296875,293.29998779296875,301.75,276.25,280.0,1652790,2023-10-09
2023-10-16,286.0,286.0,296.3500061035156,281.04998779296875,296.3500061035156,1146510,2023-10-16
2023-10-23,261.8500061035156,261.8500061035156,287.3999938964844,235.3000030517578,286.29998779296875,904911,2023-10-23
2023-10-30,261.95001220703125,261.95001220703125,264.0,246.25,261.0,453560,2023-10-30
2023-11-06,272.3999938964844,272.3999938964844,275.25,258.70001220703125,261.95001220703125,585680,2023-11-06
2023-11-13,282.1499938964844,282.1499938964844,284.04998779296875,272.0,278.6499938964844,785191,2023-11-13
2023-11-20,268.04998779296875,268.04998779296875,284.79998779296875,262.6000061035156,284.79998779296875,1016717,2023-11-20
2023-11-27,266.8500061035156,266.8500061035156,270.25,259.5,268.04998779296875,1029759,2023-11-27
2023-12-04,266.8500061035156,266.8500061035156,274.5,264.04998779296875,269.45001220703125,513934,2023-12-04
2023-12-11,303.8500061035156,303.8500061035156,314.45001220703125,264.0,265.1499938964844,6551506,2023-12-11
2023-12-18,354.6499938964844,354.6499938964844,362.25,301.0,305.0,6221798,2023-12-18
2023-12-25,336.95001220703125,336.95001220703125,373.0,330.1000061035156,354.6499938964844,2330092,2023-12-25
2024-01-01,317.8999938964844,317.8999938964844,341.3999938964844,302.5,338.8500061035156,3077742,2024-01-01
2024-01-08,327.79998779296875,327.79998779296875,337.0,310.0,320.8999938964844,1841313,2024-01-08
2024-01-15,348.8500061035156,348.8500061035156,349.79998779296875,314.8500061035156,327.79998779296875,1215159,2024-01-15
2024-01-22,344.8999938964844,344.8999938964844,354.0,327.0,348.8500061035156,591196,2024-01-22
2024-01-29,347.6000061035156,347.6000061035156,384.1000061035156,340.79998779296875,350.0,2429084,2024-01-29
2024-02-05,358.29998779296875,358.29998779296875,373.6000061035156,342.5,348.04998779296875,3160225,2024-02-05
2024-02-12,335.3999938964844,335.3999938964844,372.3999938964844,323.20001220703125,372.04998779296875,1639427,2024-02-12
2024-02-19,368.29998779296875,368.29998779296875,372.45001220703125,331.1000061035156,338.0,2946341,2024-02-19
2024-02-26,362.5,362.5,384.8999938964844,341.54998779296875,366.04998779296875,2059011,2024-02-26
2024-03-04,346.25,346.25,365.20001220703125,338.8500061035156,360.79998779296875,1412185,2024-03-04
2024-03-11,315.70001220703125,315.70001220703125,354.45001220703125,300.6499938964844,354.1000061035156,1499394,2024-03-11
