Date,Adj Close_MANINFRA.NS,Close_MANINFRA.NS,High_MANINFRA.NS,Low_MANINFRA.NS,Open_MANINFRA.NS,Volume_MANINFRA.NS,Date
2022-10-31,80.23368835449219,82.69999694824219,85.05000305175781,80.4000015258789,80.4000015258789,1029680,2022-10-31
2022-11-07,80.96133422851562,83.44999694824219,85.5,82.0,83.0,956712,2022-11-07
2022-11-14,77.22615814208984,79.5999984741211,85.75,78.9000015258789,84.0999984741211,1127595,2022-11-14
2022-11-21,74.80070495605469,77.0999984741211,81.0,75.44999694824219,79.0,2753034,2022-11-21
2022-11-28,77.5205307006836,79.0,81.25,75.55000305175781,77.6500015258789,3314158,2022-11-28
2022-12-05,80.46434020996094,82.0,84.5,78.19999694824219,79.25,5750917,2022-12-05
2022-12-12,78.20741271972656,79.69999694824219,83.4000015258789,79.1500015258789,82.0,2478335,2022-12-12
2022-12-19,69.4740982055664,70.80000305175781,81.44999694824219,70.5,80.0999984741211,2985268,2022-12-19
2022-12-26,72.8104248046875,74.19999694824219,75.5999984741211,70.80000305175781,72.0999984741211,1336969,2022-12-26
2023-01-02,71.5347671508789,72.9000015258789,77.69999694824219,72.0,74.0,987615,2023-01-02
2023-01-09,73.88982391357422,75.30000305175781,76.1500015258789,72.19999694824219,73.3499984741211,1381647,2023-01-09
2023-01-16,75.06734466552734,76.5,80.0,73.4000015258789,75.4000015258789,3430145,2023-01-16
2023-01-23,71.68196868896484,73.05000305175781,79.0,72.1500015258789,76.69999694824219,1952292,2023-01-23
2023-01-30,77.4714584350586,78.94999694824219,81.9000015258789,72.25,73.44999694824219,4234526,2023-01-30
2023-02-06,79.97371673583984,81.5,84.4000015258789,78.94999694824219,79.30000305175781,4789085,2023-02-06
2023-02-13,83.8988037109375,85.5,86.4000015258789,79.44999694824219,81.5,3998349,2023-02-13
2023-02-20,78.40367889404297,79.9000015258789,87.6500015258789,79.25,86.9000015258789,3069414,2023-02-20
2023-02-27,76.68644714355469,78.1500015258789,79.9000015258789,77.30000305175781,79.05000305175781,1320129,2023-02-27
2023-03-06,76.58831787109375,78.05000305175781,80.6500015258789,77.25,78.69999694824219,1239105,2023-03-06
2023-03-13,72.9576187133789,74.3499984741211,78.9000015258789,71.9000015258789,78.19999694824219,1575323,2023-03-13
2023-03-20,68.49282836914062,69.80000305175781,76.0999984741211,69.25,74.0,1257978,2023-03-20
2023-03-27,66.92279052734375,68.19999694824219,70.9000015258789,66.19999694824219,69.5,3005508,2023-03-27
2023-04-03,72.71228790283203,74.0999984741211,75.0999984741211,68.5999984741211,68.5999984741211,989951,2023-04-03
2023-04-10,77.32427978515625,78.80000305175781,80.3499984741211,74.1500015258789,75.5999984741211,1456573,2023-04-10
2023-04-17,81.1021728515625,82.6500015258789,83.69999694824219,78.0,78.80000305175781,2744195,2023-04-17
2023-04-24,80.2680892944336,81.80000305175781,84.5,81.3499984741211,83.0,3328728,2023-04-24
2023-05-01,81.29843139648438,82.8499984741211,83.5,79.69999694824219,81.80000305175781,3658199,2023-05-01
