Date,Adj Close_GILLETTE.NS,Close_GILLETTE.NS,High_GILLETTE.NS,Low_GILLETTE.NS,Open_GILLETTE.NS,Volume_GILLETTE.NS,Date
2020-07-13,4768.02099609375,5074.9501953125,5148.0,4969.7998046875,4990.0498046875,72600,2020-07-13
2020-07-20,4760.88037109375,5067.35009765625,5150.0,4950.0,5085.0498046875,102684,2020-07-20
2020-07-27,4714.091796875,5017.5498046875,5101.0,4995.9501953125,5073.0,136404,2020-07-27
2020-08-03,4662.23046875,4962.35009765625,5038.85009765625,4950.0,5017.0,51848,2020-08-03
2020-08-10,4745.18994140625,5050.64990234375,5213.14990234375,4941.0,5000.0,104200,2020-08-10
2020-08-17,5027.09375,5350.7001953125,5399.0,5051.10009765625,5097.0,240843,2020-08-17
2020-08-24,5289.21923828125,5629.7001953125,5750.0,5280.0,5400.0,168820,2020-08-24
2020-08-31,5177.1826171875,5510.4501953125,5740.0,5103.2998046875,5740.0,69736,2020-08-31
2020-09-07,5239.1435546875,5576.39990234375,5594.9501953125,5332.2998046875,5594.9501953125,37889,2020-09-07
2020-09-14,5221.52734375,5557.64990234375,5734.0,5491.5498046875,5620.0,42031,2020-09-14
2020-09-21,5067.4453125,5393.64990234375,5607.0,5265.0,5558.35009765625,31648,2020-09-21
2020-09-28,5055.748046875,5381.2001953125,5490.0,5320.0498046875,5450.0,15815,2020-09-28
2020-10-05,4975.93701171875,5296.25,5461.0,5250.0,5400.0,13792,2020-10-05
2020-10-12,4969.359375,5289.25,5375.0,5219.0,5368.0,17715,2020-10-12
2020-10-19,4952.77734375,5271.60009765625,5363.0,5248.0,5260.0,10752,2020-10-19
2020-10-26,4966.72900390625,5286.4501953125,5345.0,5218.0,5344.0,16383,2020-10-26
2020-11-02,5061.15087890625,5386.9501953125,5394.35009765625,5240.39990234375,5251.10009765625,17468,2020-11-02
2020-11-09,5295.79638671875,5636.7001953125,5754.10009765625,5356.0,5400.0,72986,2020-11-09
2020-11-16,5421.12841796875,5770.10009765625,5999.0,5599.10009765625,5599.10009765625,59591,2020-11-16
2020-11-23,5509.13671875,5812.7998046875,5899.7001953125,5652.0,5850.0,65284,2020-11-23
2020-11-30,5463.3603515625,5764.5,5900.0,5658.10009765625,5812.7998046875,40118,2020-11-30
2020-12-07,5600.92724609375,5909.64990234375,6180.0,5690.0,5819.9501953125,104907,2020-12-07
2020-12-14,5494.494140625,5797.35009765625,6200.0,5555.10009765625,5969.0,61673,2020-12-14
2020-12-21,5519.65673828125,5823.89990234375,5950.0,5580.0,5825.0,32312,2020-12-21
2020-12-28,5456.0146484375,5756.75,5900.0,5631.2998046875,5766.0,30632,2020-12-28
2021-01-04,5568.3720703125,5875.2998046875,5967.0,5682.5498046875,5806.75,60152,2021-01-04
2021-01-11,5444.50048828125,5744.60009765625,5899.2998046875,5725.0,5899.2998046875,61026,2021-01-11
2021-01-18,5386.35498046875,5683.25,5917.4501953125,5651.35009765625,5824.0,44012,2021-01-18
2021-01-25,5327.35693359375,5621.0,5739.9501953125,5540.0,5739.9501953125,21875,2021-01-25
2021-02-01,5363.51318359375,5659.14990234375,6000.0,5556.0,5585.0,89488,2021-02-01
2021-02-08,5375.265625,5671.5498046875,5744.0,5610.10009765625,5728.0,29507,2021-02-08
2021-02-15,5321.59423828125,5582.39990234375,5700.0,5572.0,5700.0,23316,2021-02-15
2021-02-22,5272.69091796875,5531.10009765625,5800.0,5495.0,5570.0,28164,2021-02-22
2021-03-01,5348.2392578125,5610.35009765625,5649.0,5509.39990234375,5531.0498046875,19976,2021-03-01
2021-03-08,5404.1005859375,5668.9501953125,5699.0,5565.25,5624.14990234375,15644,2021-03-08
2021-03-15,5207.34423828125,5462.5498046875,5700.0,5405.0,5700.0,55557,2021-03-15
2021-03-22,5374.978515625,5638.39990234375,5665.0,5430.0,5489.7001953125,48128,2021-03-22
2021-03-29,5423.9296875,5689.75,5939.9501953125,5490.10009765625,5638.39990234375,55597,2021-03-29
2021-04-05,5239.66064453125,5496.4501953125,5680.0,5475.0,5680.0,29097,2021-04-05
2021-04-12,5248.09619140625,5505.2998046875,5549.0,5405.0498046875,5499.0,13871,2021-04-12
2021-04-19,5165.82861328125,5419.0,5528.9501953125,5400.0,5505.2998046875,12561,2021-04-19
2021-04-26,5236.18017578125,5492.7998046875,5519.89990234375,5407.10009765625,5495.0,16540,2021-04-26
2021-05-03,5335.130859375,5596.60009765625,5670.0,5435.89990234375,5467.2001953125,75847,2021-05-03
2021-05-10,5244.80810546875,5501.85009765625,5635.0,5485.0,5635.0,26484,2021-05-10
2021-05-17,5224.0732421875,5480.10009765625,5577.9501953125,5470.0,5553.5,44042,2021-05-17
2021-05-24,5345.76025390625,5607.75,5711.7001953125,5460.0,5493.9501953125,62326,2021-05-24
2021-05-31,5394.09130859375,5658.4501953125,5685.0,5544.25,5638.2001953125,40860,2021-05-31
2021-06-07,5573.83251953125,5847.0,5945.0,5661.0498046875,5690.0,60796,2021-06-07
2021-06-14,5337.5615234375,5599.14990234375,5895.25,5570.0,5848.0,27510,2021-06-14
2021-06-21,5442.8037109375,5709.5498046875,5750.0,5500.0,5561.0,18444,2021-06-21
2021-06-28,5393.56689453125,5657.89990234375,5850.0,5620.0,5709.0,41125,2021-06-28
2021-07-05,5355.197265625,5617.64990234375,5697.7001953125,5550.0,5697.7001953125,15549,2021-07-05
2021-07-12,5739.17919921875,6020.4501953125,6180.0,5603.2998046875,5647.0,115892,2021-07-12
2021-07-19,5796.9482421875,6081.0498046875,6249.0,5953.0,5953.0,66945,2021-07-19
2021-07-26,5714.25048828125,5994.2998046875,6189.9501953125,5880.0498046875,6081.0498046875,29871,2021-07-26
2021-08-02,5608.53173828125,5883.39990234375,6081.0,5830.10009765625,5993.0,24642,2021-08-02
2021-08-09,5650.4765625,5927.39990234375,5992.14990234375,5831.60009765625,5831.60009765625,62788,2021-08-09
2021-08-16,5713.0595703125,5993.0498046875,6075.0,5900.0,5940.0,28716,2021-08-16
2021-08-23,5553.0986328125,5825.25,6060.0,5700.0,6022.0,60795,2021-08-23
2021-08-30,5551.28759765625,5823.35009765625,5898.0,5753.5,5791.10009765625,28053,2021-08-30
2021-09-06,5813.9169921875,6098.85009765625,6275.0,5811.60009765625,5838.5,102055,2021-09-06
2021-09-13,5667.72998046875,5945.5,6250.0,5906.0498046875,6100.0,71884,2021-09-13
2021-09-20,5683.84130859375,5962.39990234375,6040.60009765625,5850.0,6038.0,56069,2021-09-20
2021-09-27,5594.9482421875,5869.14990234375,6048.0,5861.0,6020.0,39783,2021-09-27
2021-10-04,5561.3447265625,5833.89990234375,5929.0,5802.14990234375,5929.0,26294,2021-10-04
2021-10-11,5560.34423828125,5832.85009765625,5910.39990234375,5805.0,5855.0,19414,2021-10-11
2021-10-18,5425.45458984375,5691.35009765625,5878.0,5652.0,5855.0,28619,2021-10-18
2021-10-25,5377.7900390625,5641.35009765625,5774.0,5608.0,5691.0,19391,2021-10-25
2021-11-01,5495.3779296875,5764.7001953125,5860.0,5585.0,5641.35009765625,29347,2021-11-01
2021-11-08,5436.03662109375,5702.4501953125,5800.0,5632.0498046875,5800.0,16644,2021-11-08
2021-11-15,5298.04833984375,5557.7001953125,5749.0,5520.0,5556.10009765625,14422,2021-11-15
2021-11-22,5258.4140625,5481.2998046875,5648.5,5450.0,5648.5,16634,2021-11-22
2021-11-29,5170.970703125,5390.14990234375,5552.0498046875,5351.2001953125,5490.0,22233,2021-11-29
2021-12-06,5290.552734375,5514.7998046875,5579.0,5411.64990234375,5448.0,17710,2021-12-06
2021-12-13,5133.7001953125,5351.2998046875,5579.0,5326.0,5578.0,19907,2021-12-13
2021-12-20,5162.625,5381.4501953125,5446.2998046875,5251.0,5352.0,18647,2021-12-20
2021-12-27,5047.3125,5261.25,5400.4501953125,5202.0,5400.4501953125,30514,2021-12-27
2022-01-03,5085.58984375,5301.14990234375,5447.7998046875,5250.0,5324.0,19964,2022-01-03
2022-01-10,4995.84375,5207.60009765625,5339.85009765625,5182.2001953125,5325.0,35247,2022-01-10
2022-01-17,4989.94482421875,5201.4501953125,5298.7998046875,5170.0,5297.9501953125,24151,2022-01-17
2022-01-24,5046.4970703125,5260.39990234375,5295.0,5125.0498046875,5216.0498046875,25489,2022-01-24
