Date,Adj Close_SWANENERGY.NS,Close_SWANENERGY.NS,High_SWANENERGY.NS,Low_SWANENERGY.NS,Open_SWANENERGY.NS,Volume_SWANENERGY.NS,Date
2020-07-13,141.2901153564453,141.64999389648438,146.8000030517578,140.0,145.25,604129,2020-07-13
2020-07-20,133.70945739746094,134.0500030517578,144.5,133.25,141.64999389648438,559657,2020-07-20
2020-07-27,132.5124969482422,132.85000610351562,147.14999389648438,125.0,134.0500030517578,884322,2020-07-27
2020-08-03,146.27743530273438,146.64999389648438,158.25,130.0,132.85000610351562,1641464,2020-08-03
2020-08-10,133.11094665527344,133.4499969482422,160.0,132.10000610351562,160.0,869995,2020-08-10
2020-08-17,132.56236267089844,132.89999389648438,142.6999969482422,127.5,134.5,752138,2020-08-17
2020-08-24,130.06869506835938,130.39999389648438,138.0,127.9000015258789,135.0,865723,2020-08-24
2020-08-31,129.6697235107422,130.0,134.60000610351562,126.0,131.6999969482422,650396,2020-08-31
2020-09-07,117.99945831298828,118.30000305175781,130.1999969482422,116.1500015258789,129.5,756419,2020-09-07
2020-09-14,115.30630493164062,115.5999984741211,123.0,114.6500015258789,118.55000305175781,659484,2020-09-14
2020-09-21,114.80633544921875,115.0,117.80000305175781,108.0,115.19999694824219,696844,2020-09-21
2020-09-28,125.7378921508789,125.94999694824219,129.9499969482422,115.5,116.0,580038,2020-09-28
2020-10-05,132.32679748535156,132.5500030517578,134.8000030517578,123.80000305175781,126.30000305175781,651355,2020-10-05
2020-10-12,137.3682861328125,137.60000610351562,139.89999389648438,129.5500030517578,133.64999389648438,761645,2020-10-12
2020-10-19,139.5146484375,139.75,146.0500030517578,134.1999969482422,138.0,650805,2020-10-19
2020-10-26,144.0570068359375,144.3000030517578,146.5,135.39999389648438,140.6999969482422,678811,2020-10-26
2020-11-02,136.66946411132812,136.89999389648438,148.75,133.60000610351562,144.89999389648438,834854,2020-11-02
2020-11-09,135.27182006835938,135.5,141.89999389648438,130.0,140.8000030517578,720024,2020-11-09
2020-11-16,134.07383728027344,134.3000030517578,140.89999389648438,132.4499969482422,132.4499969482422,555459,2020-11-16
2020-11-23,139.0155029296875,139.25,157.0,131.85000610351562,135.0,1031446,2020-11-23
2020-11-30,135.7210693359375,135.9499969482422,143.0,135.10000610351562,139.25,663579,2020-11-30
2020-12-07,130.8292999267578,131.0500030517578,140.39999389648438,130.0,138.6999969482422,816228,2020-12-07
2020-12-14,129.98074340820312,130.1999969482422,137.5,128.4499969482422,131.6999969482422,746238,2020-12-14
2020-12-21,129.7810821533203,130.0,132.1999969482422,118.44999694824219,130.75,573252,2020-12-21
2020-12-28,135.37164306640625,135.60000610351562,140.0,131.0,131.0,852471,2020-12-28
2021-01-04,131.07888793945312,131.3000030517578,136.6999969482422,128.10000610351562,136.0500030517578,765801,2021-01-04
2021-01-11,126.6863021850586,126.9000015258789,135.0,125.94999694824219,135.0,571256,2021-01-11
2021-01-18,124.88932800292969,125.0999984741211,134.4499969482422,122.19999694824219,126.5,706178,2021-01-18
2021-01-25,128.3834228515625,128.60000610351562,140.0,124.55000305175781,124.55000305175781,2151348,2021-01-25
2021-02-01,133.52476501464844,133.75,138.60000610351562,127.25,128.60000610351562,703206,2021-02-01
2021-02-08,147.95042419433594,148.1999969482422,149.9499969482422,132.75,137.0,1163201,2021-02-08
2021-02-15,144.10691833496094,144.35000610351562,150.0,141.1999969482422,148.9499969482422,967417,2021-02-15
2021-02-22,143.10858154296875,143.35000610351562,150.4499969482422,126.55000305175781,146.5,829195,2021-02-22
2021-03-01,142.50961303710938,142.75,148.89999389648438,141.10000610351562,147.8000030517578,758308,2021-03-01
2021-03-08,143.10858154296875,143.35000610351562,152.39999389648438,138.6999969482422,143.0,936918,2021-03-08
2021-03-15,137.1186981201172,137.35000610351562,146.8000030517578,133.5500030517578,143.25,1048018,2021-03-15
2021-03-22,133.07553100585938,133.3000030517578,142.5,130.35000610351562,136.9499969482422,1147778,2021-03-22
2021-03-29,136.81919860839844,137.0500030517578,141.14999389648438,130.64999389648438,133.3000030517578,660184,2021-03-29
2021-04-05,134.52308654785156,134.75,138.5,133.0500030517578,136.75,775676,2021-04-05
2021-04-12,132.97569274902344,133.1999969482422,137.5,127.8499984741211,134.0500030517578,637191,2021-04-12
2021-04-19,135.37164306640625,135.60000610351562,141.0,126.1500015258789,132.5,700227,2021-04-19
2021-04-26,131.82763671875,132.0500030517578,140.0,130.1999969482422,135.89999389648438,814351,2021-04-26
2021-05-03,129.53152465820312,129.75,133.4499969482422,128.5,130.25,639547,2021-05-03
2021-05-10,130.23033142089844,130.4499969482422,134.8000030517578,129.64999389648438,130.39999389648438,580486,2021-05-10
2021-05-17,133.67449951171875,133.89999389648438,139.0,130.60000610351562,130.60000610351562,818355,2021-05-17
2021-05-24,135.97064208984375,136.1999969482422,141.4499969482422,133.25,136.60000610351562,871858,2021-05-24
2021-05-31,136.22021484375,136.4499969482422,138.39999389648438,134.4499969482422,138.39999389648438,679896,2021-05-31
2021-06-07,137.41819763183594,137.64999389648438,148.0,134.25,139.5,1066677,2021-06-07
2021-06-14,140.3632354736328,140.60000610351562,142.10000610351562,135.0,137.85000610351562,913438,2021-06-14
2021-06-21,144.60609436035156,144.85000610351562,146.9499969482422,138.0,140.60000610351562,846418,2021-06-21
2021-06-28,142.50961303710938,142.75,151.4499969482422,137.60000610351562,146.0,961789,2021-06-28
2021-07-05,138.51634216308594,138.75,144.0,137.25,143.4499969482422,695196,2021-07-05
2021-07-12,141.66102600097656,141.89999389648438,148.25,138.5500030517578,139.4499969482422,1008415,2021-07-12
2021-07-19,142.01046752929688,142.25,149.5,138.1999969482422,140.89999389648438,799308,2021-07-19
2021-07-26,146.5528106689453,146.8000030517578,175.85000610351562,139.9499969482422,143.0,14136217,2021-07-26
2021-08-02,135.57130432128906,135.8000030517578,152.75,128.25,149.4499969482422,3233889,2021-08-02
2021-08-09,131.77772521972656,132.0,137.5500030517578,119.1500015258789,137.0,1271184,2021-08-09
