Date,Adj Close_GSPL.NS,Close_GSPL.NS,High_GSPL.NS,Low_GSPL.NS,Open_GSPL.NS,Volume_GSPL.NS,Date
2020-07-13,197.00033569335938,207.8000030517578,212.39999389648438,205.0,209.39999389648438,1951153,2020-07-13
2020-07-20,199.93922424316406,210.89999389648438,219.25,207.10000610351562,209.8000030517578,6087296,2020-07-20
2020-07-27,194.1088409423828,204.75,213.3000030517578,199.25,213.3000030517578,3085199,2020-07-27
2020-08-03,196.76332092285156,207.5500030517578,211.35000610351562,195.5,205.0,5197459,2020-08-03
2020-08-10,200.03402709960938,211.0,219.5,204.0,204.0,9587701,2020-08-10
2020-08-17,198.4697723388672,209.35000610351562,213.9499969482422,203.3000030517578,213.9499969482422,5511946,2020-08-17
2020-08-24,201.69308471679688,212.75,224.35000610351562,209.14999389648438,211.5,6478726,2020-08-24
2020-08-31,188.42068481445312,198.75,215.39999389648438,196.4499969482422,213.0,3961406,2020-08-31
2020-09-07,187.6622314453125,197.9499969482422,203.39999389648438,192.5500030517578,199.0,3314167,2020-09-07
2020-09-14,201.2096405029297,210.10000610351562,224.8000030517578,202.3000030517578,202.6999969482422,9124187,2020-09-14
2020-09-21,186.70069885253906,194.9499969482422,213.60000610351562,193.10000610351562,212.89999389648438,2934139,2020-09-21
2020-09-28,195.0804443359375,203.6999969482422,210.0,196.0,196.5,1628050,2020-09-28
2020-10-05,184.54591369628906,192.6999969482422,207.0,190.10000610351562,202.5500030517578,2212921,2020-10-05
2020-10-12,179.4223175048828,187.35000610351562,194.60000610351562,177.39999389648438,194.1999969482422,3088757,2020-10-12
2020-10-19,189.66954040527344,198.0500030517578,200.64999389648438,183.25,187.35000610351562,2941932,2020-10-19
2020-10-26,185.02474975585938,193.1999969482422,204.8000030517578,190.0,198.0500030517578,2230571,2020-10-26
2020-11-02,181.05038452148438,189.0500030517578,195.85000610351562,184.0500030517578,193.89999389648438,2368309,2020-11-02
2020-11-09,182.2474822998047,190.3000030517578,194.89999389648438,184.6999969482422,190.0,4280651,2020-11-09
2020-11-16,190.10049438476562,198.5,199.9499969482422,189.3000030517578,189.3000030517578,2716590,2020-11-16
2020-11-23,210.259765625,219.5500030517578,228.39999389648438,199.9499969482422,200.0,9967332,2020-11-23
2020-11-30,211.8878173828125,221.25,232.5,218.85000610351562,219.5500030517578,4285419,2020-11-30
2020-12-07,222.56600952148438,232.39999389648438,236.4499969482422,219.75,221.5,4707713,2020-12-07
2020-12-14,208.15286254882812,217.35000610351562,238.6999969482422,215.14999389648438,234.0,4677185,2020-12-14
2020-12-21,203.84327697753906,212.85000610351562,220.60000610351562,196.85000610351562,218.89999389648438,3168568,2020-12-21
2020-12-28,209.2541961669922,218.5,227.0,215.0,215.4499969482422,3668793,2020-12-28
2021-01-04,201.2096405029297,210.10000610351562,222.8000030517578,208.10000610351562,220.5,6883803,2021-01-04
2021-01-11,202.07154846191406,211.0,217.5,210.0,211.9499969482422,6392233,2021-01-11
2021-01-18,194.02700805664062,202.60000610351562,212.5500030517578,201.5500030517578,212.0,4402805,2021-01-18
2021-01-25,189.6216583251953,198.0,204.25,190.89999389648438,203.75,4110314,2021-01-25
2021-02-01,197.90562438964844,206.64999389648438,208.0,196.5,202.0,3476789,2021-02-01
2021-02-08,222.56600952148438,232.39999389648438,235.60000610351562,207.14999389648438,207.14999389648438,9867467,2021-02-08
2021-02-15,238.17626953125,248.6999969482422,276.70001220703125,228.39999389648438,232.89999389648438,10161000,2021-02-15
2021-02-22,239.229736328125,249.8000030517578,256.75,233.4499969482422,246.35000610351562,6345836,2021-02-22
2021-03-01,274.9034729003906,287.04998779296875,311.45001220703125,246.5500030517578,251.0,15526315,2021-03-01
2021-03-08,266.1885986328125,277.95001220703125,295.75,269.79998779296875,288.6000061035156,4053044,2021-03-08
2021-03-15,249.09390258789062,260.1000061035156,281.75,249.0500030517578,280.8999938964844,5428195,2021-03-15
2021-03-22,254.55270385742188,265.79998779296875,277.8999938964844,256.25,261.3500061035156,6586602,2021-03-22
2021-03-29,264.6083679199219,276.29998779296875,280.3999938964844,260.3999938964844,265.79998779296875,2734355,2021-03-29
2021-04-05,261.0170593261719,272.54998779296875,278.3500061035156,263.04998779296875,274.75,3463039,2021-04-05
2021-04-12,246.3166046142578,257.20001220703125,270.0,248.5500030517578,270.0,3493917,2021-04-12
2021-04-19,239.6606903076172,250.25,258.5,220.25,250.0,4608466,2021-04-19
2021-04-26,258.23974609375,269.6499938964844,274.45001220703125,251.39999389648438,252.5,2672477,2021-04-26
2021-05-03,257.5694274902344,268.95001220703125,278.5,262.0,270.1000061035156,2163534,2021-05-03
2021-05-10,256.372314453125,267.70001220703125,283.0,263.1000061035156,270.95001220703125,3576399,2021-05-10
2021-05-17,260.2987976074219,271.79998779296875,279.25,267.70001220703125,271.45001220703125,1566483,2021-05-17
2021-05-24,266.76318359375,278.54998779296875,287.8999938964844,267.45001220703125,273.5,4208613,2021-05-24
2021-05-31,295.0627746582031,308.1000061035156,310.0,263.6499938964844,281.6000061035156,19246063,2021-05-31
2021-06-07,292.4770202636719,305.3999938964844,313.95001220703125,299.5,312.0,6214054,2021-06-07
2021-06-14,311.487060546875,325.25,329.3999938964844,293.20001220703125,307.0,14375591,2021-06-14
2021-06-21,318.4781799316406,332.54998779296875,342.1000061035156,317.25,318.8999938964844,7055736,2021-06-21
2021-06-28,317.13739013671875,331.1499938964844,339.1499938964844,329.0,329.0,3367960,2021-06-28
2021-07-05,303.15521240234375,316.54998779296875,334.5,305.25,334.0,4151585,2021-07-05
2021-07-12,323.02716064453125,337.29998779296875,340.0,317.0,318.0,3842807,2021-07-12
2021-07-19,324.03277587890625,338.3500061035156,343.75,322.6499938964844,336.0,3303618,2021-07-19
2021-07-26,331.454833984375,346.1000061035156,359.54998779296875,330.25,346.8999938964844,3988009,2021-07-26
2021-08-02,321.7821960449219,336.0,352.75,326.6499938964844,348.75,3511910,2021-08-02
2021-08-09,335.14190673828125,349.95001220703125,356.0,321.0,336.0,9646321,2021-08-09
2021-08-16,358.41363525390625,374.25,379.20001220703125,352.0,353.29998779296875,8128026,2021-08-16
2021-08-23,332.3645935058594,347.04998779296875,378.0,342.0,376.20001220703125,3973203,2021-08-23
2021-08-30,335.5728454589844,350.3999938964844,357.0,343.6000061035156,352.0,4395881,2021-08-30
2021-09-06,334.61517333984375,349.3999938964844,354.79998779296875,343.0,353.3999938964844,1827458,2021-09-06
2021-09-13,309.432373046875,321.25,357.6000061035156,317.6000061035156,350.8999938964844,5356562,2021-09-13
2021-09-20,308.13201904296875,319.8999938964844,329.8999938964844,304.6000061035156,321.0,5868170,2021-09-20
2021-09-27,302.4972229003906,314.04998779296875,325.6499938964844,302.3999938964844,321.8999938964844,5430674,2021-09-27
2021-10-04,309.1915588378906,321.0,328.79998779296875,308.45001220703125,315.8500061035156,4957787,2021-10-04
2021-10-11,306.542724609375,318.25,326.0,312.0,322.6499938964844,2745704,2021-10-11
2021-10-18,304.3273620605469,315.95001220703125,336.5,311.0,321.25,5282771,2021-10-18
2021-10-25,293.92462158203125,305.1499938964844,317.6499938964844,300.0,317.6499938964844,3394905,2021-10-25
2021-11-01,304.8089599609375,316.45001220703125,329.45001220703125,304.75,304.75,3054126,2021-11-01
2021-11-08,303.4604797363281,315.04998779296875,326.70001220703125,310.1499938964844,317.0,5258187,2021-11-08
2021-11-15,297.8256530761719,309.20001220703125,324.75,291.70001220703125,314.04998779296875,4894304,2021-11-15
2021-11-22,291.1794738769531,302.29998779296875,322.3999938964844,292.1000061035156,308.1000061035156,4698858,2021-11-22
2021-11-29,298.4517822265625,309.8500061035156,320.79998779296875,292.45001220703125,301.0,6932517,2021-11-29
2021-12-06,302.3527526855469,313.8999938964844,315.6499938964844,299.1000061035156,312.0,2611414,2021-12-06
2021-12-13,285.8818054199219,296.79998779296875,326.0,292.25,317.0,6249857,2021-12-13
2021-12-20,281.9326477050781,292.70001220703125,302.5,282.3999938964844,294.1000061035156,4968666,2021-12-20
2021-12-27,284.29248046875,295.1499938964844,296.8999938964844,286.6499938964844,290.04998779296875,2000640,2021-12-27
2022-01-03,303.02703857421875,314.6000061035156,316.0,294.20001220703125,295.1499938964844,3761488,2022-01-03
2022-01-10,301.7266845703125,313.25,332.3999938964844,305.04998779296875,314.6000061035156,6272611,2022-01-10
2022-01-17,301.4377136230469,312.95001220703125,324.8999938964844,305.04998779296875,312.95001220703125,3322232,2022-01-17
2022-01-24,286.8931884765625,297.8500061035156,313.0,285.95001220703125,313.0,3325789,2022-01-24
2022-01-31,306.9761962890625,318.70001220703125,328.0,297.8500061035156,301.0,5829374,2022-01-31
2022-02-07,286.65240478515625,297.6000061035156,325.3999938964844,292.8500061035156,317.8500061035156,4466026,2022-02-07
2022-02-14,277.26104736328125,287.8500061035156,299.25,278.25,294.0,2976821,2022-02-14
2022-02-21,268.9292297363281,279.20001220703125,296.75,265.3500061035156,285.0,7280922,2022-02-21
2022-02-28,270.2777404785156,280.6000061035156,294.0,267.8500061035156,277.5,4381671,2022-02-28
2022-03-07,257.707763671875,267.54998779296875,277.0,260.70001220703125,272.5,6995550,2022-03-07
2022-03-14,251.06161499023438,260.6499938964844,270.3500061035156,253.35000610351562,268.04998779296875,5123789,2022-03-14
