Date,Adj Close_PUNJABCHEM.NS,Close_PUNJABCHEM.NS,High_PUNJABCHEM.NS,Low_PUNJABCHEM.NS,Open_PUNJABCHEM.NS,Volume_PUNJABCHEM.NS,Date
2020-07-13,447.92047119140625,453.25,475.1499938964844,445.0,474.70001220703125,7973,2020-07-13
2020-07-20,453.5040283203125,458.8999938964844,473.70001220703125,437.20001220703125,464.95001220703125,13656,2020-07-20
2020-07-27,441.29925537109375,446.54998779296875,476.8999938964844,442.0,476.8999938964844,6592,2020-07-27
2020-08-03,430.28033447265625,435.3999938964844,454.04998779296875,420.0,442.0,20580,2020-08-03
2020-08-10,494.2689514160156,500.1499938964844,535.0,426.0,447.79998779296875,253209,2020-08-10
2020-08-17,514.6268310546875,520.75,541.0,480.1499938964844,505.0,87860,2020-08-17
2020-08-24,581.2343139648438,588.1500244140625,648.0,515.0,524.5,211064,2020-08-24
2020-08-31,587.6578369140625,594.6500244140625,635.0,512.7999877929688,595.0,71215,2020-08-31
2020-09-07,610.5849609375,617.8499755859375,625.0,573.5,594.5,29269,2020-09-07
2020-09-14,617.4038696289062,624.75,660.0,601.5499877929688,621.0499877929688,51382,2020-09-14
2020-09-21,618.0927734375,623.9500122070312,640.0,605.0499877929688,620.0499877929688,21556,2020-09-21
2020-09-28,656.2808227539062,662.5,668.5,615.0,630.2000122070312,47320,2020-09-28
2020-10-05,611.059326171875,616.8499755859375,669.0,610.0499877929688,667.9500122070312,18503,2020-10-05
2020-10-12,624.5811767578125,630.5,659.0,611.0499877929688,618.0499877929688,14892,2020-10-12
2020-10-19,616.2599487304688,622.0999755859375,644.75,615.0,641.0499877929688,8290,2020-10-19
2020-10-26,599.4196166992188,605.0999755859375,634.0,602.4500122070312,629.0499877929688,7878,2020-10-26
2020-11-02,610.4649658203125,616.25,630.0,587.5499877929688,603.9500122070312,14533,2020-11-02
2020-11-09,638.548828125,644.5999755859375,659.0,601.0,623.9500122070312,16597,2020-11-09
2020-11-16,625.175537109375,631.0999755859375,680.0,628.0499877929688,659.9500122070312,21672,2020-11-16
2020-11-23,653.853759765625,660.0499877929688,669.9000244140625,626.0,643.6500244140625,40890,2020-11-23
2020-11-30,681.4423828125,687.9000244140625,705.0,669.9500122070312,670.0,96246,2020-11-30
2020-12-07,721.5126342773438,728.3499755859375,745.0,675.0,675.0,121905,2020-12-07
2020-12-14,780.9494018554688,788.3499755859375,807.6500244140625,721.0999755859375,743.2000122070312,109828,2020-12-14
2020-12-21,742.8602905273438,749.9000244140625,794.9000244140625,715.0,782.5499877929688,33057,2020-12-21
2020-12-28,803.2382202148438,810.8499755859375,838.5,760.25,764.2000122070312,67149,2020-12-28
2021-01-04,792.8367309570312,800.3499755859375,840.0,785.4500122070312,824.0,32283,2021-01-04
2021-01-11,784.8128051757812,792.25,825.0,741.25,810.0,36624,2021-01-11
2021-01-18,750.6862182617188,757.7999877929688,808.5,754.5499877929688,794.9500122070312,18410,2021-01-18
2021-01-25,842.268310546875,850.25,864.7999877929688,745.0,751.2000122070312,101658,2021-01-25
2021-02-01,854.1556396484375,862.25,908.9500122070312,815.0999755859375,863.7000122070312,108094,2021-02-01
2021-02-08,853.8089599609375,861.9000244140625,884.0499877929688,844.0,874.9500122070312,34781,2021-02-08
2021-02-15,844.0018920898438,852.0,891.0,830.5499877929688,889.0,67114,2021-02-15
