Date,Adj Close_GENESYS.NS,Close_GENESYS.NS,High_GENESYS.NS,Low_GENESYS.NS,Open_GENESYS.NS,Volume_GENESYS.NS,Date
2020-07-13,33.900001525878906,33.900001525878906,33.900001525878906,29.200000762939453,30.850000381469727,61403,2020-07-13
2020-07-20,30.549999237060547,30.549999237060547,35.5,30.0,35.5,75159,2020-07-20
2020-07-27,28.75,28.75,30.75,28.25,30.5,53812,2020-07-27
2020-08-03,36.0,36.0,36.0,27.5,28.75,160493,2020-08-03
2020-08-10,39.849998474121094,39.849998474121094,41.599998474121094,34.54999923706055,35.95000076293945,325687,2020-08-10
2020-08-17,50.0,50.0,50.0,39.45000076293945,39.5,140956,2020-08-17
2020-08-24,54.349998474121094,54.349998474121094,60.70000076293945,49.099998474121094,52.5,232552,2020-08-24
2020-08-31,52.599998474121094,52.599998474121094,58.5,49.099998474121094,56.400001525878906,247998,2020-08-31
2020-09-07,56.150001525878906,56.150001525878906,58.599998474121094,48.849998474121094,54.70000076293945,111795,2020-09-07
2020-09-14,60.849998474121094,60.849998474121094,60.900001525878906,52.0,54.20000076293945,229236,2020-09-14
2020-09-21,61.099998474121094,61.099998474121094,63.0,56.95000076293945,60.04999923706055,106897,2020-09-21
2020-09-28,60.04999923706055,60.04999923706055,64.0,56.79999923706055,62.0,34081,2020-09-28
2020-10-05,52.20000076293945,52.20000076293945,60.45000076293945,51.150001525878906,58.900001525878906,43179,2020-10-05
2020-10-12,47.349998474121094,47.349998474121094,50.5,42.599998474121094,49.70000076293945,48559,2020-10-12
2020-10-19,50.400001525878906,50.400001525878906,50.70000076293945,46.0,47.349998474121094,52865,2020-10-19
2020-10-26,45.5,45.5,50.400001525878906,45.45000076293945,50.400001525878906,22608,2020-10-26
2020-11-02,50.0,50.0,51.849998474121094,44.0,44.0,34361,2020-11-02
2020-11-09,49.0,49.0,51.45000076293945,46.54999923706055,50.0,31290,2020-11-09
2020-11-16,44.150001525878906,44.150001525878906,51.0,43.79999923706055,47.5,34196,2020-11-16
2020-11-23,52.75,52.75,52.75,42.04999923706055,46.0,138438,2020-11-23
2020-11-30,57.54999923706055,57.54999923706055,62.849998474121094,50.20000076293945,52.75,349249,2020-11-30
2020-12-07,55.79999923706055,55.79999923706055,59.5,54.29999923706055,57.099998474121094,39208,2020-12-07
2020-12-14,55.900001525878906,55.900001525878906,60.0,54.0,58.5,58799,2020-12-14
2020-12-21,53.20000076293945,53.20000076293945,58.45000076293945,50.20000076293945,58.45000076293945,112392,2020-12-21
2020-12-28,67.75,67.75,67.75,52.099998474121094,55.79999923706055,132380,2020-12-28
2021-01-04,78.55000305175781,78.55000305175781,86.3499984741211,68.44999694824219,70.5999984741211,200275,2021-01-04
2021-01-11,76.94999694824219,76.94999694824219,82.0,71.25,81.69999694824219,109672,2021-01-11
2021-01-18,65.9000015258789,65.9000015258789,76.9000015258789,64.9000015258789,74.1500015258789,34138,2021-01-18
2021-01-25,67.4000015258789,67.4000015258789,68.3499984741211,61.0,68.3499984741211,23070,2021-01-25
2021-02-01,66.5,66.5,71.0,64.6500015258789,66.05000305175781,61624,2021-02-01
2021-02-08,67.5,67.5,69.0,62.45000076293945,67.9000015258789,200618,2021-02-08
2021-02-15,80.30000305175781,80.30000305175781,85.19999694824219,67.0999984741211,70.75,151664,2021-02-15
2021-02-22,81.5,81.5,83.3499984741211,71.5,80.0,77947,2021-02-22
2021-03-01,99.0,99.0,100.0,77.5,81.3499984741211,127866,2021-03-01
2021-03-08,118.6500015258789,118.6500015258789,118.6500015258789,97.05000305175781,97.05000305175781,116192,2021-03-08
2021-03-15,123.19999694824219,123.19999694824219,136.0,113.80000305175781,124.55000305175781,227585,2021-03-15
2021-03-22,107.8499984741211,107.8499984741211,129.35000610351562,104.44999694824219,123.19999694824219,91577,2021-03-22
2021-03-29,98.94999694824219,98.94999694824219,110.94999694824219,98.75,107.8499984741211,48776,2021-03-29
2021-04-05,103.25,103.25,109.80000305175781,98.0,99.0,56056,2021-04-05
2021-04-12,94.5,94.5,106.1500015258789,93.0,106.1500015258789,24398,2021-04-12
2021-04-19,90.25,90.25,98.9000015258789,84.0999984741211,89.80000305175781,26345,2021-04-19
2021-04-26,108.55000305175781,108.55000305175781,108.80000305175781,89.30000305175781,92.0999984741211,419843,2021-04-26
2021-05-03,96.19999694824219,96.19999694824219,112.0,95.55000305175781,109.0,67576,2021-05-03
2021-05-10,100.05000305175781,100.05000305175781,104.44999694824219,91.6500015258789,93.0999984741211,84994,2021-05-10
2021-05-17,98.6500015258789,98.6500015258789,106.3499984741211,97.55000305175781,103.0,70793,2021-05-17
2021-05-24,99.6500015258789,99.6500015258789,110.5,95.1500015258789,98.55000305175781,68801,2021-05-24
2021-05-31,101.25,101.25,104.44999694824219,94.8499984741211,101.0,89325,2021-05-31
2021-06-07,118.44999694824219,118.44999694824219,122.0,100.1500015258789,101.9000015258789,314149,2021-06-07
2021-06-14,114.5,114.5,118.80000305175781,105.0,118.80000305175781,118503,2021-06-14
2021-06-21,116.8499984741211,116.8499984741211,122.0,108.19999694824219,111.55000305175781,207745,2021-06-21
2021-06-28,144.10000610351562,144.10000610351562,144.10000610351562,114.8499984741211,119.75,585748,2021-06-28
2021-07-05,147.9499969482422,147.9499969482422,166.39999389648438,146.75,156.89999389648438,403053,2021-07-05
