Date,Adj Close_SREEL.NS,Close_SREEL.NS,High_SREEL.NS,Low_SREEL.NS,Open_SREEL.NS,Volume_SREEL.NS,Date
2020-07-13,128.60000610351562,128.60000610351562,133.39999389648438,126.0,133.1999969482422,16710,2020-07-13
2020-07-20,128.8000030517578,128.8000030517578,135.0,126.5,127.6500015258789,60643,2020-07-20
2020-07-27,127.6500015258789,127.6500015258789,129.0500030517578,121.05000305175781,128.8000030517578,42117,2020-07-27
2020-08-03,138.14999389648438,138.14999389648438,144.0,123.05000305175781,133.6999969482422,108121,2020-08-03
2020-08-10,137.4499969482422,137.4499969482422,143.5500030517578,134.9499969482422,138.5500030517578,43889,2020-08-10
2020-08-17,138.64999389648438,138.64999389648438,141.0,134.60000610351562,136.0500030517578,54784,2020-08-17
2020-08-24,148.75,148.75,157.5,138.0,141.6999969482422,185608,2020-08-24
2020-08-31,140.3000030517578,140.3000030517578,153.6999969482422,135.0,148.75,32526,2020-08-31
2020-09-07,134.3000030517578,134.3000030517578,141.4499969482422,130.14999389648438,141.4499969482422,58215,2020-09-07
2020-09-14,145.10000610351562,145.10000610351562,151.0,133.64999389648438,139.5,62469,2020-09-14
2020-09-21,132.8000030517578,132.8000030517578,150.0,124.6500015258789,145.14999389648438,61080,2020-09-21
2020-09-28,133.0500030517578,133.0500030517578,139.5,128.5,132.14999389648438,17363,2020-09-28
2020-10-05,136.1999969482422,136.1999969482422,139.39999389648438,131.0500030517578,134.85000610351562,18627,2020-10-05
2020-10-12,130.85000610351562,130.85000610351562,140.6999969482422,126.94999694824219,138.0,29360,2020-10-12
2020-10-19,134.9499969482422,134.9499969482422,136.6999969482422,129.10000610351562,129.60000610351562,25760,2020-10-19
2020-10-26,136.4499969482422,136.4499969482422,137.89999389648438,127.1500015258789,135.0,29158,2020-10-26
2020-11-02,144.8000030517578,144.8000030517578,146.85000610351562,132.10000610351562,135.89999389648438,99018,2020-11-02
2020-11-09,138.5,138.5,145.4499969482422,132.0,144.89999389648438,75562,2020-11-09
2020-11-16,145.0500030517578,145.0500030517578,148.85000610351562,136.35000610351562,138.60000610351562,78881,2020-11-16
2020-11-23,144.89999389648438,144.89999389648438,155.39999389648438,142.89999389648438,145.0,109762,2020-11-23
2020-11-30,150.9499969482422,150.9499969482422,156.85000610351562,141.3000030517578,144.89999389648438,81150,2020-11-30
2020-12-07,148.85000610351562,148.85000610351562,153.10000610351562,145.5500030517578,151.1999969482422,158545,2020-12-07
2020-12-14,146.5,146.5,151.5,145.0,149.8000030517578,191680,2020-12-14
2020-12-21,144.25,144.25,150.85000610351562,135.0,145.0,176973,2020-12-21
2020-12-28,147.14999389648438,147.14999389648438,149.85000610351562,141.5500030517578,144.35000610351562,239620,2020-12-28
2021-01-04,147.1999969482422,147.1999969482422,162.35000610351562,145.64999389648438,147.14999389648438,367975,2021-01-04
2021-01-11,145.8000030517578,145.8000030517578,153.89999389648438,145.10000610351562,149.85000610351562,173398,2021-01-11
2021-01-18,147.75,147.75,154.89999389648438,143.4499969482422,145.85000610351562,357506,2021-01-18
2021-01-25,145.0,145.0,149.8000030517578,144.25,149.8000030517578,99474,2021-01-25
2021-02-01,145.89999389648438,145.89999389648438,148.8000030517578,143.0,148.8000030517578,128660,2021-02-01
2021-02-08,145.64999389648438,145.64999389648438,149.39999389648438,145.0,147.0,129865,2021-02-08
2021-02-15,145.5500030517578,145.5500030517578,149.35000610351562,144.75,146.14999389648438,122586,2021-02-15
2021-02-22,144.8000030517578,144.8000030517578,147.8000030517578,144.75,146.5,76945,2021-02-22
2021-03-01,144.25,144.25,146.9499969482422,143.0,146.9499969482422,114977,2021-03-01
2021-03-08,146.0500030517578,146.0500030517578,154.5,144.3000030517578,145.75,234098,2021-03-08
2021-03-15,145.0,145.0,152.0500030517578,141.0500030517578,147.60000610351562,164518,2021-03-15
2021-03-22,142.85000610351562,142.85000610351562,149.8000030517578,136.0500030517578,145.0,198361,2021-03-22
2021-03-29,147.60000610351562,147.60000610351562,169.89999389648438,142.85000610351562,142.85000610351562,334126,2021-03-29
2021-04-05,144.0500030517578,144.0500030517578,149.9499969482422,139.89999389648438,147.0500030517578,68156,2021-04-05
2021-04-12,140.25,140.25,144.75,137.25,143.0,32098,2021-04-12
2021-04-19,139.60000610351562,139.60000610351562,144.64999389648438,136.64999389648438,140.25,26758,2021-04-19
