Date,Adj Close_ABSLAMC.NS,Close_ABSLAMC.NS,High_ABSLAMC.NS,Low_ABSLAMC.NS,Open_ABSLAMC.NS,Volume_ABSLAMC.NS,Date
2021-10-11,650.7958984375,697.1500244140625,722.9000244140625,672.0,715.0,11587088,2021-10-11
2021-10-18,614.8558349609375,658.6500244140625,701.9500122070312,654.6500244140625,698.25,1681575,2021-10-18
2021-10-25,605.9408569335938,649.0999755859375,665.0,616.1500244140625,658.6500244140625,3900159,2021-10-25
2021-11-01,603.3736572265625,646.3499755859375,665.0,638.0,651.0,590856,2021-11-01
2021-11-08,583.5330200195312,619.7000122070312,645.6500244140625,619.0499877929688,645.6500244140625,1506244,2021-11-08
2021-11-15,550.7640380859375,584.9000244140625,623.4000244140625,583.7999877929688,618.5,1890493,2021-11-15
2021-11-22,558.8150634765625,593.4500122070312,605.5,578.0499877929688,585.0,1392972,2021-11-22
2021-11-29,547.515380859375,581.4500122070312,595.0,570.0,582.0499877929688,912531,2021-11-29
2021-12-06,555.0485229492188,589.4500122070312,597.0,575.0,581.4500122070312,654432,2021-12-06
2021-12-13,518.79541015625,550.9500122070312,598.0,545.0999755859375,596.0,1140352,2021-12-13
2021-12-20,481.55364990234375,511.3999938964844,552.0,505.1000061035156,550.9500122070312,2049201,2021-12-20
2021-12-27,500.3393249511719,531.3499755859375,538.0,499.25,513.9000244140625,1518716,2021-12-27
2022-01-03,510.5561218261719,542.2000122070312,562.5,527.0,531.0,926757,2022-01-03
2022-01-10,552.3648071289062,586.5999755859375,587.9500122070312,532.2000122070312,542.2000122070312,1748655,2022-01-10
2022-01-17,508.8141174316406,540.3499755859375,590.0,538.6500244140625,588.0,1099855,2022-01-17
2022-01-24,482.6835632324219,512.5999755859375,540.3499755859375,511.0,540.0,2269075,2022-01-24
2022-01-31,497.46734619140625,528.2999877929688,538.2000122070312,516.25,519.9000244140625,1696171,2022-01-31
2022-02-07,483.90777587890625,513.9000244140625,529.9000244140625,512.0,529.9000244140625,1397615,2022-02-07
2022-02-14,480.3766174316406,510.1499938964844,519.5499877929688,503.6000061035156,510.0,1633850,2022-02-14
2022-02-21,478.8229064941406,508.5,523.25,496.0,506.5,1597404,2022-02-21
2022-02-28,470.3952331542969,499.54998779296875,510.6499938964844,496.5,503.0,1034033,2022-02-28
2022-03-07,467.287841796875,496.25,503.70001220703125,483.1499938964844,497.0,2935563,2022-03-07
2022-03-14,468.9356994628906,498.0,503.0,490.20001220703125,496.0,940686,2022-03-14
2022-03-21,476.845458984375,506.3999938964844,519.1500244140625,496.45001220703125,501.5,997934,2022-03-21
2022-03-28,501.09271240234375,532.1500244140625,550.0,500.0,506.54998779296875,1345624,2022-03-28
2022-04-04,498.4560852050781,529.3499755859375,536.4000244140625,525.0,533.0999755859375,700903,2022-04-04
2022-04-11,499.20941162109375,530.1500244140625,536.75,525.0999755859375,531.0,565626,2022-04-11
2022-04-18,514.8875732421875,546.7999877929688,560.0,519.0499877929688,530.0,1158666,2022-04-18
2022-04-25,489.6517639160156,520.0,549.9000244140625,515.2999877929688,544.9000244140625,932007,2022-04-25
2022-05-02,470.8660888671875,500.04998779296875,520.9500122070312,499.0,518.0,631961,2022-05-02
2022-05-09,460.74346923828125,489.29998779296875,501.1000061035156,449.1000061035156,500.04998779296875,2780850,2022-05-09
2022-05-16,425.99700927734375,452.3999938964844,493.20001220703125,450.04998779296875,490.0,1131169,2022-05-16
2022-05-23,400.8081970214844,425.6499938964844,455.0,411.45001220703125,452.3999938964844,535083,2022-05-23
2022-05-30,394.0284118652344,418.45001220703125,434.95001220703125,416.45001220703125,433.8999938964844,442863,2022-05-30
2022-06-06,391.0151672363281,415.25,420.0,410.0,418.0,269175,2022-06-06
2022-06-13,386.0715637207031,410.0,423.8500061035156,375.0,412.29998779296875,249319,2022-06-13
2022-06-20,377.40850830078125,400.79998779296875,414.1499938964844,399.0,410.0,838188,2022-06-20
2022-06-27,381.3163146972656,404.95001220703125,414.54998779296875,399.6000061035156,403.0,328681,2022-06-27
