Date,Adj Close_PILITA.NS,Close_PILITA.NS,High_PILITA.NS,Low_PILITA.NS,Open_PILITA.NS,Volume_PILITA.NS,Date
2020-07-13,6.099999904632568,6.099999904632568,6.5,5.949999809265137,6.050000190734863,206657,2020-07-13
2020-07-20,5.900000095367432,5.900000095367432,6.349999904632568,5.75,6.099999904632568,189653,2020-07-20
2020-07-27,5.800000190734863,5.800000190734863,6.099999904632568,5.550000190734863,6.0,281572,2020-07-27
2020-08-03,5.599999904632568,5.599999904632568,6.0,5.5,5.849999904632568,121448,2020-08-03
2020-08-10,5.650000095367432,5.650000095367432,5.900000095367432,5.5,5.599999904632568,186089,2020-08-10
2020-08-17,6.050000190734863,6.050000190734863,6.099999904632568,5.5,5.900000095367432,221697,2020-08-17
2020-08-24,6.800000190734863,6.800000190734863,6.849999904632568,6.099999904632568,6.099999904632568,746512,2020-08-24
2020-08-31,6.099999904632568,6.099999904632568,7.050000190734863,6.050000190734863,7.0,485150,2020-08-31
2020-09-07,6.400000095367432,6.400000095367432,6.5,5.849999904632568,6.099999904632568,416728,2020-09-07
2020-09-14,6.599999904632568,6.599999904632568,6.900000095367432,6.199999809265137,6.550000190734863,419052,2020-09-14
2020-09-21,6.199999809265137,6.199999809265137,6.800000190734863,6.050000190734863,6.800000190734863,294846,2020-09-21
2020-09-28,6.5,6.5,6.550000190734863,6.0,6.199999809265137,276873,2020-09-28
2020-10-05,7.0,7.0,7.199999809265137,6.5,6.5,323821,2020-10-05
2020-10-12,6.699999809265137,6.699999809265137,7.099999904632568,6.300000190734863,7.0,284362,2020-10-12
2020-10-19,6.550000190734863,6.550000190734863,6.949999809265137,6.199999809265137,6.699999809265137,218575,2020-10-19
2020-10-26,6.650000095367432,6.650000095367432,6.900000095367432,6.400000095367432,6.599999904632568,140321,2020-10-26
2020-11-02,6.800000190734863,6.800000190734863,6.949999809265137,6.5,6.949999809265137,191420,2020-11-02
2020-11-09,7.300000190734863,7.300000190734863,7.699999809265137,6.599999904632568,6.949999809265137,682203,2020-11-09
2020-11-16,7.550000190734863,7.550000190734863,7.650000095367432,7.099999904632568,7.199999809265137,311300,2020-11-16
2020-11-23,8.0,8.0,8.350000381469727,7.349999904632568,7.75,1497285,2020-11-23
2020-11-30,8.399999618530273,8.399999618530273,8.600000381469727,7.849999904632568,8.0,1173394,2020-11-30
2020-12-07,9.600000381469727,9.600000381469727,9.75,8.649999618530273,9.0,1605246,2020-12-07
2020-12-14,9.699999809265137,9.699999809265137,10.600000381469727,9.550000190734863,9.75,1505243,2020-12-14
2020-12-21,9.550000190734863,9.550000190734863,11.100000381469727,9.199999809265137,9.649999618530273,2781499,2020-12-21
2020-12-28,10.600000381469727,10.600000381469727,11.800000190734863,9.5,9.949999809265137,1925245,2020-12-28
2021-01-04,11.75,11.75,12.0,10.350000381469727,11.0,2524857,2021-01-04
2021-01-11,11.100000381469727,11.100000381469727,12.25,10.850000381469727,12.199999809265137,2246585,2021-01-11
2021-01-18,11.149999618530273,11.149999618530273,13.0,10.899999618530273,11.399999618530273,2700053,2021-01-18
2021-01-25,10.699999809265137,10.699999809265137,11.800000190734863,10.399999618530273,11.600000381469727,668641,2021-01-25
2021-02-01,12.75,12.75,13.0,10.0,10.699999809265137,2302106,2021-02-01
2021-02-08,12.899999618530273,12.899999618530273,14.0,12.5,13.0,903275,2021-02-08
2021-02-15,15.25,15.25,17.0,12.649999618530273,12.699999809265137,2722834,2021-02-15
2021-02-22,14.100000381469727,14.100000381469727,16.100000381469727,13.600000381469727,16.100000381469727,962183,2021-02-22
2021-03-01,15.800000190734863,15.800000190734863,16.899999618530273,13.949999809265137,14.600000381469727,1931024,2021-03-01
2021-03-08,17.049999237060547,17.049999237060547,18.0,15.5,16.450000762939453,1647456,2021-03-08
2021-03-15,16.950000762939453,16.950000762939453,18.299999237060547,15.100000381469727,17.0,1620950,2021-03-15
2021-03-22,16.600000381469727,16.600000381469727,17.899999618530273,15.699999809265137,17.850000381469727,944785,2021-03-22
2021-03-29,18.399999618530273,18.399999618530273,19.200000762939453,16.049999237060547,16.600000381469727,932253,2021-03-29
2021-04-05,16.450000762939453,16.450000762939453,19.0,16.399999618530273,18.399999618530273,694972,2021-04-05
2021-04-12,15.350000381469727,15.350000381469727,16.450000762939453,15.0,16.149999618530273,466394,2021-04-12
2021-04-19,13.0,13.0,15.350000381469727,11.649999618530273,15.350000381469727,777641,2021-04-19
2021-04-26,13.350000381469727,13.350000381469727,15.600000381469727,13.100000381469727,13.949999809265137,883972,2021-04-26
2021-05-03,13.149999618530273,13.149999618530273,15.600000381469727,12.850000381469727,13.0,571740,2021-05-03
2021-05-10,13.050000190734863,13.050000190734863,16.799999237060547,12.899999618530273,13.850000381469727,1540568,2021-05-10
2021-05-17,11.75,11.75,14.0,11.550000190734863,13.5,1853990,2021-05-17
2021-05-24,12.100000381469727,12.100000381469727,14.699999809265137,11.649999618530273,12.149999618530273,4000091,2021-05-24
2021-05-31,11.199999809265137,11.199999809265137,12.899999618530273,11.0,12.300000190734863,12540648,2021-05-31
2021-06-07,10.649999618530273,10.649999618530273,11.899999618530273,10.0,11.350000381469727,26636409,2021-06-07
2021-06-14,10.399999618530273,10.399999618530273,11.0,9.5,10.649999618530273,41433850,2021-06-14
2021-06-21,9.649999618530273,9.649999618530273,10.600000381469727,9.199999809265137,10.5,36358841,2021-06-21
2021-06-28,8.800000190734863,8.800000190734863,9.899999618530273,7.5,9.75,36922649,2021-06-28
2021-07-05,9.350000381469727,9.350000381469727,9.550000190734863,8.550000190734863,8.949999809265137,12190172,2021-07-05
2021-07-12,8.350000381469727,8.350000381469727,9.75,8.25,9.600000381469727,25128160,2021-07-12
2021-07-19,7.900000095367432,7.900000095367432,8.800000190734863,7.099999904632568,8.300000190734863,13169391,2021-07-19
