Date,Adj Close_AMNPLST.NS,Close_AMNPLST.NS,High_AMNPLST.NS,Low_AMNPLST.NS,Open_AMNPLST.NS,Volume_AMNPLST.NS,Date
2023-11-06,159.7471466064453,160.0,163.35000610351562,157.0,163.35000610351562,8742,2023-11-06
2023-11-13,156.9016571044922,157.14999389648438,164.0,151.1999969482422,162.60000610351562,36349,2023-11-13
2023-11-20,150.9610595703125,151.1999969482422,160.9499969482422,149.0,157.6999969482422,59275,2023-11-20
2023-11-27,163.49122619628906,163.75,173.64999389648438,150.0,151.1999969482422,121061,2023-11-27
2023-12-04,171.87794494628906,172.14999389648438,179.89999389648438,162.5500030517578,169.0,151934,2023-12-04
2023-12-11,163.84068298339844,164.10000610351562,175.25,158.35000610351562,168.0,84565,2023-12-11
2023-12-18,158.49913024902344,158.75,179.89999389648438,155.0,179.89999389648438,64039,2023-12-18
2023-12-25,167.1354522705078,167.39999389648438,172.60000610351562,158.39999389648438,158.75,114407,2023-12-25
2024-01-01,201.6807861328125,202.0,209.0,164.5500030517578,165.9499969482422,382223,2024-01-01
2024-01-08,217.75534057617188,218.10000610351562,235.35000610351562,201.64999389648438,209.8000030517578,398230,2024-01-08
2024-01-15,206.07382202148438,206.39999389648438,218.10000610351562,191.0,218.10000610351562,104790,2024-01-15
2024-01-22,200.53260803222656,200.85000610351562,218.5,195.10000610351562,206.39999389648438,36480,2024-01-22
2024-01-29,211.91458129882812,212.25,218.1999969482422,198.0,208.85000610351562,69199,2024-01-29
2024-02-05,205.4747772216797,205.8000030517578,216.5,193.0500030517578,212.25,127137,2024-02-05
2024-02-12,195.34080505371094,195.64999389648438,207.89999389648438,191.0,207.89999389648438,48253,2024-02-12
2024-02-19,190.09910583496094,190.39999389648438,203.0,183.9499969482422,199.8000030517578,44519,2024-02-19
2024-02-26,176.9199676513672,177.1999969482422,192.5500030517578,169.8000030517578,192.5,64495,2024-02-26
2024-03-04,172.27732849121094,172.5500030517578,184.5,169.0,174.39999389648438,34951,2024-03-04
2024-03-11,160.59580993652344,160.85000610351562,182.0,150.5500030517578,182.0,72720,2024-03-11
2024-03-18,163.39137268066406,163.64999389648438,167.35000610351562,153.0,161.0,61254,2024-03-18
2024-03-25,165.13861083984375,165.39999389648438,167.85000610351562,153.0,163.64999389648438,33587,2024-03-25
2024-04-01,176.42076110839844,176.6999969482422,185.5500030517578,164.5,167.39999389648438,81933,2024-04-01
2024-04-08,180.61412048339844,180.89999389648438,183.89999389648438,167.25,183.4499969482422,34721,2024-04-08
2024-04-15,177.26942443847656,177.5500030517578,180.0,169.0,171.5500030517578,30901,2024-04-15
2024-04-22,213.01284790039062,213.35000610351562,222.0,176.5500030517578,177.39999389648438,621395,2024-04-22
2024-04-29,211.31552124023438,211.64999389648438,229.89999389648438,205.0,206.35000610351562,102393,2024-04-29
2024-05-06,195.7401885986328,196.0500030517578,216.64999389648438,192.75,210.25,63209,2024-05-06
