Date,Adj Close_SHAILY.NS,Close_SHAILY.NS,High_SHAILY.NS,Low_SHAILY.NS,Open_SHAILY.NS,Volume_SHAILY.NS,Date
2022-04-04,433.446533203125,433.8900146484375,478.0,384.0,477.989990234375,59940,2022-04-04
2022-04-11,409.3012390136719,409.7200012207031,464.0,396.0,444.9800109863281,26220,2022-04-11
2022-04-18,444.1255798339844,444.5799865722656,449.9800109863281,391.2099914550781,419.79998779296875,24795,2022-04-18
2022-04-25,404.396240234375,404.80999755859375,449.79998779296875,396.6199951171875,444.6199951171875,68250,2022-04-25
2022-05-02,401.1395568847656,401.54998779296875,416.7099914550781,389.9599914550781,405.0,32335,2022-05-02
2022-05-09,324.1183776855469,324.45001220703125,424.0,308.25,400.010009765625,179280,2022-05-09
2022-05-16,351.68017578125,352.0400085449219,375.20001220703125,320.0,328.0,29455,2022-05-16
2022-05-23,362.98858642578125,363.3599853515625,374.79998779296875,339.989990234375,361.7900085449219,43225,2022-05-23
2022-05-30,382.6085205078125,383.0,404.989990234375,360.3999938964844,379.7900085449219,14135,2022-05-30
2022-06-06,379.7015075683594,380.0899963378906,395.17999267578125,360.0,395.17999267578125,23155,2022-06-06
2022-06-13,371.1502685546875,371.5299987792969,388.0,350.0,377.989990234375,78390,2022-06-13
2022-06-20,359.64202880859375,360.010009765625,379.989990234375,340.25,379.989990234375,206965,2022-06-20
2022-06-27,372.3690185546875,372.75,385.2699890136719,360.0,364.3699951171875,18330,2022-06-27
2022-07-04,381.1100769042969,381.5,390.6199951171875,364.04998779296875,366.3299865722656,81735,2022-07-04
2022-07-11,383.98712158203125,384.3800048828125,395.0,373.79998779296875,384.0,42320,2022-07-11
2022-07-18,389.6812744140625,390.0799865722656,398.0,375.0,398.0,28405,2022-07-18
2022-07-25,381.67950439453125,382.07000732421875,395.0,379.3900146484375,387.17999267578125,12025,2022-07-25
2022-08-01,400.88983154296875,401.29998779296875,440.0,383.7099914550781,383.7099914550781,111090,2022-08-01
2022-08-08,385.57550048828125,385.9700012207031,420.0,381.010009765625,381.010009765625,19005,2022-08-08
2022-08-15,399.5911560058594,400.0,412.989990234375,377.8900146484375,385.9700012207031,86870,2022-08-15
2022-08-22,377.63360595703125,378.0199890136719,413.80999755859375,362.29998779296875,413.80999755859375,54920,2022-08-22
2022-08-29,388.07293701171875,388.4700012207031,393.79998779296875,372.010009765625,375.989990234375,22790,2022-08-29
2022-09-05,391.5893249511719,391.989990234375,414.2900085449219,380.4100036621094,393.6700134277344,92770,2022-09-05
2022-09-12,394.1267395019531,394.5299987792969,419.79998779296875,387.20001220703125,391.989990234375,130695,2022-09-12
2022-09-19,401.8188781738281,402.2300109863281,418.989990234375,380.3999938964844,403.6000061035156,63005,2022-09-19
2022-09-26,387.9630432128906,388.3599853515625,402.20001220703125,367.04998779296875,400.2300109863281,31870,2022-09-26
2022-10-03,366.3851318359375,366.760009765625,397.70001220703125,360.0,397.70001220703125,38030,2022-10-03
2022-10-10,378.90234375,379.2900085449219,387.19000244140625,360.6000061035156,365.0,34130,2022-10-10
2022-10-17,388.08294677734375,388.4800109863281,390.0,370.0,381.6000061035156,12565,2022-10-17
2022-10-24,379.9812316894531,380.3699951171875,392.3999938964844,372.3699951171875,392.3999938964844,8165,2022-10-24
2022-10-31,366.6248779296875,367.0,392.79998779296875,364.6000061035156,383.0,24750,2022-10-31
2022-11-07,322.79974365234375,323.1300048828125,380.989990234375,320.5899963378906,380.989990234375,38515,2022-11-07
2022-11-14,318.15447998046875,318.4800109863281,337.0,308.5199890136719,321.1300048828125,95350,2022-11-14
2022-11-21,327.8745422363281,328.2099914550781,360.0,302.989990234375,316.8900146484375,56255,2022-11-21
2022-11-28,343.95806884765625,344.30999755859375,391.3999938964844,318.3699951171875,332.0,96620,2022-11-28
2022-12-05,342.9490966796875,343.29998779296875,350.0,338.7200012207031,346.3999938964844,23210,2022-12-05
2022-12-12,320.7718200683594,321.1000061035156,350.0,320.20001220703125,349.79998779296875,38660,2022-12-12
2022-12-19,322.61993408203125,322.95001220703125,339.9800109863281,318.0,323.0,26355,2022-12-19
2022-12-26,316.5960998535156,316.9200134277344,333.5199890136719,289.17999267578125,332.0,81375,2022-12-26
2023-01-02,301.2117919921875,301.5199890136719,328.79998779296875,299.05999755859375,316.9200134277344,19965,2023-01-02
2023-01-09,305.5074157714844,305.82000732421875,316.3800048828125,295.0199890136719,310.8399963378906,22735,2023-01-09
2023-01-16,305.33758544921875,305.6499938964844,312.82000732421875,299.0,309.79998779296875,18790,2023-01-16
2023-01-23,303.1997985839844,303.510009765625,312.9800109863281,293.17999267578125,307.2699890136719,22595,2023-01-23
2023-01-30,310.58221435546875,310.8999938964844,316.79998779296875,296.3500061035156,299.6600036621094,26705,2023-01-30
2023-02-06,294.29888916015625,294.6000061035156,333.6000061035156,287.239990234375,333.6000061035156,80605,2023-02-06
2023-02-13,247.4368438720703,247.69000244140625,290.4100036621094,242.0,290.4100036621094,100160,2023-02-13
2023-02-20,217.9569854736328,218.17999267578125,261.9800109863281,213.16000366210938,248.0,95020,2023-02-20
2023-02-27,226.42832946777344,226.66000366210938,235.58999633789062,210.0,222.0,54485,2023-02-27
2023-03-06,223.30152893066406,223.52999877929688,239.8000030517578,219.99000549316406,233.5399932861328,38580,2023-03-06
2023-03-13,199.8455352783203,200.0500030517578,235.42999267578125,194.39999389648438,223.00999450683594,104960,2023-03-13
2023-03-20,208.93621826171875,209.14999389648438,212.05999755859375,191.0,192.22000122070312,166835,2023-03-20
2023-03-27,205.4697723388672,205.67999267578125,214.1300048828125,198.6699981689453,209.14999389648438,89295,2023-03-27
2023-04-03,227.5172119140625,227.75,250.11000061035156,205.1300048828125,210.1999969482422,73045,2023-04-03
2023-04-10,209.79534912109375,210.00999450683594,231.58999633789062,206.82000732421875,231.58999633789062,74845,2023-04-10
2023-04-17,202.88241577148438,203.08999633789062,225.99000549316406,199.00999450683594,215.27000427246094,262295,2023-04-17
2023-04-24,231.2633819580078,231.5,233.19000244140625,200.75999450683594,205.3800048828125,131325,2023-04-24
2023-05-01,234.30026245117188,234.5399932861328,243.11000061035156,228.36000061035156,231.5,53400,2023-05-01
2023-05-08,228.3763427734375,228.61000061035156,244.97999572753906,222.47000122070312,240.41000366210938,105985,2023-05-08
2023-05-15,252.2519073486328,252.50999450683594,270.8500061035156,230.39999389648438,230.39999389648438,438485,2023-05-15
2023-05-22,258.705322265625,258.9700012207031,281.3999938964844,255.0500030517578,270.0,262955,2023-05-22
2023-05-29,257.5165100097656,257.7799987792969,266.9100036621094,253.80999755859375,264.989990234375,107390,2023-05-29
