Date,Adj Close_RBZJEWEL.NS,Close_RBZJEWEL.NS,High_RBZJEWEL.NS,Low_RBZJEWEL.NS,Open_RBZJEWEL.NS,Volume_RBZJEWEL.NS,Date
2023-12-25,115.75,115.75,115.75,96.0,100.0,2983680,2023-12-25
2024-01-01,146.75,146.75,146.75,115.75,116.25,3853894,2024-01-01
2024-01-08,232.14999389648438,232.14999389648438,232.14999389648438,136.0,146.75,14518103,2024-01-08
2024-01-15,204.1999969482422,204.1999969482422,249.3000030517578,200.3000030517578,232.14999389648438,6722127,2024-01-15
2024-01-22,199.1999969482422,199.1999969482422,206.14999389648438,175.39999389648438,204.1999969482422,1876361,2024-01-22
2024-01-29,188.60000610351562,188.60000610351562,209.14999389648438,187.0,209.14999389648438,3270133,2024-01-29
2024-02-05,174.3000030517578,174.3000030517578,198.0,173.0,198.0,1971104,2024-02-05
2024-02-12,179.9499969482422,179.9499969482422,185.35000610351562,156.9499969482422,174.9499969482422,1294258,2024-02-12
2024-02-19,164.35000610351562,164.35000610351562,186.39999389648438,162.5500030517578,185.0,878669,2024-02-19
2024-02-26,163.85000610351562,163.85000610351562,175.0,160.0,165.0,664015,2024-02-26
2024-03-04,161.89999389648438,161.89999389648438,167.1999969482422,153.1999969482422,167.1999969482422,396815,2024-03-04
2024-03-11,147.89999389648438,147.89999389648438,161.0,137.0500030517578,161.0,648889,2024-03-11
2024-03-18,153.3000030517578,153.3000030517578,158.0,147.89999389648438,148.0,524588,2024-03-18
2024-03-25,150.75,150.75,154.89999389648438,146.5,153.3000030517578,533208,2024-03-25
2024-04-01,166.3000030517578,166.3000030517578,168.5,152.0,152.4499969482422,568617,2024-04-01
2024-04-08,159.6999969482422,159.6999969482422,169.1999969482422,157.5,168.3000030517578,384896,2024-04-08
2024-04-15,149.0500030517578,149.0500030517578,158.0500030517578,147.3000030517578,155.0,454584,2024-04-15
2024-04-22,145.5,145.5,153.75,145.25,148.25,504707,2024-04-22
2024-04-29,139.35000610351562,139.35000610351562,148.39999389648438,138.5,148.39999389648438,425476,2024-04-29
2024-05-06,137.6999969482422,137.6999969482422,142.64999389648438,133.75,141.0,528267,2024-05-06
2024-05-13,136.10000610351562,136.10000610351562,140.5500030517578,121.19999694824219,140.5500030517578,1221817,2024-05-13
2024-05-20,129.8000030517578,129.8000030517578,135.25,128.14999389648438,129.64999389648438,266546,2024-05-20
2024-05-27,128.5,128.5,133.8000030517578,124.0999984741211,129.0,255087,2024-05-27
2024-06-03,130.39999389648438,130.39999389648438,132.1999969482422,118.1500015258789,128.5,470025,2024-06-03
2024-06-10,128.50999450683594,128.50999450683594,131.0,125.1500015258789,130.89999389648438,219412,2024-06-10
2024-06-17,135.72999572753906,135.72999572753906,135.72999572753906,125.5,128.50999450683594,240047,2024-06-17
2024-06-24,132.3800048828125,132.3800048828125,140.0,130.0,138.35000610351562,211226,2024-06-24
2024-07-01,134.02999877929688,134.02999877929688,138.00999450683594,131.0,136.4499969482422,248047,2024-07-01
2024-07-08,131.5,131.5,134.10000610351562,129.0,134.0,177771,2024-07-08
2024-07-15,125.91000366210938,125.91000366210938,133.4499969482422,124.0999984741211,131.5,228204,2024-07-15
2024-07-22,135.0,135.0,142.0,121.0999984741211,127.0,463688,2024-07-22
2024-07-29,131.6999969482422,131.6999969482422,136.0,129.0,130.14999389648438,196833,2024-07-29
2024-08-05,132.2100067138672,132.2100067138672,137.47999572753906,125.19999694824219,131.0,237781,2024-08-05
2024-08-12,153.33999633789062,153.33999633789062,153.33999633789062,129.25,130.10000610351562,990963,2024-08-12
2024-08-19,152.5,152.5,161.0,148.47999572753906,161.0,662670,2024-08-19
2024-08-26,149.1699981689453,149.1699981689453,158.66000366210938,149.1699981689453,155.5500030517578,489451,2024-08-26
2024-09-02,147.72999572753906,147.72999572753906,149.1699981689453,141.0,146.17999267578125,256624,2024-09-02
2024-09-09,163.0800018310547,163.0800018310547,163.0800018310547,150.67999267578125,150.67999267578125,357954,2024-09-09
2024-09-16,168.5,168.5,172.99000549316406,166.33999633789062,166.33999633789062,468358,2024-09-16
2024-09-23,166.13999938964844,166.13999938964844,175.16000366210938,166.13999938964844,171.8699951171875,348840,2024-09-23
