Date,Adj Close_VENKEYS.NS,Close_VENKEYS.NS,High_VENKEYS.NS,Low_VENKEYS.NS,Open_VENKEYS.NS,Volume_VENKEYS.NS,Date
2020-07-13,1014.2741088867188,1031.9000244140625,1059.800048828125,995.0,1042.0999755859375,234277,2020-07-13
2020-07-20,1049.75732421875,1068.0,1155.0,1029.949951171875,1036.0999755859375,975975,2020-07-20
2020-07-27,1026.8553466796875,1044.699951171875,1098.0,1037.0,1063.5,291339,2020-07-27
2020-08-03,1035.55419921875,1053.550048828125,1087.5,1032.5,1042.0,292757,2020-08-03
2020-08-10,1329.3978271484375,1352.5,1448.4000244140625,1056.0,1059.0999755859375,4176460,2020-08-10
2020-08-17,1332.7396240234375,1355.9000244140625,1439.0,1320.050048828125,1349.949951171875,1325692,2020-08-17
2020-08-24,1478.0150146484375,1503.699951171875,1550.0,1350.0,1360.0,2456348,2020-08-24
2020-08-31,1494.0859375,1520.050048828125,1617.8499755859375,1428.0,1550.0,1522282,2020-08-31
2020-09-07,1398.74267578125,1423.050048828125,1577.0,1417.449951171875,1529.949951171875,769771,2020-09-07
2020-09-14,1419.678955078125,1444.3499755859375,1505.0,1432.800048828125,1440.0,629949,2020-09-14
2020-09-21,1364.58642578125,1388.300048828125,1457.8499755859375,1271.25,1454.0,447339,2020-09-21
2020-09-28,1431.523193359375,1456.4000244140625,1474.0,1391.300048828125,1407.699951171875,372061,2020-09-28
2020-10-05,1436.1920166015625,1461.1500244140625,1588.0,1455.0,1475.0,938353,2020-10-05
2020-10-12,1422.627685546875,1447.3499755859375,1511.3499755859375,1421.0999755859375,1465.0,462182,2020-10-12
2020-10-19,1468.087646484375,1493.5999755859375,1528.0,1443.25,1459.0,456187,2020-10-19
2020-10-26,1446.168701171875,1471.300048828125,1520.0,1434.949951171875,1490.5,294465,2020-10-26
2020-11-02,1561.5140380859375,1588.6500244140625,1615.0,1440.0,1462.0,1243173,2020-11-02
2020-11-09,1522.2464599609375,1548.699951171875,1729.9000244140625,1512.0,1609.699951171875,1575002,2020-11-09
2020-11-16,1576.306884765625,1603.699951171875,1689.449951171875,1538.0,1549.5,755370,2020-11-16
2020-11-23,1637.149658203125,1665.5999755859375,1718.6500244140625,1578.1500244140625,1602.25,665800,2020-11-23
2020-11-30,1642.6539306640625,1671.199951171875,1719.9000244140625,1653.1500244140625,1665.5999755859375,333605,2020-11-30
2020-12-07,1663.29541015625,1692.199951171875,1772.0,1636.0,1639.0,678920,2020-12-07
2020-12-14,1653.7611083984375,1682.5,1750.0,1670.0,1717.0,286610,2020-12-14
2020-12-21,1643.194580078125,1671.75,1718.0,1514.949951171875,1670.0,433026,2020-12-21
