Date,Adj Close_DBCORP.NS,Close_DBCORP.NS,High_DBCORP.NS,Low_DBCORP.NS,Open_DBCORP.NS,Volume_DBCORP.NS,Date
2020-07-13,62.40775680541992,77.94999694824219,81.9000015258789,76.19999694824219,81.0,829108,2020-07-13
2020-07-20,61.767269134521484,77.1500015258789,79.9000015258789,76.55000305175781,78.75,1297362,2020-07-20
2020-07-27,58.40470504760742,72.94999694824219,77.69999694824219,72.30000305175781,77.69999694824219,647172,2020-07-27
2020-08-03,59.32540512084961,74.0999984741211,75.5999984741211,70.5,72.9000015258789,525190,2020-08-03
2020-08-10,63.328460693359375,79.0999984741211,83.4000015258789,74.0999984741211,74.0999984741211,2370326,2020-08-10
2020-08-17,63.80883026123047,79.69999694824219,83.0,78.0,80.0,1568138,2020-08-17
2020-08-24,64.9296875,81.0999984741211,83.19999694824219,77.80000305175781,80.0,1922018,2020-08-24
2020-08-31,62.36773681640625,77.9000015258789,82.4000015258789,75.55000305175781,81.19999694824219,762059,2020-08-31
2020-09-07,59.96589279174805,74.9000015258789,78.69999694824219,73.0999984741211,76.5,387127,2020-09-07
2020-09-14,61.767269134521484,77.1500015258789,80.69999694824219,75.4000015258789,75.4000015258789,594001,2020-09-14
2020-09-21,61.28691101074219,76.55000305175781,79.5,73.4000015258789,77.8499984741211,826878,2020-09-21
2020-09-28,63.688751220703125,79.55000305175781,83.1500015258789,76.0999984741211,76.80000305175781,853159,2020-09-28
2020-10-05,61.84733581542969,77.25,81.5999984741211,77.0,79.9000015258789,670258,2020-10-05
2020-10-12,60.28614807128906,75.30000305175781,77.9000015258789,75.0,77.25,374151,2020-10-12
2020-10-19,59.96589279174805,74.9000015258789,78.4000015258789,74.0999984741211,76.05000305175781,966201,2020-10-19
2020-10-26,59.1252555847168,73.8499984741211,77.5,73.0,75.6500015258789,486265,2020-10-26
2020-11-02,59.925865173339844,74.8499984741211,75.55000305175781,72.9000015258789,73.9000015258789,242023,2020-11-02
2020-11-09,60.96665573120117,76.1500015258789,78.5,74.1500015258789,74.9000015258789,568508,2020-11-09
2020-11-16,64.8496322631836,81.0,85.0,75.5,75.6500015258789,3091434,2020-11-16
2020-11-23,64.72953796386719,80.8499984741211,83.25,76.75,81.5999984741211,1367686,2020-11-23
2020-11-30,70.29379272460938,87.80000305175781,90.94999694824219,80.0999984741211,80.8499984741211,2267085,2020-11-30
2020-12-07,68.61251831054688,85.69999694824219,91.69999694824219,83.5,89.0,1641378,2020-12-07
2020-12-14,68.85269165039062,86.0,89.5,85.30000305175781,89.0,1563629,2020-12-14
2020-12-21,65.00975799560547,81.19999694824219,86.05000305175781,75.3499984741211,85.69999694824219,849296,2020-12-21
2020-12-28,66.69104766845703,83.30000305175781,84.44999694824219,80.5999984741211,83.4000015258789,851443,2020-12-28
2021-01-04,67.53168487548828,84.3499984741211,86.6500015258789,82.75,83.94999694824219,2257891,2021-01-04
2021-01-11,66.93122100830078,83.5999984741211,86.6500015258789,82.9000015258789,85.44999694824219,1301736,2021-01-11
2021-01-18,64.12908172607422,80.0999984741211,84.5,78.5,84.0,953797,2021-01-18
2021-01-25,65.5301513671875,81.8499984741211,87.5,78.9000015258789,80.94999694824219,4223839,2021-01-25
2021-02-01,69.89350128173828,87.30000305175781,94.80000305175781,80.69999694824219,81.94999694824219,4298402,2021-02-01
2021-02-08,69.37310791015625,86.6500015258789,90.6500015258789,85.80000305175781,87.0,2351147,2021-02-08
2021-02-15,73.49625396728516,91.80000305175781,95.0,85.0,86.6500015258789,4228754,2021-02-15
2021-02-22,80.021240234375,99.94999694824219,104.75,90.5999984741211,93.0999984741211,4036369,2021-02-22
2021-03-01,79.02047729492188,98.69999694824219,104.9000015258789,97.0999984741211,101.75,2873421,2021-03-01
2021-03-08,77.73948669433594,97.0999984741211,101.4000015258789,95.5999984741211,100.0,1064209,2021-03-08
2021-03-15,74.97737884521484,93.6500015258789,99.69999694824219,90.30000305175781,98.30000305175781,1175336,2021-03-15
2021-03-22,72.29534149169922,90.30000305175781,94.80000305175781,88.0,94.80000305175781,613242,2021-03-22
2021-03-29,73.25606536865234,91.5,94.25,88.80000305175781,90.30000305175781,700793,2021-03-29
2021-04-05,73.5362777709961,91.8499984741211,96.9000015258789,88.0,91.5,781881,2021-04-05
2021-04-12,69.09288787841797,86.30000305175781,91.44999694824219,85.0,90.9000015258789,723795,2021-04-12
2021-04-19,61.20683670043945,76.44999694824219,85.80000305175781,75.5999984741211,85.0,1691995,2021-04-19
2021-04-26,65.0497817993164,81.25,83.75,76.0,77.0,1999786,2021-04-26
2021-05-03,66.37080383300781,82.9000015258789,85.5999984741211,79.0999984741211,81.0,779091,2021-05-03
2021-05-10,67.57172393798828,84.4000015258789,89.69999694824219,82.8499984741211,84.0,878698,2021-05-10
2021-05-17,72.49549102783203,90.55000305175781,92.80000305175781,85.0,85.0,2127950,2021-05-17
2021-05-24,76.01817321777344,94.94999694824219,102.4000015258789,90.5999984741211,91.69999694824219,5495906,2021-05-24
2021-05-31,76.37846374511719,95.4000015258789,97.9000015258789,93.0,95.5,1449807,2021-05-31
2021-06-07,89.58856964111328,111.9000015258789,125.0,95.69999694824219,96.9000015258789,18421338,2021-06-07
2021-06-14,86.26602935791016,107.75,119.4000015258789,104.0,112.4000015258789,8664939,2021-06-14
2021-06-21,86.58626556396484,108.1500015258789,111.0,104.0,104.0,3747217,2021-06-21
2021-06-28,81.02201843261719,101.19999694824219,108.05000305175781,100.30000305175781,107.5,1775019,2021-06-28
2021-07-05,86.34608459472656,107.8499984741211,113.5,102.55000305175781,102.55000305175781,6665623,2021-07-05
2021-07-12,89.4684829711914,111.75,120.0,108.0999984741211,108.69999694824219,6489992,2021-07-12
2021-07-19,80.26143646240234,100.25,116.0,99.0,111.0,4133210,2021-07-19
2021-07-26,74.17677307128906,92.6500015258789,98.0,90.5,95.19999694824219,6430917,2021-07-26
2021-08-02,73.29610443115234,91.55000305175781,94.94999694824219,89.80000305175781,93.0999984741211,1482603,2021-08-02
2021-08-09,73.09596252441406,91.30000305175781,97.30000305175781,85.94999694824219,92.0,2897494,2021-08-09
