Date,Adj Close_LCCINFOTEC.NS,Close_LCCINFOTEC.NS,High_LCCINFOTEC.NS,Low_LCCINFOTEC.NS,Open_LCCINFOTEC.NS,Volume_LCCINFOTEC.NS,Date
2020-07-13,0.25,0.25,0.25,0.25,0.25,0,2020-07-13
2020-07-20,0.25,0.25,0.25,0.25,0.25,0,2020-07-20
2020-07-27,0.25,0.25,0.25,0.25,0.25,0,2020-07-27
2020-08-03,0.25,0.25,0.25,0.25,0.25,0,2020-08-03
2020-08-10,0.25,0.25,0.25,0.25,0.25,0,2020-08-10
2020-08-17,0.25,0.25,0.25,0.25,0.25,0,2020-08-17
2020-08-24,0.25,0.25,0.25,0.25,0.25,0,2020-08-24
2020-08-31,0.25,0.25,0.25,0.25,0.25,0,2020-08-31
2020-09-07,0.25,0.25,0.25,0.25,0.25,0,2020-09-07
2020-09-14,0.25,0.25,0.25,0.25,0.25,0,2020-09-14
2020-09-21,0.25,0.25,0.25,0.25,0.25,0,2020-09-21
2020-09-28,0.25,0.25,0.25,0.25,0.25,0,2020-09-28
2020-10-05,0.25,0.25,0.25,0.25,0.25,0,2020-10-05
2020-10-12,0.25,0.25,0.25,0.25,0.25,0,2020-10-12
2020-10-19,0.25,0.25,0.25,0.25,0.25,0,2020-10-19
2020-10-26,0.25,0.25,0.25,0.25,0.25,0,2020-10-26
2020-11-02,0.25,0.25,0.25,0.25,0.25,0,2020-11-02
2020-11-09,0.25,0.25,0.25,0.25,0.25,0,2020-11-09
2020-11-16,0.25,0.25,0.25,0.25,0.25,0,2020-11-16
2020-11-23,0.25,0.25,0.25,0.25,0.25,0,2020-11-23
2020-11-30,0.25,0.25,0.25,0.25,0.25,0,2020-11-30
2020-12-07,0.25,0.25,0.25,0.25,0.25,0,2020-12-07
2020-12-14,0.25,0.25,0.25,0.25,0.25,0,2020-12-14
2020-12-21,0.25,0.25,0.25,0.25,0.25,0,2020-12-21
2020-12-28,0.25,0.25,0.25,0.25,0.25,0,2020-12-28
2021-01-04,0.25,0.25,0.25,0.25,0.25,0,2021-01-04
2021-01-11,0.25,0.25,0.25,0.25,0.25,0,2021-01-11
