Date,Adj Close_VARROC.NS,Close_VARROC.NS,High_VARROC.NS,Low_VARROC.NS,Open_VARROC.NS,Volume_VARROC.NS,Date
2020-07-13,201.89999389648438,201.89999389648438,217.5500030517578,197.0,205.5,921587,2020-07-13
2020-07-20,199.89999389648438,199.89999389648438,206.75,196.10000610351562,206.75,696266,2020-07-20
2020-07-27,196.5500030517578,196.5500030517578,205.64999389648438,186.0,198.0,813469,2020-07-27
2020-08-03,229.89999389648438,229.89999389648438,241.0,195.0,197.0,1926378,2020-08-03
2020-08-10,210.75,210.75,234.5,204.10000610351562,232.0,1643372,2020-08-10
2020-08-17,352.3500061035156,352.3500061035156,352.3500061035156,196.1999969482422,200.0,9406882,2020-08-17
2020-08-24,322.1499938964844,322.1499938964844,363.29998779296875,314.0,358.0,2743862,2020-08-24
2020-08-31,320.70001220703125,320.70001220703125,350.0,275.1000061035156,322.1499938964844,2216101,2020-08-31
2020-09-07,304.79998779296875,304.79998779296875,332.1000061035156,292.04998779296875,325.0,815980,2020-09-07
2020-09-14,317.95001220703125,317.95001220703125,334.1499938964844,308.1000061035156,309.5,1086215,2020-09-14
2020-09-21,304.8500061035156,304.8500061035156,330.0,271.25,318.1000061035156,1018394,2020-09-21
2020-09-28,310.3500061035156,310.3500061035156,322.5,303.0,313.29998779296875,540001,2020-09-28
2020-10-05,313.8500061035156,313.8500061035156,335.0,303.04998779296875,313.8999938964844,1261181,2020-10-05
2020-10-12,306.75,306.75,320.0,301.1000061035156,317.79998779296875,727518,2020-10-12
2020-10-19,305.70001220703125,305.70001220703125,313.25,294.25,310.1000061035156,527448,2020-10-19
2020-10-26,287.3500061035156,287.3500061035156,307.1499938964844,283.3500061035156,307.1000061035156,305634,2020-10-26
2020-11-02,285.95001220703125,285.95001220703125,298.0,277.20001220703125,289.25,399273,2020-11-02
2020-11-09,297.25,297.25,317.0,284.1000061035156,286.5,1224906,2020-11-09
2020-11-16,355.8999938964844,355.8999938964844,365.0,295.25,295.25,3781057,2020-11-16
2020-11-23,385.6000061035156,385.6000061035156,389.0,345.1000061035156,354.0,2356584,2020-11-23
2020-11-30,439.6000061035156,439.6000061035156,444.0,385.6000061035156,385.6000061035156,1930010,2020-11-30
2020-12-07,406.75,406.75,443.79998779296875,396.1000061035156,439.95001220703125,835574,2020-12-07
2020-12-14,377.3500061035156,377.3500061035156,415.0,375.0,409.8999938964844,617724,2020-12-14
2020-12-21,380.1000061035156,380.1000061035156,393.95001220703125,346.0,378.0,1147439,2020-12-21
2020-12-28,400.3999938964844,400.3999938964844,404.79998779296875,379.95001220703125,381.0,1323028,2020-12-28
2021-01-04,409.70001220703125,409.70001220703125,414.95001220703125,385.04998779296875,402.8999938964844,1120405,2021-01-04
2021-01-11,419.8999938964844,419.8999938964844,424.0,397.70001220703125,416.04998779296875,1106642,2021-01-11
2021-01-18,428.79998779296875,428.79998779296875,447.70001220703125,413.45001220703125,422.95001220703125,1007995,2021-01-18
2021-01-25,420.04998779296875,420.04998779296875,434.70001220703125,406.0,429.8500061035156,483553,2021-01-25
2021-02-01,446.20001220703125,446.20001220703125,461.1000061035156,414.04998779296875,420.04998779296875,621206,2021-02-01
2021-02-08,394.54998779296875,394.54998779296875,477.6499938964844,390.1499938964844,450.0,1747216,2021-02-08
2021-02-15,407.0,407.0,412.1000061035156,381.5,401.0,955046,2021-02-15
2021-02-22,403.8999938964844,403.8999938964844,418.0,391.25,407.0,461014,2021-02-22
2021-03-01,410.04998779296875,410.04998779296875,424.6000061035156,402.75,410.8999938964844,447650,2021-03-01
2021-03-08,398.04998779296875,398.04998779296875,416.79998779296875,395.0,412.45001220703125,351764,2021-03-08
2021-03-15,385.1000061035156,385.1000061035156,406.70001220703125,371.0,399.0,760556,2021-03-15
2021-03-22,381.75,381.75,417.0,365.1000061035156,391.8999938964844,1307560,2021-03-22
2021-03-29,378.29998779296875,378.29998779296875,394.3999938964844,360.0,381.75,554604,2021-03-29
2021-04-05,374.75,374.75,384.3999938964844,370.0,376.29998779296875,279086,2021-04-05
2021-04-12,350.1499938964844,350.1499938964844,371.3500061035156,337.8500061035156,371.1000061035156,829057,2021-04-12
2021-04-19,370.6000061035156,370.6000061035156,376.0,336.04998779296875,340.0,282272,2021-04-19
2021-04-26,370.8500061035156,370.8500061035156,397.75,361.54998779296875,375.0,636228,2021-04-26
2021-05-03,381.1000061035156,381.1000061035156,394.29998779296875,363.25,371.0,294278,2021-05-03
2021-05-10,374.45001220703125,374.45001220703125,398.79998779296875,372.1000061035156,381.04998779296875,432508,2021-05-10
2021-05-17,419.3500061035156,419.3500061035156,425.0,372.1000061035156,377.0,1782668,2021-05-17
2021-05-24,410.45001220703125,410.45001220703125,430.0,395.04998779296875,422.0,936943,2021-05-24
2021-05-31,434.1499938964844,434.1499938964844,443.70001220703125,408.0,414.8999938964844,976923,2021-05-31
2021-06-07,374.95001220703125,374.95001220703125,405.0,373.54998779296875,405.0,3801877,2021-06-07
2021-06-14,374.1499938964844,374.1499938964844,388.0,368.0,377.79998779296875,1145157,2021-06-14
2021-06-21,371.75,371.75,379.0,366.3500061035156,372.0,372075,2021-06-21
2021-06-28,376.04998779296875,376.04998779296875,382.0,365.20001220703125,375.0,653908,2021-06-28
2021-07-05,357.25,357.25,383.1000061035156,353.04998779296875,381.0,849735,2021-07-05
2021-07-12,351.25,351.25,361.79998779296875,348.75,357.25,660732,2021-07-12
2021-07-19,341.54998779296875,341.54998779296875,355.79998779296875,339.0,351.04998779296875,433984,2021-07-19
2021-07-26,339.6000061035156,339.6000061035156,347.0,328.20001220703125,342.79998779296875,814614,2021-07-26
2021-08-02,333.5,333.5,342.54998779296875,328.0,341.0,689060,2021-08-02
2021-08-09,308.6000061035156,308.6000061035156,343.20001220703125,306.70001220703125,335.8999938964844,963382,2021-08-09
2021-08-16,274.29998779296875,274.29998779296875,311.54998779296875,272.1499938964844,311.0,806806,2021-08-16
2021-08-23,292.3999938964844,292.3999938964844,302.3999938964844,271.0,279.0,687912,2021-08-23
2021-08-30,280.70001220703125,280.70001220703125,303.04998779296875,278.0,294.8999938964844,1087140,2021-08-30
2021-09-06,273.6000061035156,273.6000061035156,287.0,270.04998779296875,284.45001220703125,1069086,2021-09-06
2021-09-13,309.25,309.25,319.79998779296875,260.0,275.79998779296875,7099078,2021-09-13
2021-09-20,290.54998779296875,290.54998779296875,307.95001220703125,289.5,305.20001220703125,1446167,2021-09-20
2021-09-27,299.6000061035156,299.6000061035156,306.79998779296875,283.1000061035156,292.79998779296875,2778880,2021-09-27
2021-10-04,306.79998779296875,306.79998779296875,311.6499938964844,294.1499938964844,299.5,1577762,2021-10-04
2021-10-11,306.5,306.5,310.0,298.04998779296875,308.3999938964844,1335041,2021-10-11
2021-10-18,302.25,302.25,333.5,292.5,307.1000061035156,5401055,2021-10-18
2021-10-25,294.25,294.25,306.70001220703125,285.20001220703125,305.95001220703125,786195,2021-10-25
2021-11-01,295.0,295.0,299.75,283.79998779296875,295.0,543404,2021-11-01
2021-11-08,280.0,280.0,299.0,277.25,296.6000061035156,1710028,2021-11-08
2021-11-15,314.75,314.75,318.0,275.0,280.04998779296875,4169193,2021-11-15
2021-11-22,295.1000061035156,295.1000061035156,317.6499938964844,290.0,317.0,1309411,2021-11-22
2021-11-29,295.6499938964844,295.6499938964844,304.0,281.0,292.0,731657,2021-11-29
2021-12-06,332.5,332.5,337.5,284.04998779296875,295.8999938964844,3613655,2021-12-06
2021-12-13,330.75,330.75,351.8999938964844,315.54998779296875,332.5,3366951,2021-12-13
2021-12-20,311.5,311.5,328.54998779296875,295.0,327.1499938964844,1102689,2021-12-20
2021-12-27,332.3500061035156,332.3500061035156,334.79998779296875,308.5,310.0,680804,2021-12-27
2022-01-03,370.95001220703125,370.95001220703125,380.0,335.70001220703125,342.70001220703125,7101571,2022-01-03
2022-01-10,446.3999938964844,446.3999938964844,458.0,363.70001220703125,373.0,16393426,2022-01-10
2022-01-17,421.3500061035156,421.3500061035156,453.0,418.0,446.5,3260218,2022-01-17
2022-01-24,401.45001220703125,401.45001220703125,426.54998779296875,372.0,421.1000061035156,1578022,2022-01-24
2022-01-31,414.70001220703125,414.70001220703125,433.5,387.6000061035156,402.1000061035156,1840482,2022-01-31
2022-02-07,400.20001220703125,400.20001220703125,426.0,392.79998779296875,419.0,933782,2022-02-07
2022-02-14,376.1499938964844,376.1499938964844,403.5,349.3500061035156,382.0,1836983,2022-02-14
2022-02-21,365.29998779296875,365.29998779296875,380.29998779296875,338.54998779296875,378.0,1908285,2022-02-21
2022-02-28,312.75,312.75,366.3999938964844,310.04998779296875,363.3999938964844,1224530,2022-02-28
2022-03-07,328.1000061035156,328.1000061035156,332.75,285.5,307.0,1531467,2022-03-07
2022-03-14,333.25,333.25,336.1499938964844,314.79998779296875,329.0,644330,2022-03-14
2022-03-21,319.8999938964844,319.8999938964844,337.0,303.0,333.25,1276401,2022-03-21
2022-03-28,369.54998779296875,369.54998779296875,382.0,315.6000061035156,323.0,1488680,2022-03-28
2022-04-04,398.8999938964844,398.8999938964844,412.0,361.6000061035156,374.5,4414101,2022-04-04
2022-04-11,400.1000061035156,400.1000061035156,421.0,383.0,401.0,2192910,2022-04-11
2022-04-18,421.04998779296875,421.04998779296875,453.1000061035156,387.8500061035156,400.0,6585434,2022-04-18
2022-04-25,444.45001220703125,444.45001220703125,493.8500061035156,390.20001220703125,418.20001220703125,14529820,2022-04-25
2022-05-02,390.1000061035156,390.1000061035156,463.5,362.20001220703125,439.0,16551700,2022-05-02
2022-05-09,336.20001220703125,336.20001220703125,389.0,330.0,389.0,3040771,2022-05-09
2022-05-16,353.3500061035156,353.3500061035156,373.95001220703125,335.8999938964844,339.79998779296875,2549262,2022-05-16
2022-05-23,360.1000061035156,360.1000061035156,368.29998779296875,345.20001220703125,352.8999938964844,1362807,2022-05-23
2022-05-30,340.6499938964844,340.6499938964844,366.79998779296875,338.5,362.0,1236425,2022-05-30
2022-06-06,344.0,344.0,353.0,332.5,335.1499938964844,798317,2022-06-06
2022-06-13,303.79998779296875,303.79998779296875,343.70001220703125,298.25,343.70001220703125,806272,2022-06-13
2022-06-20,310.70001220703125,310.70001220703125,329.25,290.0,307.45001220703125,1820352,2022-06-20
2022-06-27,306.1000061035156,306.1000061035156,317.0,294.29998779296875,314.70001220703125,1420984,2022-06-27
2022-07-04,312.3500061035156,312.3500061035156,318.70001220703125,300.0,305.54998779296875,611152,2022-07-04
2022-07-11,307.3500061035156,307.3500061035156,323.0,304.0,312.20001220703125,404451,2022-07-11
2022-07-18,336.3999938964844,336.3999938964844,347.0,310.20001220703125,311.0,1334415,2022-07-18
2022-07-25,348.3999938964844,348.3999938964844,358.0,316.3999938964844,338.04998779296875,1024097,2022-07-25
