Date,Adj Close_MATRIMONY.NS,Close_MATRIMONY.NS,High_MATRIMONY.NS,Low_MATRIMONY.NS,Open_MATRIMONY.NS,Volume_MATRIMONY.NS,Date
2020-07-13,380.214599609375,389.5,400.0,363.6000061035156,387.95001220703125,9788,2020-07-13
2020-07-20,593.652099609375,608.1500244140625,639.2000122070312,380.0,392.8999938964844,792680,2020-07-20
2020-07-27,551.1403198242188,564.5999755859375,607.0,550.0999755859375,599.0,90946,2020-07-27
2020-08-03,575.0562133789062,589.0999755859375,667.0,550.0,560.0,158923,2020-08-03
2020-08-10,550.847412109375,564.2999877929688,637.0,556.0,590.0499877929688,41951,2020-08-10
2020-08-17,547.2844848632812,560.6500244140625,598.0,550.0,598.0,48971,2020-08-17
2020-08-24,564.0744018554688,577.8499755859375,639.4000244140625,531.7999877929688,552.0,402268,2020-08-24
2020-08-31,554.0687866210938,567.5999755859375,590.0,522.5,578.0,61428,2020-08-31
2020-09-07,536.693115234375,549.7999877929688,576.7999877929688,523.0499877929688,552.0,40431,2020-09-07
2020-09-14,585.2571411132812,599.5499877929688,678.3499755859375,549.0,549.0,306642,2020-09-14
2020-09-21,557.5342407226562,571.1500244140625,604.2000122070312,537.25,604.0,50380,2020-09-21
2020-09-28,631.624755859375,647.0499877929688,678.0,585.0,585.0,112049,2020-09-28
2020-10-05,651.14794921875,667.0499877929688,770.0,649.1500244140625,663.9000244140625,269225,2020-10-05
2020-10-12,640.3614501953125,656.0,698.7999877929688,641.2999877929688,683.9500122070312,38877,2020-10-12
2020-10-19,655.97998046875,672.0,729.4000244140625,654.2000122070312,665.2000122070312,59930,2020-10-19
2020-10-26,636.1151733398438,651.6500244140625,678.6500244140625,613.9500122070312,678.6500244140625,24829,2020-10-26
2020-11-02,644.0707397460938,659.7999877929688,697.0,601.8499755859375,674.0,77102,2020-11-02
2020-11-09,633.5770874023438,649.0499877929688,673.0,622.0,667.7000122070312,69678,2020-11-09
2020-11-16,614.9324340820312,629.9500122070312,659.9500122070312,615.1500244140625,637.7000122070312,25889,2020-11-16
2020-11-23,713.7686767578125,731.2000122070312,754.75,616.8499755859375,634.5999755859375,1082890,2020-11-23
2020-11-30,852.0418090820312,872.8499755859375,872.8499755859375,667.0,731.2000122070312,196719,2020-11-30
2020-12-07,808.1634521484375,827.9000244140625,917.0,793.0499877929688,880.4000244140625,245416,2020-12-07
2020-12-14,798.1089477539062,817.5999755859375,867.0,807.5999755859375,836.0999755859375,101665,2020-12-14
2020-12-21,796.5470581054688,816.0,844.0,747.5,833.9500122070312,89238,2020-12-21
2020-12-28,898.6535034179688,920.5999755859375,969.9000244140625,802.25,816.0,385842,2020-12-28
2021-01-04,829.8829956054688,850.1500244140625,933.75,842.0,926.0,116378,2021-01-04
2021-01-11,807.4801025390625,827.2000122070312,864.7999877929688,802.6500244140625,851.1500244140625,49437,2021-01-11
2021-01-18,797.4744262695312,816.9500122070312,850.3499755859375,783.0,834.0,39126,2021-01-18
