Date,Adj Close_NEWGEN.NS,Close_NEWGEN.NS,High_NEWGEN.NS,Low_NEWGEN.NS,Open_NEWGEN.NS,Volume_NEWGEN.NS,Date
2020-07-13,82.88292694091797,86.32499694824219,89.57499694824219,83.5250015258789,83.5250015258789,387942,2020-07-13
2020-07-20,90.17987823486328,93.92500305175781,108.5,86.5250015258789,88.4000015258789,4085972,2020-07-20
2020-07-27,84.67997741699219,87.17500305175781,95.9749984741211,86.5999984741211,95.0,707484,2020-07-27
2020-08-03,85.99134063720703,88.5250015258789,92.4749984741211,86.5,87.9749984741211,411740,2020-08-03
2020-08-10,86.79271697998047,89.3499984741211,92.5,88.0,90.0,492286,2020-08-10
2020-08-17,95.48656463623047,98.30000305175781,104.6500015258789,88.92500305175781,90.44999694824219,1869362,2020-08-17
2020-08-24,102.96617889404297,106.0,110.9000015258789,97.0,98.0250015258789,1495012,2020-08-24
2020-08-31,98.42498016357422,101.32499694824219,106.2750015258789,99.0,105.0250015258789,445620,2020-08-31
2020-09-07,101.65482330322266,104.6500015258789,108.125,99.4000015258789,101.8499984741211,486796,2020-09-07
2020-09-14,107.19168090820312,110.3499984741211,114.5,104.19999694824219,105.17500305175781,903402,2020-09-14
2020-09-21,108.26020050048828,111.44999694824219,123.69999694824219,101.0250015258789,110.3499984741211,1621360,2020-09-21
2020-09-28,106.63314056396484,109.7750015258789,113.0,107.6500015258789,113.0,232162,2020-09-28
2020-10-05,109.15872192382812,112.375,120.0,110.07499694824219,112.5,981304,2020-10-05
2020-10-12,105.54034423828125,108.6500015258789,117.4000015258789,102.1500015258789,113.44999694824219,1284780,2020-10-12
2020-10-19,119.89246368408203,123.42500305175781,134.75,109.19999694824219,109.19999694824219,7400824,2020-10-19
2020-10-26,126.10929107666016,129.8249969482422,131.47500610351562,98.75,124.05000305175781,1887046,2020-10-26
2020-11-02,124.21510314941406,127.875,131.0,122.5,130.6999969482422,919246,2020-11-02
2020-11-09,130.65049743652344,134.5,140.0500030517578,127.80000305175781,129.5,2193832,2020-11-09
2020-11-16,132.1318359375,136.02499389648438,144.64999389648438,131.77499389648438,131.77499389648438,1426150,2020-11-16
2020-11-23,131.69471740722656,135.5749969482422,137.5,132.52499389648438,136.5,539200,2020-11-23
2020-11-30,131.69471740722656,135.5749969482422,140.0,132.72500610351562,135.5749969482422,665838,2020-11-30
2020-12-07,129.2905731201172,133.10000610351562,138.72500610351562,132.5,136.0,419090,2020-12-07
2020-12-14,130.8933563232422,134.75,136.75,130.0500030517578,135.1750030517578,677654,2020-12-14
2020-12-21,131.08761596679688,134.9499969482422,141.0,120.69999694824219,133.75,1036558,2020-12-21
2020-12-28,132.47183227539062,136.375,140.0,134.0,135.625,491582,2020-12-28
2021-01-04,148.81527709960938,153.1999969482422,158.10000610351562,133.3249969482422,138.85000610351562,2521132,2021-01-04
2021-01-11,148.52386474609375,152.89999389648438,158.0,145.5749969482422,154.4499969482422,1733446,2021-01-11
