Date,Adj Close_PFIZER.NS,Close_PFIZER.NS,High_PFIZER.NS,Low_PFIZER.NS,Open_PFIZER.NS,Volume_PFIZER.NS,Date
2020-07-13,3981.156005859375,4132.60009765625,4218.14990234375,4082.5,4179.89990234375,75552,2020-07-13
2020-07-20,4183.70068359375,4342.85009765625,4378.75,4115.0,4149.0,346711,2020-07-20
2020-07-27,4120.98681640625,4277.75,4450.0,4179.89990234375,4415.0,365559,2020-07-27
2020-08-03,4222.861328125,4383.5,4474.4501953125,4277.0,4295.0,242702,2020-08-03
2020-08-10,4320.59375,4484.9501953125,4787.7001953125,4393.5,4400.0,433329,2020-08-10
2020-08-17,4435.08837890625,4603.7998046875,4618.5,4484.9501953125,4499.0,175640,2020-08-17
2020-08-24,4566.0087890625,4739.7001953125,4930.0,4617.25,4625.0,372037,2020-08-24
2020-08-31,4609.03173828125,4774.5,4849.89990234375,4466.60009765625,4770.0498046875,200786,2020-08-31
2020-09-07,4703.732421875,4872.60009765625,5239.0,4750.0,4800.0,739576,2020-09-07
2020-09-14,4815.2294921875,4988.10009765625,5120.0,4886.0,4999.9501953125,393764,2020-09-14
2020-09-21,4749.0068359375,4919.5,5088.0,4679.0498046875,5031.0498046875,302388,2020-09-21
2020-09-28,4731.87255859375,4901.75,5150.0,4860.0,5100.0,195877,2020-09-28
2020-10-05,4847.85791015625,5021.89990234375,5027.14990234375,4863.0498046875,4929.0,186808,2020-10-05
2020-10-12,4801.666015625,4974.0498046875,5037.25,4905.5,5016.0,127497,2020-10-12
2020-10-19,4942.41357421875,5119.85009765625,5179.0,4960.0,5001.0,212523,2020-10-19
2020-10-26,4812.1884765625,4984.9501953125,5269.0,4956.9501953125,5151.0,187652,2020-10-26
2020-11-02,4759.72265625,4930.60009765625,5056.89990234375,4900.0,5039.89990234375,161791,2020-11-02
2020-11-09,4959.7900390625,5137.85009765625,5900.0,4887.0,4910.0,2295817,2020-11-09
2020-11-16,4885.12060546875,5060.5,5218.0,4900.0498046875,5118.2001953125,905803,2020-11-16
2020-11-23,4927.595703125,5104.5,5177.0,5052.0,5120.0,332581,2020-11-23
2020-11-30,5073.26611328125,5255.39990234375,5436.60009765625,5085.0,5104.5,1775203,2020-11-30
2020-12-07,5098.123046875,5281.14990234375,5427.89990234375,5100.2001953125,5386.9501953125,956282,2020-12-07
2020-12-14,5018.7236328125,5198.89990234375,5398.0,5126.0,5398.0,518982,2020-12-14
2020-12-21,5044.208984375,5225.2998046875,5280.0,5010.0,5215.14990234375,358449,2020-12-21
2020-12-28,5096.43408203125,5279.39990234375,5450.0,5100.0,5230.0,798907,2020-12-28
2021-01-04,4952.2119140625,5130.0,5327.60009765625,5102.0,5300.0,473048,2021-01-04
2021-01-11,4941.1103515625,5118.5,5219.9501953125,5103.0,5150.0,249681,2021-01-11
2021-01-18,4651.4111328125,4818.39990234375,5000.0,4787.0,4965.0,295819,2021-01-18
2021-01-25,4476.39453125,4637.10009765625,4825.0,4620.0,4825.0,196971,2021-01-25
2021-02-01,4356.064453125,4512.4501953125,4662.64990234375,4425.0,4649.9501953125,388425,2021-02-01
2021-02-08,4261.3154296875,4414.2998046875,4586.25,4395.0,4579.0,222426,2021-02-08
2021-02-15,4367.6962890625,4524.5,4673.85009765625,4412.60009765625,4469.0,254906,2021-02-15
2021-02-22,4394.001953125,4551.75,4597.0,4410.0,4562.89990234375,277956,2021-02-22
2021-03-01,4474.12548828125,4634.75,4685.0,4526.0,4560.0,235141,2021-03-01
2021-03-08,4490.63232421875,4651.85009765625,4770.0,4621.5498046875,4650.0,280372,2021-03-08
2021-03-15,4242.1044921875,4394.39990234375,4689.60009765625,4330.0,4689.60009765625,201206,2021-03-15
2021-03-22,4218.40576171875,4369.85009765625,4575.0,4360.0,4395.0,226273,2021-03-22
2021-03-29,4393.759765625,4551.5,4589.0,4369.85009765625,4369.85009765625,153721,2021-03-29
2021-04-05,4635.626953125,4802.0498046875,4832.9501953125,4550.0,4575.0,220249,2021-04-05
2021-04-12,5037.693359375,5218.5498046875,5292.0,4704.0498046875,4859.0,1263032,2021-04-12
2021-04-19,4996.328125,5175.7001953125,5680.0,5130.0,5228.0,1815176,2021-04-19
