Date,Adj Close_SRHHYPOLTD.NS,Close_SRHHYPOLTD.NS,High_SRHHYPOLTD.NS,Low_SRHHYPOLTD.NS,Open_SRHHYPOLTD.NS,Volume_SRHHYPOLTD.NS,Date
2020-07-13,159.1483917236328,165.10000610351562,170.60000610351562,159.25,167.39999389648438,109785,2020-07-13
2020-07-20,142.95399475097656,148.3000030517578,172.0,146.4499969482422,169.89999389648438,133840,2020-07-20
2020-07-27,147.2435760498047,152.75,164.14999389648438,145.0500030517578,152.0,57974,2020-07-27
2020-08-03,168.98068237304688,175.3000030517578,187.0,152.75,152.75,75606,2020-08-03
2020-08-10,168.40231323242188,174.6999969482422,185.0,169.5500030517578,177.0,79566,2020-08-10
2020-08-17,174.66799926757812,181.1999969482422,195.75,164.75,176.0,124616,2020-08-17
2020-08-24,169.0770721435547,175.39999389648438,192.5,164.1999969482422,183.60000610351562,138562,2020-08-24
2020-08-31,161.8956298828125,167.9499969482422,180.89999389648438,155.5,179.75,59317,2020-08-31
2020-09-07,169.9446258544922,176.3000030517578,180.0,157.0,170.0,58751,2020-09-07
2020-09-14,177.2706756591797,183.89999389648438,207.0,176.35000610351562,177.10000610351562,289291,2020-09-14
2020-09-21,162.47401428222656,168.5500030517578,188.0,161.0,188.0,111548,2020-09-21
2020-09-28,164.01634216308594,170.14999389648438,175.25,161.5500030517578,171.0,39589,2020-09-28
2020-10-05,180.45169067382812,187.1999969482422,200.0,172.0,172.0,133067,2020-10-05
2020-10-12,168.8361053466797,175.14999389648438,189.1999969482422,171.0,185.0,43455,2020-10-12
2020-10-19,167.39016723632812,173.64999389648438,178.89999389648438,168.10000610351562,178.5,35163,2020-10-19
2020-10-26,166.1370391845703,172.35000610351562,184.0,170.0500030517578,177.9499969482422,60869,2020-10-26
2020-11-02,178.1382293701172,184.8000030517578,190.35000610351562,169.0,172.0500030517578,82019,2020-11-02
2020-11-09,219.63632202148438,227.85000610351562,228.5,176.9499969482422,187.5,295322,2020-11-09
2020-11-16,220.16648864746094,228.39999389648438,237.9499969482422,190.4499969482422,190.4499969482422,301767,2020-11-16
2020-11-23,251.35968017578125,257.75,273.79998779296875,228.10000610351562,233.0,848601,2020-11-23
2020-11-30,231.56297302246094,237.4499969482422,260.0,208.8000030517578,257.75,89676,2020-11-30
2020-12-07,232.39190673828125,238.3000030517578,250.0,236.0,238.0,84550,2020-12-07
2020-12-14,242.5828094482422,248.75,260.0,233.9499969482422,241.4499969482422,222595,2020-12-14
2020-12-21,233.95220947265625,239.89999389648438,254.0,221.39999389648438,250.0,107562,2020-12-21
2020-12-28,246.19107055664062,252.4499969482422,257.0,231.5,245.0,139201,2020-12-28
2021-01-04,244.19190979003906,250.39999389648438,261.8999938964844,241.5,254.0,224681,2021-01-04
2021-01-11,238.6332244873047,244.6999969482422,255.0,240.39999389648438,254.5,72587,2021-01-11
2021-01-18,231.85552978515625,237.75,249.0,235.85000610351562,241.0,81573,2021-01-18
2021-01-25,221.4208221435547,227.0500030517578,244.39999389648438,220.1999969482422,244.39999389648438,54441,2021-01-25
2021-02-01,228.68609619140625,234.5,237.60000610351562,223.1999969482422,226.0,63635,2021-02-01
2021-02-08,230.24644470214844,236.10000610351562,250.0,230.6999969482422,233.0500030517578,146569,2021-02-08
2021-02-15,232.58694458007812,238.5,258.0,237.0,248.0,207798,2021-02-15
2021-02-22,224.20013427734375,229.89999389648438,241.0,226.64999389648438,240.0,94822,2021-02-22
2021-03-01,278.0316162109375,285.1000061035156,313.1499938964844,233.10000610351562,234.0,1189151,2021-03-01
2021-03-08,268.1820068359375,275.0,295.0,267.25,289.8999938964844,129226,2021-03-08
2021-03-15,244.24066162109375,250.4499969482422,291.8500061035156,233.75,274.0,152982,2021-03-15
2021-03-22,226.68692016601562,232.4499969482422,254.64999389648438,228.3000030517578,253.0,99790,2021-03-22
