Date,Adj Close_AETHER.NS,Close_AETHER.NS,High_AETHER.NS,Low_AETHER.NS,Open_AETHER.NS,Volume_AETHER.NS,Date
2022-05-30,774.4000244140625,774.4000244140625,774.4000244140625,701.0,704.0,3932403,2022-05-30
2022-06-06,786.0999755859375,786.0999755859375,833.7999877929688,706.7000122070312,792.9000244140625,12412236,2022-06-06
2022-06-13,770.5499877929688,770.5499877929688,827.7000122070312,751.0499877929688,770.0,1567396,2022-06-13
2022-06-20,764.0,764.0,782.6500244140625,735.5999755859375,768.0,544816,2022-06-20
2022-06-27,774.3499755859375,774.3499755859375,794.9500122070312,759.2999877929688,770.0499877929688,361765,2022-06-27
2022-07-04,828.7000122070312,828.7000122070312,874.0,762.0,767.25,1045200,2022-07-04
2022-07-11,853.7000122070312,853.7000122070312,882.0,815.0,828.0,574333,2022-07-11
2022-07-18,915.0999755859375,915.0999755859375,1006.8499755859375,862.0,867.75,1839999,2022-07-18
2022-07-25,847.5499877929688,847.5499877929688,940.2999877929688,835.25,922.0,851317,2022-07-25
2022-08-01,824.5999755859375,824.5999755859375,874.7000122070312,815.0,855.0,479205,2022-08-01
2022-08-08,835.0499877929688,835.0499877929688,856.4500122070312,815.75,833.0,295436,2022-08-08
2022-08-15,857.4500122070312,857.4500122070312,864.9000244140625,802.0999755859375,835.0499877929688,239133,2022-08-15
2022-08-22,845.8499755859375,845.8499755859375,874.0,842.0,864.4500122070312,230937,2022-08-22
2022-08-29,918.5999755859375,918.5999755859375,950.25,815.0,825.0,644861,2022-08-29
2022-09-05,880.0499877929688,880.0499877929688,925.9500122070312,875.5499877929688,925.9500122070312,279851,2022-09-05
2022-09-12,1021.0999755859375,1021.0999755859375,1048.9000244140625,882.5,892.0,1011982,2022-09-12
2022-09-19,941.7000122070312,941.7000122070312,1048.0,935.0,1048.0,591808,2022-09-19
2022-09-26,913.0,913.0,938.0,880.0,936.0,421928,2022-09-26
2022-10-03,969.6500244140625,969.6500244140625,1017.0499877929688,901.5499877929688,920.9000244140625,388173,2022-10-03
2022-10-10,951.0499877929688,951.0499877929688,1015.0,931.5,965.9500122070312,266015,2022-10-10
2022-10-17,961.6500244140625,961.6500244140625,979.9500122070312,935.0,950.0,245757,2022-10-17
2022-10-24,956.0499877929688,956.0499877929688,1030.0,940.0,969.6500244140625,444743,2022-10-24
2022-10-31,944.0,944.0,992.7000122070312,942.0499877929688,963.5999755859375,221078,2022-10-31
2022-11-07,882.1500244140625,882.1500244140625,951.0,878.0,945.0,275953,2022-11-07
2022-11-14,978.4000244140625,978.4000244140625,990.0,860.0,880.0,641355,2022-11-14
2022-11-21,904.0,904.0,995.0,901.0,976.0,413583,2022-11-21
2022-11-28,907.5,907.5,917.9000244140625,891.0,910.0,135267,2022-11-28
2022-12-05,902.5999755859375,902.5999755859375,929.5,895.8499755859375,906.3499755859375,190213,2022-12-05
2022-12-12,879.5,879.5,908.0,875.0499877929688,908.0,114783,2022-12-12
2022-12-19,818.3499755859375,818.3499755859375,901.5499877929688,810.0,879.5,263799,2022-12-19
2022-12-26,839.1500244140625,839.1500244140625,852.0,815.1500244140625,834.7000122070312,132619,2022-12-26
2023-01-02,842.25,842.25,858.0499877929688,838.0499877929688,849.0,712920,2023-01-02
2023-01-09,864.2999877929688,864.2999877929688,914.0,850.1500244140625,862.4000244140625,179121,2023-01-09
2023-01-16,894.9000244140625,894.9000244140625,907.0,861.0,869.2999877929688,278722,2023-01-16
2023-01-23,877.5,877.5,971.0,872.5999755859375,904.4000244140625,325194,2023-01-23
2023-01-30,871.1500244140625,871.1500244140625,907.75,857.4000244140625,887.4500122070312,133310,2023-01-30
2023-02-06,898.8499755859375,898.8499755859375,909.6500244140625,872.0999755859375,875.9500122070312,104353,2023-02-06
2023-02-13,899.9000244140625,899.9000244140625,905.0,843.5,895.0,157829,2023-02-13
2023-02-20,877.5,877.5,913.75,868.0999755859375,907.0,90290,2023-02-20
2023-02-27,887.2999877929688,887.2999877929688,910.0,865.0,877.5,117108,2023-02-27
2023-03-06,870.4500122070312,870.4500122070312,897.9500122070312,840.0,889.0,143322,2023-03-06
2023-03-13,867.2000122070312,867.2000122070312,874.8499755859375,848.8499755859375,871.0499877929688,122575,2023-03-13
2023-03-20,885.75,885.75,899.0,850.0,850.0,114429,2023-03-20
2023-03-27,936.5499877929688,936.5499877929688,949.0,855.5499877929688,885.9500122070312,215838,2023-03-27
2023-04-03,901.7999877929688,901.7999877929688,949.5,895.0,936.5499877929688,119518,2023-04-03
2023-04-10,922.5999755859375,922.5999755859375,934.0,899.5499877929688,903.9500122070312,123673,2023-04-10
2023-04-17,984.3499755859375,984.3499755859375,987.4000244140625,916.5,934.0,358032,2023-04-17
2023-04-24,947.5999755859375,947.5999755859375,999.0,931.5499877929688,991.9500122070312,204414,2023-04-24
2023-05-01,991.7000122070312,991.7000122070312,1003.4000244140625,943.3499755859375,947.5999755859375,215444,2023-05-01
2023-05-08,925.75,925.75,1008.9500122070312,906.0999755859375,999.25,452003,2023-05-08
2023-05-15,917.8499755859375,917.8499755859375,934.1500244140625,901.0,931.25,102255,2023-05-15
2023-05-22,905.9500122070312,905.9500122070312,925.3499755859375,898.0,924.25,111654,2023-05-22
2023-05-29,917.8499755859375,917.8499755859375,927.0,895.0,910.3499755859375,495506,2023-05-29
2023-06-05,1007.4000244140625,1007.4000244140625,1055.0,912.6500244140625,927.0,1200490,2023-06-05
2023-06-12,997.4500122070312,997.4500122070312,1035.0,984.6500244140625,1015.0,288006,2023-06-12
2023-06-19,1128.699951171875,1128.699951171875,1209.0,985.5,1000.9500122070312,3185816,2023-06-19
2023-06-26,1067.9000244140625,1067.9000244140625,1124.5,1060.0,1120.0,504618,2023-06-26
2023-07-03,1077.300048828125,1077.300048828125,1110.0,1047.0,1078.800048828125,556344,2023-07-03
2023-07-10,1073.449951171875,1073.449951171875,1097.0,1044.0,1082.3499755859375,621355,2023-07-10
2023-07-17,1067.050048828125,1067.050048828125,1110.0,1040.550048828125,1097.0,528050,2023-07-17
2023-07-24,1024.300048828125,1024.300048828125,1094.4000244140625,1003.3499755859375,1074.0,598960,2023-07-24
2023-07-31,1039.5,1039.5,1108.75,1024.75,1029.6500244140625,472013,2023-07-31
2023-08-07,1065.300048828125,1065.300048828125,1085.699951171875,1027.5,1044.449951171875,332662,2023-08-07
2023-08-14,1050.8499755859375,1050.8499755859375,1092.0,1033.3499755859375,1090.300048828125,298751,2023-08-14
2023-08-21,1049.4000244140625,1049.4000244140625,1071.9000244140625,1030.300048828125,1049.0,440141,2023-08-21
