Date,Adj Close_CRAFTSMAN.NS,Close_CRAFTSMAN.NS,High_CRAFTSMAN.NS,Low_CRAFTSMAN.NS,Open_CRAFTSMAN.NS,Volume_CRAFTSMAN.NS,Date
2021-03-22,1482.9215087890625,1494.5,1530.0,1350.0,1359.0,4481833,2021-03-22
2021-03-29,1437.823486328125,1449.050048828125,1510.0,1409.949951171875,1494.5,383454,2021-03-29
2021-04-05,1433.606689453125,1444.800048828125,1488.949951171875,1422.0,1435.0,265613,2021-04-05
2021-04-12,1327.931640625,1338.300048828125,1430.0,1335.0,1423.0,183223,2021-04-12
2021-04-19,1274.1514892578125,1284.0999755859375,1339.699951171875,1245.0,1314.0,337624,2021-04-19
2021-04-26,1335.175048828125,1345.5999755859375,1377.75,1285.0,1290.0,298793,2021-04-26
2021-05-03,1474.189697265625,1485.699951171875,1499.0,1291.75,1345.1500244140625,479515,2021-05-03
2021-05-10,1520.3790283203125,1532.25,1574.0,1491.550048828125,1517.0,774405,2021-05-10
2021-05-17,1465.01123046875,1476.449951171875,1550.0,1460.0,1547.0,580607,2021-05-17
2021-05-24,1627.1949462890625,1639.9000244140625,1685.0,1470.5,1480.0,732445,2021-05-24
2021-05-31,1778.0174560546875,1791.9000244140625,1807.699951171875,1623.5999755859375,1643.0,672170,2021-05-31
2021-06-07,1783.2762451171875,1797.199951171875,1854.9000244140625,1771.300048828125,1795.0,318312,2021-06-07
2021-06-14,1687.27587890625,1700.449951171875,1805.050048828125,1685.0,1797.0,150762,2021-06-14
2021-06-21,1729.4962158203125,1743.0,1815.0,1648.5,1675.0,120262,2021-06-21
2021-06-28,1839.6363525390625,1854.0,1914.0,1720.5,1733.0,224416,2021-06-28
2021-07-05,1996.80908203125,2012.4000244140625,2094.0,1894.5,1923.0,532727,2021-07-05
2021-07-12,2085.913330078125,2102.199951171875,2176.0,2018.5999755859375,2034.699951171875,829125,2021-07-12
2021-07-19,2016.802978515625,2032.550048828125,2145.10009765625,2001.5,2100.0,219959,2021-07-19
2021-07-26,1987.9781494140625,2003.5,2047.5,1944.0,2039.0,179371,2021-07-26
2021-08-02,1981.974853515625,1997.449951171875,2073.449951171875,1950.0,2019.0,251593,2021-08-02
2021-08-09,1983.314453125,1998.800048828125,2053.0,1895.0,2019.800048828125,146501,2021-08-09
2021-08-16,1905.8194580078125,1920.699951171875,2039.0,1903.0,2039.0,73173,2021-08-16
2021-08-23,1921.9932861328125,1937.0,1952.0,1838.800048828125,1931.0,87033,2021-08-23
2021-08-30,1967.6865234375,1983.050048828125,2100.0,1834.800048828125,1952.0,150116,2021-08-30
2021-09-06,1962.8245849609375,1978.1500244140625,2025.0,1953.050048828125,1998.25,52442,2021-09-06
2021-09-13,1962.7747802734375,1978.0999755859375,2019.0,1940.6500244140625,1965.0,79166,2021-09-13
2021-09-20,2099.65625,2116.050048828125,2242.0,1929.0,1985.0,432423,2021-09-20
2021-09-27,2090.4775390625,2106.800048828125,2160.0,2049.5,2129.949951171875,108110,2021-09-27
2021-10-04,2166.236083984375,2183.14990234375,2328.0,2072.64990234375,2129.89990234375,271515,2021-10-04
2021-10-11,2367.31591796875,2385.800048828125,2540.0,2232.39990234375,2234.0,299882,2021-10-11
2021-10-18,2391.179931640625,2409.85009765625,2710.0,2400.0,2438.0,399976,2021-10-18
2021-10-25,2608.532470703125,2628.89990234375,2682.0,2345.0,2415.0,216969,2021-10-25
2021-11-01,2584.56982421875,2604.75,2778.0,2590.0,2700.0,99839,2021-11-01
2021-11-08,2432.50732421875,2451.5,2664.0,2420.0,2628.25,117947,2021-11-08
2021-11-15,2328.023193359375,2346.199951171875,2484.5,2324.0,2484.5,65119,2021-11-15
2021-11-22,2262.037841796875,2279.699951171875,2445.0,2180.0,2340.050048828125,106291,2021-11-22
2021-11-29,2280.196044921875,2298.0,2377.0,2130.0,2230.550048828125,67090,2021-11-29
2021-12-06,2214.26123046875,2231.550048828125,2301.699951171875,2225.699951171875,2298.0,95046,2021-12-06
2021-12-13,2179.036376953125,2196.050048828125,2331.949951171875,2180.0,2235.0,57098,2021-12-13
2021-12-20,2256.779296875,2274.39990234375,2311.64990234375,2075.25,2157.0,65117,2021-12-20
2021-12-27,2243.43359375,2260.949951171875,2328.949951171875,2211.699951171875,2257.199951171875,42963,2021-12-27
2022-01-03,2340.8232421875,2359.10009765625,2414.0,2266.050048828125,2295.0,141150,2022-01-03
