Date,Adj Close_MPHASIS.NS,Close_MPHASIS.NS,High_MPHASIS.NS,Low_MPHASIS.NS,Open_MPHASIS.NS,Volume_MPHASIS.NS,Date
2020-07-13,901.3204956054688,997.3499755859375,1099.0,936.0999755859375,942.0,2483272,2020-07-13
2020-07-20,1009.4500732421875,1117.0,1174.9000244140625,975.0,1018.0,5498610,2020-07-20
2020-07-27,1046.4571533203125,1157.949951171875,1208.800048828125,1080.0,1115.0,5991520,2020-07-27
2020-08-03,1052.2862548828125,1164.4000244140625,1179.5,1096.0,1157.949951171875,2299979,2020-08-03
2020-08-10,1079.307373046875,1194.300048828125,1230.0,1150.0,1175.0,1592073,2020-08-10
2020-08-17,1083.5548095703125,1199.0,1225.0,1181.25,1200.0,610589,2020-08-17
2020-08-24,1053.235107421875,1165.449951171875,1215.0,1156.0,1200.0,1332318,2020-08-24
2020-08-31,1033.80517578125,1143.949951171875,1191.0,1081.8499755859375,1172.0,1690026,2020-08-31
2020-09-07,1043.203857421875,1154.3499755859375,1178.949951171875,1113.0,1154.0,1415292,2020-09-07
2020-09-14,1262.89697265625,1397.449951171875,1414.0,1175.0,1185.0,4871196,2020-09-14
2020-09-21,1149.2550048828125,1271.699951171875,1419.8499755859375,1244.1500244140625,1385.0,2941626,2020-09-21
2020-09-28,1226.2513427734375,1356.9000244140625,1404.9000244140625,1281.699951171875,1291.4000244140625,1451494,2020-09-28
2020-10-05,1250.42578125,1383.6500244140625,1454.0,1324.1500244140625,1350.5,2757867,2020-10-05
2020-10-12,1211.6563720703125,1340.75,1464.800048828125,1300.0,1384.199951171875,3743499,2020-10-12
2020-10-19,1248.9798583984375,1382.050048828125,1413.0,1285.949951171875,1343.0,2452349,2020-10-19
2020-10-26,1245.952392578125,1378.699951171875,1391.449951171875,1314.949951171875,1370.0,1412173,2020-10-26
2020-11-02,1206.640869140625,1335.199951171875,1404.800048828125,1326.9000244140625,1390.0,956312,2020-11-02
2020-11-09,1198.4168701171875,1326.0999755859375,1364.0,1281.0999755859375,1350.699951171875,1370845,2020-11-09
2020-11-16,1188.7021484375,1315.3499755859375,1341.75,1296.0,1315.0,1285359,2020-11-16
