Date,Adj Close_ZFCVINDIA.NS,Close_ZFCVINDIA.NS,High_ZFCVINDIA.NS,Low_ZFCVINDIA.NS,Open_ZFCVINDIA.NS,Volume_ZFCVINDIA.NS,Date
2020-07-13,6886.3759765625,6921.89990234375,6940.0,6912.0,6921.10009765625,10178,2020-07-13
2020-07-20,6897.169921875,6932.75,6960.0,6906.0498046875,6906.0498046875,12535,2020-07-20
2020-07-27,6923.931640625,6959.64990234375,6975.0,6924.0498046875,6924.10009765625,11881,2020-07-27
2020-08-03,6966.2138671875,7002.14990234375,7020.7998046875,6940.0,6940.0498046875,19160,2020-08-03
2020-08-10,6971.88427734375,7007.85009765625,7020.0498046875,6992.0,7018.0,116638,2020-08-10
2020-08-17,6980.390625,7016.39990234375,7025.0,7001.0,7001.0,92258,2020-08-17
2020-08-24,6864.43896484375,6899.85009765625,7035.0,6801.0,7000.10009765625,15292,2020-08-24
2020-08-31,6863.64306640625,6899.0498046875,7000.0,6515.14990234375,6959.9501953125,11668,2020-08-31
2020-09-07,6801.513671875,6836.60009765625,7670.0,6800.0498046875,6949.7998046875,77447,2020-09-07
2020-09-14,5969.55517578125,6000.35009765625,7099.9501953125,5780.0498046875,6838.0,105216,2020-09-14
2020-09-21,5840.62060546875,5870.75,6149.0,5405.0,6013.0,60690,2020-09-21
2020-09-28,5599.2158203125,5628.10009765625,5979.75,5605.0498046875,5894.0,22305,2020-09-28
2020-10-05,5546.1396484375,5574.75,5783.10009765625,5506.10009765625,5739.7998046875,19648,2020-10-05
2020-10-12,5000.45458984375,5026.25,5683.5,5000.0,5525.0498046875,27949,2020-10-12
2020-10-19,4944.6923828125,4970.2001953125,5147.89990234375,4950.0,5074.7998046875,35032,2020-10-19
2020-10-26,4856.29833984375,4881.35009765625,5215.0,4812.60009765625,5140.0,18794,2020-10-26
2020-11-02,4842.021484375,4867.0,4990.9501953125,4795.0,4885.35009765625,10022,2020-11-02
2020-11-09,4784.46875,4809.14990234375,4935.89990234375,4750.0498046875,4921.0,13322,2020-11-09
2020-11-16,5935.53076171875,5966.14990234375,6443.9501953125,4795.75,4795.75,163125,2020-11-16
2020-11-23,5488.73583984375,5517.0498046875,6055.64990234375,5500.10009765625,6055.64990234375,21633,2020-11-23
2020-11-30,5765.10986328125,5794.85009765625,6140.0,5517.0498046875,5517.0498046875,38780,2020-11-30
2020-12-07,5636.423828125,5665.5,5875.0498046875,5644.0,5822.0,10095,2020-12-07
2020-12-14,5646.32275390625,5675.4501953125,5765.5,5600.0,5720.0,7722,2020-12-14
2020-12-21,5641.7958984375,5670.89990234375,5944.9501953125,5500.0,5560.2001953125,18001,2020-12-21
2020-12-28,5586.53125,5615.35009765625,5749.0,5522.0,5719.9501953125,12580,2020-12-28
2021-01-04,5572.80126953125,5601.5498046875,5675.14990234375,5501.0,5675.14990234375,13814,2021-01-04
2021-01-11,5606.5283203125,5635.4501953125,5753.0498046875,5561.0498046875,5590.0498046875,23179,2021-01-11
