Date,Adj Close_ARIES.NS,Close_ARIES.NS,High_ARIES.NS,Low_ARIES.NS,Open_ARIES.NS,Volume_ARIES.NS,Date
2020-07-13,59.32677459716797,60.54999923706055,62.75,58.75,62.5,32824,2020-07-13
2020-07-20,57.31818771362305,58.5,61.45000076293945,57.5,60.599998474121094,88502,2020-07-20
2020-07-27,58.738895416259766,59.95000076293945,63.75,56.45000076293945,58.70000076293945,146816,2020-07-27
2020-08-03,67.01819610595703,68.4000015258789,72.0,58.20000076293945,59.95000076293945,166929,2020-08-03
2020-08-10,72.1131362915039,73.5999984741211,73.5999984741211,65.1500015258789,71.0,291946,2020-08-10
2020-08-17,82.69496154785156,84.4000015258789,93.44999694824219,74.5,78.75,1497764,2020-08-17
2020-08-24,78.43284606933594,80.05000305175781,87.0,79.44999694824219,85.9000015258789,215101,2020-08-24
2020-08-31,76.86515808105469,78.44999694824219,81.4000015258789,72.25,80.80000305175781,159453,2020-08-31
2020-09-07,72.75001525878906,74.25,78.55000305175781,73.25,77.55000305175781,88553,2020-09-07
2020-09-14,78.82475280761719,80.44999694824219,84.80000305175781,72.5999984741211,77.0,181397,2020-09-14
2020-09-21,75.64041137695312,77.19999694824219,83.9000015258789,73.19999694824219,81.05000305175781,161404,2020-09-21
2020-09-28,76.13031768798828,77.69999694824219,81.1500015258789,76.05000305175781,80.5,111009,2020-09-28
2020-10-05,80.39244079589844,82.05000305175781,85.5999984741211,77.5,79.05000305175781,292625,2020-10-05
2020-10-12,77.06112670898438,78.6500015258789,83.4000015258789,76.0,82.05000305175781,128674,2020-10-12
2020-10-19,79.41264343261719,81.05000305175781,84.25,76.05000305175781,80.0,242954,2020-10-19
2020-10-26,76.91415405273438,78.5,82.5,77.55000305175781,80.19999694824219,81676,2020-10-26
2020-11-02,81.66617584228516,83.3499984741211,84.69999694824219,76.0,78.05000305175781,182380,2020-11-02
2020-11-09,84.94849395751953,86.69999694824219,89.75,78.69999694824219,85.0,384035,2020-11-09
2020-11-16,84.06668090820312,85.80000305175781,91.4000015258789,83.25,85.6500015258789,340870,2020-11-16
2020-11-23,84.4585952758789,86.19999694824219,88.75,82.75,88.0,382962,2020-11-23
2020-11-30,88.32880401611328,90.1500015258789,98.0,85.05000305175781,86.19999694824219,790726,2020-11-30
2020-12-07,103.61365509033203,105.75,118.4000015258789,92.0,92.0,2493349,2020-12-07
2020-12-14,99.74345397949219,101.80000305175781,111.75,97.80000305175781,106.55000305175781,590862,2020-12-14
2020-12-21,97.24495697021484,99.25,106.5,81.44999694824219,102.6500015258789,712842,2020-12-21
2020-12-28,100.87020874023438,102.94999694824219,105.69999694824219,99.5,102.0,426056,2020-12-28
2021-01-04,104.78941345214844,106.94999694824219,110.0,100.05000305175781,103.05000305175781,738734,2021-01-04
2021-01-11,99.69445037841797,101.75,107.5999984741211,101.0999984741211,106.5,572674,2021-01-11
2021-01-18,95.87323760986328,97.8499984741211,103.0,96.5,101.75,311316,2021-01-18
2021-01-25,93.71768951416016,95.6500015258789,100.94999694824219,88.4000015258789,99.5999984741211,280285,2021-01-25
2021-02-01,97.48991394042969,99.5,107.05000305175781,94.94999694824219,96.0,704208,2021-02-01
2021-02-08,90.82728576660156,92.69999694824219,105.3499984741211,92.0,101.1500015258789,398523,2021-02-08
2021-02-15,86.17324829101562,87.94999694824219,94.75,86.0999984741211,93.6500015258789,248205,2021-02-15
2021-02-22,88.37779235839844,90.19999694824219,95.94999694824219,82.75,89.94999694824219,274693,2021-02-22
