Date,Adj Close_INDOUS.NS,Close_INDOUS.NS,High_INDOUS.NS,Low_INDOUS.NS,Open_INDOUS.NS,Volume_INDOUS.NS,Date
2024-09-23,292.3631286621094,292.6000061035156,331.79998779296875,281.5,290.75,119164,2024-09-23
2024-09-30,282.6210021972656,282.8500061035156,320.0,281.0,302.0,176635,2024-09-30
2024-10-07,265.085205078125,265.29998779296875,289.70001220703125,253.64999389648438,278.5,32263,2024-10-07
2024-10-14,254.6436767578125,254.85000610351562,286.0,250.0,259.95001220703125,29861,2024-10-14
2024-10-21,227.06600952148438,227.25,267.3999938964844,222.0,254.25,40199,2024-10-21
2024-10-28,273.1286926269531,273.3500061035156,281.20001220703125,228.0,249.0,43799,2024-10-28
2024-11-04,247.59938049316406,247.8000030517578,270.0,238.85000610351562,267.1499938964844,20726,2024-11-04
2024-11-11,253.1448974609375,253.35000610351562,273.0,225.5,250.0,56967,2024-11-11
2024-11-18,250.89671325683594,251.10000610351562,258.95001220703125,241.0,258.95001220703125,36125,2024-11-18
2024-11-25,259.2399597167969,259.45001220703125,266.1499938964844,241.10000610351562,260.0,57415,2024-11-25
2024-12-02,282.2712707519531,282.5,324.6499938964844,262.79998779296875,263.5,240034,2024-12-02
2024-12-09,362.79998779296875,362.79998779296875,388.3999938964844,288.3999938964844,289.95001220703125,971446,2024-12-09
2024-12-16,313.04998779296875,313.04998779296875,371.0,307.0,369.0,117534,2024-12-16
2024-12-23,340.54998779296875,340.54998779296875,375.0,265.1000061035156,328.79998779296875,470233,2024-12-23
2024-12-30,286.29998779296875,286.29998779296875,350.0,272.04998779296875,342.70001220703125,93491,2024-12-30
2025-01-06,245.89999389648438,245.89999389648438,288.79998779296875,244.0500030517578,280.04998779296875,56420,2025-01-06
2025-01-13,238.5,238.5,253.8000030517578,225.0,245.75,40069,2025-01-13
2025-01-20,222.25,222.25,249.9499969482422,215.10000610351562,244.8000030517578,16753,2025-01-20
2025-01-27,229.49000549316406,229.49000549316406,234.0,192.0,222.25,49461,2025-01-27
2025-02-03,216.66000366210938,216.66000366210938,235.0,214.0,234.0,15021,2025-02-03
2025-02-10,222.2100067138672,222.2100067138672,234.5,207.0,224.0,50082,2025-02-10
2025-02-17,218.55999755859375,218.55999755859375,224.08999633789062,205.0,217.0,17573,2025-02-17
2025-02-24,191.05999755859375,191.05999755859375,220.0,190.5800018310547,219.0,8729,2025-02-24
2025-03-03,189.08999633789062,189.08999633789062,199.39999389648438,184.0,191.05999755859375,37517,2025-03-03
2025-03-10,163.9199981689453,163.9199981689453,194.4499969482422,162.57000732421875,194.4499969482422,33328,2025-03-10
2025-03-17,171.89999389648438,171.89999389648438,173.1999969482422,150.0,157.0,92965,2025-03-17
2025-03-24,148.9600067138672,148.9600067138672,180.0,148.9600067138672,180.0,52423,2025-03-24
2025-03-31,155.05999755859375,155.05999755859375,159.89999389648438,145.0,145.0,7811,2025-03-31
2025-04-07,163.0,163.0,163.27000427246094,150.0,159.8800048828125,44383,2025-04-07
2025-04-14,171.0,171.0,179.0,158.36000061035156,163.0,6314,2025-04-14
2025-04-21,168.58999633789062,168.58999633789062,179.8000030517578,161.5,177.5,7176,2025-04-21
2025-04-28,152.75,152.75,176.5,147.02999877929688,176.5,9783,2025-04-28
2025-05-05,140.10000610351562,140.10000610351562,160.0,138.1300048828125,159.99000549316406,26641,2025-05-05
2025-05-12,148.67999267578125,148.67999267578125,161.39999389648438,140.35000610351562,142.0,32965,2025-05-12
2025-05-19,148.0,148.0,153.8800048828125,145.61000061035156,148.67999267578125,40504,2025-05-19
2025-05-26,171.49000549316406,171.49000549316406,180.0,146.99000549316406,152.97999572753906,58669,2025-05-26
2025-06-02,163.4600067138672,163.4600067138672,174.5,150.39999389648438,173.7100067138672,58423,2025-06-02
2025-06-09,158.50999450683594,158.50999450683594,171.99000549316406,157.22000122070312,170.0,66104,2025-06-09
2025-06-16,152.39999389648438,152.39999389648438,163.97000122070312,150.02000427246094,160.0,50616,2025-06-16
2025-06-23,153.02000427246094,153.02000427246094,160.49000549316406,150.1199951171875,152.0,47240,2025-06-23
2025-06-30,156.2100067138672,156.2100067138672,157.8000030517578,149.0,152.3699951171875,27453,2025-06-30
2025-07-07,155.35000610351562,155.35000610351562,159.33999633789062,144.97999572753906,157.7899932861328,30255,2025-07-07
2025-07-14,154.55999755859375,154.55999755859375,158.0,151.0500030517578,152.17999267578125,9031,2025-07-14
